id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
280130016,2,home,,,,3,3
280130019,2,home,,,,2,3
280130020,2,home,,,,2,4
280130023,2,home,,,,2,3
280130026,2,home,,,,3,3
280130028,2,home,,,,2,3
280130029,2,away,,,,3,3
280130012,2,home,,,,3,3
280131025,2,home,,,,3,3
280131008,2,home,,,,2,3
280131002,2,home,,,,3,3
280131021,2,away,,,,3,3
280201011,2,away,,,,1,2
280201016,2,home,,,,3,3
280201020,2,away,,,,2,2
280201023,2,home,,,,2,3
280201028,2,away,,,,2,3
280201009,2,home,,,,3,3
280201022,2,home,,,,2,3
280201014,2,away,,,,2,2
280201027,2,away,,,,3,3
280202001,2,home,,,,2,2
280202007,2,home,,,,2,3
280202011,2,away,,,,2,2
280202023,2,home,,,,2,2
280202025,2,home,,,,2,3
280202029,2,away,,,,2,3
280202005,2,home,,,,2,3
280202015,2,away,,,,2,2
280203027,2,away,,,,3,3
280203008,2,home,,,,2,2
280204001,2,home,,,,3,2
280204016,2,away,,,,3,3
280204019,2,away,,,,3,2
280204021,2,home,,,,2,3
280204022,2,away,,,,2,2
280204025,2,away,,,,3,3
280204026,2,home,,,,3,2
280204014,2,away,,,,3,3
280204018,2,away,,,,4,3
280205005,2,home,,,,2,1
280205011,2,away,,,,2,1
280205020,2,home,,,,3,3
280205029,2,away,,,,2,2
280205017,2,away,,,,2,3
280206001,2,home,,,,2,4
280206007,2,away,,,,2,3
280206019,2,home,,,,3,3
280206021,2,away,,,,2,2
280206022,2,home,,,,2,2
280206023,2,away,,,,2,3
280206027,2,away,,,,3,2
280206002,2,home,,,,2,3
280206006,2,home,,,,3,2
280206008,2,home,,,,2,2
280206018,2,away,,,,3,3
280207010,2,home,,,,3,2
280207020,2,home,,,,3,3
280207009,2,away,,,,1,3
280208016,2,away,,,,1,2
280208019,2,away,,,,3,3
280208021,2,home,,,,2,3
280208023,2,home,,,,2,3
280208028,2,away,,,,1,3
280208030,2,away,,,,2,3
280208001,2,away,,,,3,3
280208006,2,home,,,,3,2
280208018,2,away,,,,3,2
280208008,2,home,,,,2,2
280208007,2,home,,,,3,3
280209003,2,home,,,,2,2
280209011,2,home,,,,2,3
280209026,2,home,,,,3,3
280209009,2,home,,,,1,2
280209010,2,home,,,,2,3
280209015,2,away,,,,2,3
280209020,2,home,,,,3,3
280210002,2,home,,,,3,3
280210014,2,away,,,,3,3
280210016,2,away,,,,2,2
280210008,2,home,,,,2,2
280210017,2,home,,,,3,3
280210005,2,away,,,,3,3
280210021,2,home,,,,3,3
280211015,2,away,,,,3,3
280211019,2,away,,,,2,4
280211020,2,home,,,,3,3
280211028,2,away,,,,2,4
280211030,2,away,,,,2,4
280211009,2,home,,,,2,4
280211010,2,home,,,,2,3
280212001,2,away,,,,3,3
280212011,2,away,,,,2,3
280212029,2,home,,,,2,3
280212004,2,away,,,,3,2
280212014,2,away,,,,3,3
280212017,2,home,,,,3,2
280213009,2,home,,,,3,3
280213005,2,away,,,,4,3
280213015,2,away,,,,2,2
280213016,2,away,,,,3,3
280213019,2,home,,,,2,3
280213020,2,home,,,,3,3
280213025,2,away,,,,1,2
280213028,2,home,,,,3,3
280213030,2,home,,,,3,3
280213002,2,home,,,,3,2
280213006,2,home,,,,3,3
280213008,2,home,,,,3,2
280213010,2,home,,,,3,3
280213012,2,away,,,,3,3
280214004,2,home,,,,2,2
280214021,2,home,,,,3,4
280217032,2,away,,,,0,0
280219005,2,away,,,,1,1
280219007,2,home,,,,1,1
280219016,2,home,,,,1,1
280219022,2,away,,,,1,1
280219025,2,home,,,,1,1
280219026,2,home,,,,1,0
280219027,2,away,,,,1,1
280219008,2,away,,,,1,1
280219013,2,home,,,,1,1
280219024,2,home,,,,1,1
280220003,2,home,,,,0,1
280220011,2,away,,,,0,1
280220015,2,home,,,,0,1
280220020,2,home,,,,1,1
280220021,2,away,,,,1,1
280220023,2,home,,,,1,1
280220028,2,home,,,,0,1
280220009,2,home,,,,1,1
280220012,2,home,,,,0,1
280220017,2,home,,,,0,1
280221010,2,home,,,,1,0
280221016,2,away,,,,1,1
280221022,2,home,,,,1,1
280222003,2,away,,,,1,2
280222004,2,home,,,,1,1
280222011,2,home,,,,1,1
280222019,2,home,,,,2,2
280222029,2,away,,,,2,1
280222030,2,away,,,,1,2
280222009,2,away,,,,2,2
280222012,2,home,,,,1,1
280222018,2,home,,,,2,1
280222025,2,home,,,,2,2
280222005,2,home,,,,2,1
280222008,2,home,,,,2,1
280222021,2,home,,,,1,2
280223026,2,home,,,,2,3
280223027,2,home,,,,2,2
280223012,2,away,,,,2,2
280223014,2,away,,,,1,3
280223015,2,home,,,,2,2
280223017,2,home,,,,2,2
280223024,2,home,,,,2,2
280224021,2,away,,,,2,3
280224022,2,away,,,,3,3
280224016,2,away,,,,2,2
280224005,2,home,,,,3,3
280224019,2,home,,,,3,3
280224025,2,away,,,,3,2
280224028,2,home,,,,2,3
280224010,2,home,,,,3,2
280225003,2,away,,,,3,3
280225007,2,away,,,,3,4
280225011,2,away,,,,3,3
280225006,2,home,,,,3,3
280225012,2,away,,,,3,4
280225024,2,home,,,,3,4
280226015,2,home,,,,3,3
280226016,2,home,,,,2,2
280226029,2,away,,,,3,3
280226009,2,home,,,,2,3
280226010,2,home,,,,3,3
280226013,2,home,,,,3,3
280226014,2,home,,,,2,3
280226017,2,away,,,,3,3
280227001,2,home,,,,3,3
280227003,2,home,,,,3,3
280227011,2,away,,,,3,3
280227020,2,home,,,,2,3
280227025,2,away,,,,4,3
280227026,2,home,,,,3,3
280227028,2,home,,,,3,3
280227002,2,home,,,,3,3
280227012,2,away,,,,3,4
280227018,2,home,,,,2,2
280228024,2,home,,,,2,3
280228013,2,home,,,,3,2
280228017,2,home,,,,3,3
280229003,2,home,,,,3,3
280229004,2,away,,,,3,3
280229028,2,away,,,,3,3
280229001,2,home,,,,3,2
280229002,2,home,,,,3,2
280229005,2,home,,,,3,3
280229006,2,home,,,,3,3
280229009,2,home,,,,1,2
280229010,2,home,,,,2,2
280229022,2,home,,,,3,4
280229025,2,away,,,,3,3
280229007,2,home,,,,3,3
280301019,2,home,,,,2,2
280301021,2,away,,,,2,2
280301029,2,away,,,,2,3
280301012,2,away,,,,3,2
280301015,2,away,,,,2,2
280302013,2,home,,,,3,3
280302005,2,home,,,,3,4
280302016,2,away,,,,3,3
280302002,2,home,,,,3,3
280302009,2,home,,,,2,3
280302011,2,home,,,,3,2
280302017,2,away,,,,2,2
280302023,2,home,,,,3,3
280302027,2,home,,,,3,3
280302030,2,home,,,,2,3
280302010,2,home,,,,2,3
280303026,2,home,,,,4,3
280303012,2,away,,,,3,3
280303018,2,away,,,,3,3
280304001,2,away,,,,3,2
280304016,2,away,,,,3,3
280304019,2,home,,,,2,3
280304022,2,away,,,,3,2
280304023,2,away,,,,3,3
280304004,2,home,,,,3,2
280304008,2,home,,,,2,3
280304024,2,home,,,,3,2
280305003,2,home,,,,3,3
280305007,2,home,,,,2,2
280305015,2,home,,,,3,3
280305026,2,home,,,,3,3
280305027,2,away,,,,2,2
280305029,2,home,,,,3,3
280305030,2,home,,,,3,3
280305002,2,home,,,,2,2
280305010,2,home,,,,2,2
280305012,2,home,,,,3,3
280305014,2,away,,,,3,3
280305018,2,away,,,,3,2
280306004,2,home,,,,3,2
280306024,2,home,,,,3,3
280306006,2,away,,,,3,3
280307003,2,home,,,,3,3
280307020,2,home,,,,2,3
280307021,2,away,,,,3,3
280307023,2,away,,,,3,3
280307028,2,away,,,,3,2
280307030,2,home,,,,3,3
280307013,2,home,,,,2,3
280307014,2,away,,,,2,3
280307015,2,away,,,,3,2
280307018,2,away,,,,3,3
280307002,2,home,,,,2,3
280307007,2,home,,,,2,4
280308005,2,home,,,,3,3
280308001,2,home,,,,3,2
280308019,2,away,,,,2,3
280308026,2,home,,,,3,3
280308027,2,away,,,,2,3
280308029,2,away,,,,2,2
280308006,2,home,,,,2,3
280308010,2,home,,,,3,3
280308012,2,away,,,,3,3
280308018,2,away,,,,3,2
280309015,2,away,,,,2,2
280309021,2,home,,,,3,3
280309028,2,home,,,,3,3
280309013,2,away,,,,2,3
280309008,2,home,,,,3,3
280310005,2,home,,,,3,3
280310019,2,home,,,,3,4
280310020,2,away,,,,3,3
280310006,2,home,,,,3,4
280310010,2,home,,,,3,4
280310014,2,away,,,,3,4
280310024,2,home,,,,4,3
280311011,2,home,,,,3,4
280311016,2,away,,,,4,4
280311021,2,home,,,,4,3
280311027,2,home,,,,3,3
280311004,2,home,,,,4,3
280311013,2,home,,,,3,4
280312001,2,away,,,,4,4
280312003,2,home,,,,3,4
280312007,2,home,,,,4,3
280312015,2,away,,,,4,4
280312019,2,home,,,,3,4
280312002,2,home,,,,4,4
280312006,2,home,,,,3,3
280312008,2,away,,,,3,3
280312009,2,home,,,,3,4
280312014,2,away,,,,4,4
280312017,2,home,,,,4,4
280313023,2,home,,,,2,4
280313021,2,home,,,,3,3
280313027,2,home,,,,3,3
280314003,2,home,,,,3,3
280314007,2,home,,,,4,4
280314001,2,home,,,,4,4
280314002,2,away,,,,4,4
280314004,2,away,,,,3,4
280314006,2,home,,,,3,2
280314010,2,home,,,,3,3
280314014,2,away,,,,4,3
280314025,2,away,,,,4,3
280314008,2,home,,,,2,3
280315019,2,home,,,,4,2
280315020,2,home,,,,4,3
280315021,2,home,,,,3,2
280315022,2,home,,,,4,3
280315027,2,home,,,,3,4
280315009,2,home,,,,3,3
280315015,2,away,,,,3,4
280315017,2,home,,,,3,4
280316008,2,home,,,,3,2
280316010,2,home,,,,3,2
280316005,2,home,,,,3,2
280316014,2,away,,,,3,3
280316018,2,away,,,,2,3
280316023,2,home,,,,2,3
280316007,2,home,,,,3,3
280317003,2,home,,,,3,2
280317011,2,home,,,,3,2
280317016,2,home,,,,3,3
280317019,2,home,,,,3,3
280317026,2,home,,,,4,4
280317027,2,away,,,,3,3
280317029,2,home,,,,3,3
280317024,2,away,,,,3,3
280318015,2,away,,,,2,3
280318023,2,home,,,,3,3
280318004,2,home,,,,2,2
280318006,2,away,,,,3,2
280318008,2,home,,,,3,3
280318022,2,away,,,,2,2
280318010,2,away,,,,2,3
280319003,2,home,,,,3,2
280319011,2,home,,,,3,3
280319016,2,home,,,,3,2
280319019,2,away,,,,3,3
280319020,2,home,,,,2,3
280319025,2,away,,,,2,3
280319028,2,home,,,,3,3
280319012,2,away,,,,3,3
280319017,2,home,,,,2,3
280319005,2,home,,,,3,3
280320004,2,away,,,,3,3
280320006,2,away,,,,3,4
280320026,2,away,,,,2,2
280321011,2,home,,,,3,3
280321019,2,home,,,,3,2
280321022,2,home,,,,2,3
280321005,2,home,,,,3,3
280321009,2,away,,,,3,3
280321013,2,home,,,,2,2
280321014,2,away,,,,3,3
280321017,2,away,,,,3,3
280321018,2,away,,,,2,3
280321024,2,home,,,,4,3
280322001,2,home,,,,3,3
280322003,2,home,,,,3,3
280322016,2,home,,,,3,3
280322020,2,home,,,,2,3
280322021,2,home,,,,2,4
280322026,2,home,,,,2,3
280322029,2,home,,,,3,3
280322030,2,home,,,,3,4
280322004,2,away,,,,3,3
280322012,2,away,,,,3,2
280322015,2,home,,,,1,4
280323006,2,away,,,,2,3
280323028,2,away,,,,3,3
280323013,2,away,,,,3,3
280323027,2,home,,,,2,2
280324025,2,home,,,,3,3
280324029,2,away,,,,3,4
280324002,2,away,,,,3,3
280324008,2,home,,,,2,3
280324009,2,away,,,,4,4
280324010,2,home,,,,4,3
280324014,2,home,,,,4,2
280324018,2,away,,,,2,4
280325011,2,away,,,,3,2
280325019,2,away,,,,3,3
280325022,2,home,,,,3,3
280325026,2,home,,,,2,2
280325004,2,home,,,,2,2
280325006,2,home,,,,2,3
280326001,2,home,,,,2,2
280326002,2,home,,,,3,2
280326005,2,away,,,,3,2
280326020,2,home,,,,3,3
280326023,2,home,,,,3,3
280326025,2,away,,,,3,3
280326028,2,home,,,,2,3
280326010,2,home,,,,3,2
280326013,2,away,,,,4,2
280326017,2,home,,,,3,3
280326018,2,home,,,,3,3
280326024,2,home,,,,4,3
280327007,2,home,,,,3,2
280327009,2,home,,,,3,4
280327008,2,home,,,,3,3
280328011,2,home,,,,3,3
280328020,2,away,,,,3,3
280328023,2,away,,,,3,3
280328026,2,home,,,,2,3
280328028,2,home,,,,2,3
280328001,2,home,,,,3,3
280328002,2,home,,,,3,3
280328013,2,away,,,,3,3
280328015,2,away,,,,3,2
280328024,2,home,,,,3,2
280328025,2,away,,,,3,3
280329007,2,home,,,,3,3
280329022,2,away,,,,3,3
280329004,2,home,,,,3,3
280329008,2,home,,,,4,1
280329012,2,home,,,,3,3
280329017,2,away,,,,3,3
280330024,2,home,,,,3,2
280330016,2,home,,,,2,2
280330001,2,home,,,,3,3
280330002,2,home,,,,3,3
280330005,2,home,,,,2,3
280330009,2,home,,,,3,2
280330025,2,away,,,,3,3
280330028,2,away,,,,2,3
280330013,2,home,,,,3,4
280331011,2,home,,,,3,3
280331021,2,home,,,,3,2
280331026,2,home,,,,3,4
280331029,2,away,,,,3,4
280331030,2,away,,,,4,3
280331012,2,away,,,,4,3
280401007,2,home,,,,3,4
