id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
290102019,2,home,,,,3,2
290102028,2,home,,,,3,3
290102002,2,home,,,,2,3
290102005,2,home,,,,2,3
290102017,2,home,,,,3,3
290102018,2,away,,,,2,2
290102008,2,home,,,,3,2
290102016,2,home,,,,3,3
290102025,2,away,,,,3,3
290102029,2,away,,,,3,2
290102006,2,home,,,,2,2
290102015,2,home,,,,3,2
290102021,2,home,,,,2,3
290102022,2,away,,,,2,2
290102013,2,home,,,,1,2
290103011,2,home,,,,2,2
290103001,2,home,,,,3,3
290103030,2,home,,,,2,3
290103014,2,home,,,,3,3
290103004,2,away,,,,3,3
290103024,2,home,,,,2,3
290103007,2,home,,,,3,3
290104028,2,home,,,,3,3
290104027,2,home,,,,3,3
290104012,2,away,,,,3,3
290104029,2,home,,,,3,2
290104018,2,home,,,,2,3
290104013,2,home,,,,1,2
290105014,2,away,,,,3,3
290105017,2,home,,,,3,3
290105015,2,home,,,,4,3
290105007,2,home,,,,3,3
290105026,2,home,,,,1,2
290106019,2,home,,,,2,2
290106020,2,home,,,,3,3
290106030,2,home,,,,2,2
290106025,2,home,,,,2,2
290106029,2,away,,,,2,2
290106004,2,home,,,,2,3
290106006,2,home,,,,2,3
290106013,2,away,,,,2,2
290107001,2,away,,,,2,3
290107005,2,home,,,,2,3
290107027,2,away,,,,3,3
290107002,2,away,,,,3,3
290107017,2,home,,,,3,3
290107015,2,away,,,,3,3
290107016,2,home,,,,3,2
290107007,2,home,,,,3,3
290107021,2,away,,,,1,3
290107026,2,home,,,,2,3
290107022,2,home,,,,2,2
290107009,2,away,,,,2,3
290108006,2,home,,,,3,3
290108024,2,home,,,,3,3
290109019,2,home,,,,3,2
290109020,2,home,,,,3,3
290109028,2,home,,,,3,3
290109003,2,home,,,,3,3
290109005,2,home,,,,2,3
290109025,2,away,,,,2,3
290109004,2,home,,,,2,3
290109015,2,home,,,,3,3
290109007,2,away,,,,3,2
290109023,2,away,,,,2,3
290109013,2,home,,,,3,2
290109021,2,home,,,,1,3
290110027,2,away,,,,3,3
290110016,2,home,,,,2,3
290110004,2,away,,,,2,3
290110010,2,home,,,,3,2
290110026,2,home,,,,2,2
290110022,2,home,,,,2,2
290111028,2,away,,,,3,3
290111001,2,away,,,,2,3
290111012,2,away,,,,3,2
290111024,2,away,,,,2,3
290111009,2,home,,,,3,3
290111023,2,home,,,,3,3
290111013,2,home,,,,3,3
290112027,2,away,,,,4,3
290112002,2,home,,,,4,3
290112017,2,home,,,,2,4
290112003,2,away,,,,3,3
290112004,2,away,,,,3,2
290112026,2,home,,,,2,3
290113008,2,away,,,,3,3
290113016,2,away,,,,2,3
290113029,2,away,,,,2,2
290113010,2,away,,,,3,3
290113007,2,home,,,,2,3
290113021,2,home,,,,3,3
290113023,2,away,,,,2,3
290114011,2,home,,,,3,3
290114020,2,home,,,,2,2
290114028,2,away,,,,3,3
290114002,2,home,,,,3,2
290114018,2,home,,,,3,3
290114015,2,away,,,,3,3
290114025,2,home,,,,3,2
290114006,2,away,,,,4,2
290114024,2,home,,,,2,3
290114009,2,away,,,,2,3
290114012,2,away,,,,3,3
290115017,2,away,,,,3,3
290115004,2,home,,,,4,2
290115007,2,home,,,,2,3
290116011,2,home,,,,3,3
290116020,2,home,,,,2,2
290116027,2,home,,,,3,3
290116005,2,home,,,,2,2
290116025,2,home,,,,3,3
290116029,2,away,,,,1,3
290116021,2,away,,,,3,2
290116023,2,away,,,,3,3
290116009,2,home,,,,3,3
290116013,2,away,,,,3,2
290117017,2,away,,,,3,3
290117030,2,home,,,,1,3
290117008,2,away,,,,3,3
290117018,2,away,,,,3,2
290117004,2,away,,,,3,3
290117010,2,home,,,,1,3
290117006,2,home,,,,3,3
290117007,2,away,,,,2,3
290117012,2,home,,,,1,3
290118028,2,away,,,,3,3
290118025,2,away,,,,3,3
290119018,2,home,,,,4,4
290119020,2,away,,,,3,3
290119001,2,home,,,,3,4
290119010,2,home,,,,2,3
290119030,2,away,,,,2,3
290119003,2,home,,,,4,3
290119012,2,away,,,,2,2
290119009,2,home,,,,2,3
290119029,2,away,,,,2,4
290119002,2,home,,,,2,4
290119022,2,home,,,,3,3
290119013,2,home,,,,3,3
290120004,2,away,,,,4,3
290120024,2,home,,,,4,3
290120007,2,home,,,,3,2
290120026,2,home,,,,3,2
290121030,2,home,,,,2,2
290121008,2,home,,,,3,3
290121014,2,away,,,,2,2
290121018,2,home,,,,3,4
290121003,2,home,,,,3,2
290121015,2,home,,,,3,2
290121010,2,home,,,,2,3
290121022,2,away,,,,3,3
290121023,2,away,,,,2,2
290121009,2,away,,,,2,2
290121012,2,away,,,,2,2
290122019,2,away,,,,2,3
290122013,2,home,,,,3,3
290123008,2,away,,,,3,3
290123011,2,home,,,,2,3
290123030,2,home,,,,3,3
290123001,2,home,,,,2,3
290123018,2,home,,,,3,2
290123016,2,home,,,,2,3
290123004,2,away,,,,3,3
290123024,2,home,,,,3,1
290123009,2,away,,,,2,2
290123012,2,home,,,,3,2
290124020,2,home,,,,1,3
290124014,2,home,,,,2,1
290124029,2,away,,,,3,2
290124015,2,home,,,,3,2
290124026,2,away,,,,2,3
290124022,2,home,,,,2,3
290125002,2,home,,,,3,3
290125013,2,home,,,,3,3
290125001,2,away,,,,3,3
290125028,2,home,,,,3,2
290125008,2,away,,,,3,3
290125011,2,home,,,,2,2
290125016,2,home,,,,2,2
290125007,2,home,,,,1,3
290125009,2,home,,,,2,2
290126027,2,away,,,,3,3
290126014,2,home,,,,2,3
290126018,2,home,,,,3,3
290126003,2,home,,,,2,1
290126015,2,away,,,,3,3
290126025,2,home,,,,2,3
290126012,2,away,,,,3,2
290127005,2,home,,,,3,3
290127019,2,home,,,,2,2
290127029,2,away,,,,3,1
290127026,2,away,,,,3,2
290127013,2,away,,,,3,3
290128011,2,home,,,,3,3
290128002,2,home,,,,2,3
290128014,2,home,,,,2,3
290128017,2,away,,,,3,2
290128018,2,home,,,,3,3
290128003,2,home,,,,2,2
290128016,2,away,,,,3,2
290128025,2,home,,,,2,3
290128010,2,away,,,,3,2
290128006,2,home,,,,2,2
290128022,2,home,,,,2,3
290128012,2,away,,,,3,2
290129019,2,home,,,,2,3
290129021,2,away,,,,3,3
290130008,2,away,,,,2,2
290130011,2,home,,,,3,3
290130020,2,home,,,,3,3
290130028,2,away,,,,2,3
290130001,2,home,,,,3,3
290130005,2,home,,,,3,3
290130016,2,away,,,,3,2
290130007,2,home,,,,3,3
290130026,2,home,,,,3,2
290130003,2,away,,,,2,2
290130023,2,away,,,,4,2
290131011,2,away,,,,4,2
290131020,2,away,,,,3,3
290131014,2,away,,,,3,1
290131027,2,home,,,,3,4
290131029,2,away,,,,2,2
290131010,2,home,,,,2,3
290131015,2,home,,,,3,3
290131024,2,home,,,,2,3
290131021,2,away,,,,2,3
290131022,2,home,,,,2,3
290201002,2,home,,,,2,4
290201028,2,away,,,,2,2
290201008,2,away,,,,2,3
290201023,2,home,,,,3,3
290202019,2,away,,,,3,2
290202027,2,away,,,,3,3
290202014,2,home,,,,3,3
290202018,2,away,,,,2,3
290202003,2,away,,,,3,2
290202021,2,home,,,,2,4
290202026,2,home,,,,3,3
290202009,2,away,,,,3,3
290203005,2,home,,,,3,3
290203011,2,away,,,,3,3
290203020,2,away,,,,3,3
290203017,2,home,,,,3,3
290203010,2,home,,,,2,3
290203007,2,home,,,,2,3
290204019,2,home,,,,3,3
290204027,2,away,,,,3,3
290204028,2,away,,,,3,3
290204008,2,home,,,,2,3
290204018,2,away,,,,2,4
290204003,2,away,,,,3,3
290204016,2,away,,,,3,2
290204025,2,away,,,,2,2
290204029,2,home,,,,2,2
290204006,2,home,,,,2,2
290204009,2,home,,,,3,3
290205020,2,home,,,,3,3
290205002,2,away,,,,3,4
290205026,2,home,,,,3,3
290206011,2,home,,,,3,3
290206030,2,away,,,,1,2
290206018,2,away,,,,3,3
290206003,2,home,,,,3,3
290206025,2,home,,,,2,3
290206027,2,away,,,,3,2
290206029,2,away,,,,3,3
290206023,2,away,,,,2,3
290206021,2,home,,,,3,3
290207001,2,away,,,,2,3
290207020,2,home,,,,2,2
290207017,2,home,,,,2,3
290207029,2,home,,,,3,3
290207006,2,home,,,,3,2
290207010,2,home,,,,2,2
290207015,2,away,,,,1,1
290208002,2,away,,,,3,2
290208005,2,away,,,,2,3
290208014,2,home,,,,2,2
290208019,2,home,,,,3,2
290208022,2,home,,,,3,3
290208027,2,home,,,,3,3
290208003,2,home,,,,3,3
290208025,2,home,,,,2,2
290208008,2,away,,,,2,3
290208009,2,home,,,,3,3
290209020,2,home,,,,3,3
290209030,2,home,,,,2,3
290209015,2,home,,,,2,3
290209029,2,home,,,,3,3
290210001,2,home,,,,3,3
290210011,2,home,,,,3,2
290210014,2,away,,,,3,3
290210017,2,away,,,,3,1
290210016,2,away,,,,3,3
290210004,2,home,,,,2,3
290210006,2,home,,,,3,2
290210009,2,home,,,,3,3
290210013,2,home,,,,3,3
290211005,2,home,,,,2,3
290211019,2,away,,,,2,3
290211020,2,home,,,,3,3
290211028,2,home,,,,3,2
290211030,2,home,,,,3,3
290211008,2,away,,,,3,3
290211003,2,away,,,,3,3
290211015,2,home,,,,2,4
290211010,2,home,,,,2,3
290211026,2,home,,,,3,3
290211022,2,home,,,,2,3
290211012,2,home,,,,3,3
290212004,2,away,,,,2,3
290212006,2,away,,,,2,3
290212009,2,home,,,,3,3
290215032,2,home,,,,0,0
290217011,2,home,,,,1,1
290217019,2,home,,,,1,1
290217027,2,home,,,,1,0
290217008,2,away,,,,1,1
290217018,2,home,,,,1,1
290217025,2,away,,,,1,1
290217010,2,home,,,,1,0
290217021,2,home,,,,1,1
290217026,2,home,,,,1,1
290217013,2,home,,,,1,1
290218020,2,away,,,,1,0
290218028,2,away,,,,0,0
290218030,2,home,,,,1,1
290218014,2,away,,,,1,1
290218003,2,home,,,,1,1
290218015,2,away,,,,1,1
290218006,2,home,,,,1,1
290218022,2,home,,,,1,1
290218023,2,away,,,,0,1
290218009,2,away,,,,1,1
290218012,2,away,,,,1,1
290219008,2,away,,,,1,1
290219026,2,home,,,,1,0
290220030,2,away,,,,2,2
290220018,2,home,,,,1,1
290220010,2,home,,,,1,1
290220016,2,away,,,,2,2
290220017,2,away,,,,2,1
290220029,2,away,,,,2,1
290220004,2,home,,,,1,1
290220015,2,away,,,,2,1
290220021,2,home,,,,2,1
290220022,2,home,,,,1,2
290220013,2,home,,,,2,2
290221014,2,home,,,,1,2
290221027,2,away,,,,2,2
290221006,2,home,,,,2,2
290221026,2,home,,,,2,3
290221009,2,home,,,,1,2
290222011,2,home,,,,3,2
290222028,2,home,,,,2,2
290222021,2,away,,,,3,1
290222010,2,home,,,,2,3
290222015,2,home,,,,3,2
290222019,2,home,,,,3,2
290222022,2,home,,,,2,2
290222016,2,away,,,,3,3
290222005,2,home,,,,2,2
290223017,2,home,,,,3,3
290223018,2,home,,,,3,4
290223007,2,away,,,,3,2
290223026,2,home,,,,3,3
290223023,2,away,,,,3,4
290223012,2,home,,,,3,2
290224005,2,home,,,,3,2
290224028,2,home,,,,3,3
290224014,2,home,,,,3,2
290224004,2,home,,,,3,3
290224025,2,away,,,,2,3
290224010,2,home,,,,2,3
290224024,2,home,,,,2,3
290224021,2,home,,,,3,3
290225011,2,home,,,,3,2
290225027,2,away,,,,2,2
290225017,2,home,,,,2,3
290225018,2,away,,,,3,3
290225003,2,home,,,,3,3
290225016,2,away,,,,3,3
290225006,2,home,,,,3,2
290225024,2,home,,,,3,3
290225007,2,home,,,,3,2
290225023,2,away,,,,3,3
290225012,2,home,,,,2,3
290226010,2,home,,,,3,3
290226013,2,home,,,,3,3
290227019,2,away,,,,3,3
290227027,2,home,,,,2,3
290227001,2,home,,,,2,2
290227002,2,home,,,,3,3
290227018,2,away,,,,3,2
290227003,2,home,,,,3,2
290227016,2,away,,,,3,3
290227006,2,home,,,,3,2
290227007,2,home,,,,3,3
290227021,2,home,,,,3,2
290227024,2,away,,,,3,3
290227023,2,home,,,,3,3
290227009,2,away,,,,2,3
290228020,2,away,,,,3,3
290228014,2,home,,,,2,3
290228029,2,away,,,,2,2
290228004,2,home,,,,3,2
290228015,2,home,,,,2,2
290228026,2,home,,,,2,3
290228012,2,away,,,,3,3
290301002,2,away,,,,3,4
290301021,2,home,,,,3,4
290301017,2,away,,,,2,3
290301011,2,home,,,,3,3
290301016,2,away,,,,3,3
290301001,2,away,,,,3,3
290301022,2,home,,,,3,3
290301006,2,home,,,,3,2
290301009,2,away,,,,2,3
290302020,2,away,,,,3,3
290302027,2,away,,,,3,3
290302014,2,away,,,,3,4
290302025,2,home,,,,3,4
290302012,2,away,,,,3,4
290303019,2,home,,,,3,3
290303030,2,home,,,,3,3
290303008,2,home,,,,3,3
