id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
400828377,2,home,home,under,-2.0,203.0,2,3
400828378,2,home,home,under,-2.5,196.0,3,3
400828379,2,home,home,over,-6.0,196.0,2,3
400828380,2,home,home,under,-7.0,199.0,3,3
400828381,2,home,home,under,-2.5,208.0,3,3
400828382,2,away,away,under,-10.0,204.0,3,2
400828383,2,home,home,over,-6.0,213.0,3,4
400828384,2,away,away,under,9.0,210.0,3,3
400828385,2,home,home,under,-4.5,205.0,3,2
400828386,2,home,home,under,-8.0,192.0,2,3
400828387,2,away,away,under,-2.0,204.0,3,3
400828388,2,away,away,under,-4.0,206.0,3,2
400828389,2,home,home,over,-11.5,202.0,2,2
400828390,2,home,home,under,2.0,184.0,3,1
400828391,2,home,away,under,-15.0,216.0,3,3
400828392,2,home,home,over,-13.5,204.0,3,3
400828393,2,home,home,over,4.5,201.0,3,2
400828394,2,away,away,over,-4.5,196.0,3,3
400828395,2,away,away,under,1.0,197.0,3,3
400828396,2,away,away,over,1.5,204.0,3,2
400828397,2,home,home,under,1.5,209.0,3,4
400828398,2,home,home,over,-8.0,194.0,2,3
400828399,2,home,home,over,6.0,204.0,3,3
400828400,2,away,away,under,7.5,201.0,2,2
400828401,2,home,home,over,-4.5,199.0,3,3
400828402,2,home,home,under,-2.0,194.0,3,3
400828403,2,away,away,over,9.5,193.0,3,2
400828404,2,away,away,over,-7.5,214.0,3,2
400828405,2,away,home,under,3.5,198.0,3,3
400828406,2,away,away,under,1.5,196.0,3,2
400828407,2,home,away,under,-12.0,213.0,3,3
400828408,2,away,away,over,-7.5,203.0,1,2
400828409,2,home,home,over,-8.5,201.0,3,3
400828410,2,home,away,under,-7.0,213.0,3,3
400828411,2,away,away,under,13.5,211.0,3,4
400828412,2,away,away,under,-7.5,193.0,3,3
400828413,2,away,away,under,3.5,199.0,3,2
400828414,2,away,home,over,7.5,203.0,2,2
400828415,2,away,away,under,-3.0,202.0,2,2
400828416,2,away,away,under,7.0,195.0,2,3
400828417,2,away,away,under,-3.5,202.0,2,2
400828418,2,away,away,under,-8.0,205.0,2,3
400828419,2,home,home,over,-13.5,184.0,2,3
400828420,2,home,home,over,2.0,203.0,3,3
400828421,2,home,home,over,-8.0,198.0,3,2
400828422,2,away,away,over,3.5,206.0,3,2
400828423,2,away,away,over,9.5,208.0,3,2
400828424,2,home,home,under,-6.5,205.0,3,3
400828425,2,home,home,tie,-6.5,197.0,2,3
400828426,2,home,away,over,-9.0,214.0,3,3
400828427,2,away,away,under,2.0,203.0,2,3
400828428,2,away,away,under,3.5,192.0,2,3
400828429,2,home,home,under,-6.0,189.0,3,3
400828430,2,away,away,over,10.0,195.0,3,3
400828431,2,away,away,under,2.0,206.0,2,3
400828432,2,home,tie,under,-1.0,205.0,3,3
400828433,2,home,away,over,-15.0,196.0,3,3
400828434,2,away,away,tie,5.0,198.0,2,3
400828435,2,away,away,over,9.0,215.0,3,3
400828436,2,away,home,over,15.5,212.0,3,3
400828437,2,home,home,under,-8.5,203.0,2,3
400828438,2,home,home,over,-2.5,209.0,3,3
400828439,2,away,away,over,-3.5,199.0,3,2
400828440,2,home,home,under,-11.0,195.0,2,3
400828441,2,away,away,over,9.5,202.0,2,3
400828442,2,home,home,under,1.5,182.0,3,3
400828443,2,away,away,over,8.5,225.0,3,3
400828445,2,home,away,under,-9.5,204.0,2,2
400828444,2,away,away,under,4.0,199.0,3,3
400828446,2,away,home,under,16.5,206.0,2,3
400828447,2,home,home,over,3.0,192.0,3,3
400828448,2,home,home,under,-2.0,207.0,2,3
400828449,2,home,home,under,-5.5,198.0,3,3
400828450,2,home,home,under,1.5,199.0,2,3
400828451,2,home,home,over,7.5,216.0,3,3
400828452,2,away,away,under,3.5,191.0,3,4
400828453,2,away,away,under,14.5,196.0,3,2
400828454,2,away,away,over,-9.0,208.0,3,3
400828455,2,home,away,over,-14.5,210.0,3,3
400828456,2,home,home,over,-12.0,205.0,3,2
400828457,2,away,away,over,6.5,197.0,2,3
400828458,2,home,home,over,1.5,201.0,3,3
400828459,2,away,away,over,2.0,197.0,3,2
400828460,2,home,home,over,3.0,203.0,2,3
400828461,2,away,home,under,10.5,209.0,3,3
400828462,2,away,home,under,5.5,200.0,3,3
400828463,2,home,home,under,2.0,204.0,3,3
