away_3PM,away_FGA,away_FGM,away_FTA,away_FTM,away_abbreviation,away_away_records,away_display_name,away_home_records,away_score,away_total_records,date,home_3PM,home_FGA,home_FGM,home_FTA,home_FTM,home_abbreviation,home_away_records,home_display_name,home_home_records,home_score,home_total_records,id,regular_total_score,season_type,season_year,series_summary,status_period
9,69,33,26,23,IND,8-16,Indiana Pacers,18-6,98,26-22,2017-02-02T00:00Z,6,77,31,28,20,ORL,11-16,Orlando Magic,8-16,88,19-32,400899366,186.0,2,2017,,4
7,94,41,10,8,MIN,7-16,Minnesota Timberwolves,12-14,97,19-30,2017-02-02T00:00Z,15,89,48,22,14,CLE,11-10,Cleveland Cavaliers,22-5,125,33-15,400899369,222.0,2,2017,,4
8,78,41,25,14,TOR,13-11,Toronto Raptors,17-9,104,30-20,2017-02-02T00:30Z,12,87,36,30,25,BOS,14-10,Boston Celtics,17-8,109,31-18,400899391,213.0,2,2017,,4
6,99,35,31,19,NY,9-18,New York Knicks,13-11,95,22-29,2017-02-02T00:30Z,5,88,37,16,11,BKN,2-22,Brooklyn Nets,7-18,90,9-40,400899394,185.0,2,2017,,4
7,86,34,21,18,ATL,14-11,Atlanta Hawks,14-10,93,28-21,2017-02-02T00:30Z,12,93,45,19,14,MIA,8-17,Miami Heat,12-13,116,20-30,400899397,209.0,2,2017,,4
5,82,41,14,11,NO,6-17,New Orleans Pelicans,13-14,98,19-31,2017-02-02T00:30Z,10,88,48,17,12,DET,9-17,Detroit Pistons,13-10,118,22-27,400899400,216.0,2,2017,,4
6,77,35,26,19,PHI,6-15,Philadelphia 76ers,12-15,95,18-30,2017-02-02T01:30Z,10,86,40,28,23,DAL,7-18,Dallas Mavericks,12-12,113,19-30,400899402,208.0,2,2017,,4
14,92,45,20,15,MEM,14-12,Memphis Grizzlies,16-9,119,30-21,2017-02-02T02:00Z,9,80,32,35,26,DEN,9-15,Denver Nuggets,12-12,99,21-27,400899404,218.0,2,2017,,4
9,73,32,25,15,MIL,8-15,Milwaukee Bucks,13-12,88,21-27,2017-02-02T02:00Z,11,78,36,27,21,UTAH,13-10,Utah Jazz,18-9,104,31-19,400899407,192.0,2,2017,,4
5,85,44,38,31,LAC,14-11,LA Clippers,17-7,124,31-18,2017-02-02T02:00Z,7,96,39,35,29,PHX,7-18,Phoenix Suns,8-16,114,15-34,400899430,238.0,2,2017,,4
6,81,49,30,24,CHI,10-14,Chicago Bulls,15-11,128,25-25,2017-02-02T02:30Z,10,100,38,17,14,OKC,12-15,Oklahoma City Thunder,16-7,100,28-22,400899433,228.0,2,2017,,4
9,88,39,26,24,CHA,8-17,Charlotte Hornets,15-10,111,23-27,2017-02-02T03:30Z,21,96,47,14,11,GS,20-4,Golden State Warriors,22-3,126,42-7,400899435,237.0,2,2017,,4
12,87,40,22,16,LAL,5-22,Los Angeles Lakers,12-13,108,17-35,2017-02-03T00:00Z,12,96,44,21,16,WSH,8-14,Washington Wizards,21-6,116,29-20,400899446,224.0,2,2017,,4
8,85,44,23,17,ATL,15-11,Atlanta Hawks,14-10,113,29-21,2017-02-03T01:00Z,13,93,35,33,25,HOU,18-11,Houston Rockets,18-6,108,36-17,400899449,221.0,2,2017,,4
9,88,30,23,17,PHI,6-16,Philadelphia 76ers,12-15,86,18-31,2017-02-03T01:30Z,6,89,38,27,20,SA,20-5,San Antonio Spurs,18-6,102,38-11,400899470,188.0,2,2017,,4
14,99,52,18,15,GS,21-4,Golden State Warriors,22-3,133,43-7,2017-02-03T03:30Z,10,80,40,39,30,LAC,14-11,LA Clippers,17-8,120,31-19,400899472,253.0,2,2017,,4
