id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
290102019,25.0,13.0,13.0,8.0,17.0,6.0,7.0,3.0,12.0,4.0,11.0,5.0
290102028,12.0,5.0,12.0,8.0,21.0,10.0,20.0,9.0,7.0,11.0,11.0,4.0
290102002,28.0,17.0,24.0,12.0,6.0,2.0,5.0,1.0,11.0,4.0,4.0,12.0
290102005,26.0,16.0,18.0,14.0,14.0,4.0,5.0,0.0,10.0,5.0,10.0,4.0
290102017,15.0,5.0,10.0,8.0,21.0,7.0,17.0,12.0,10.0,5.0,14.0,2.0
290102018,12.0,7.0,21.0,12.0,10.0,4.0,18.0,7.0,5.0,11.0,6.0,9.0
290102008,19.0,11.0,24.0,13.0,8.0,2.0,11.0,5.0,8.0,6.0,6.0,11.0
290102016,6.0,3.0,24.0,17.0,10.0,4.0,25.0,12.0,3.0,13.0,6.0,7.0
290102025,4.0,3.0,12.0,8.0,21.0,10.0,29.0,14.0,1.0,15.0,11.0,4.0
290102029,10.0,8.0,11.0,5.0,20.0,8.0,22.0,9.0,2.0,13.0,12.0,6.0
290102006,19.0,9.0,18.0,10.0,13.0,6.0,12.0,6.0,10.0,6.0,7.0,8.0
290102015,15.0,8.0,21.0,9.0,11.0,3.0,18.0,5.0,7.0,13.0,8.0,12.0
290102021,18.0,9.0,23.0,10.0,8.0,5.0,12.0,6.0,9.0,6.0,3.0,13.0
290102022,20.0,12.0,9.0,5.0,19.0,8.0,12.0,3.0,8.0,9.0,11.0,4.0
290102013,25.0,16.0,14.0,10.0,19.0,7.0,5.0,1.0,9.0,4.0,12.0,4.0
290103011,11.0,6.0,25.0,14.0,8.0,2.0,21.0,9.0,5.0,12.0,6.0,11.0
290103001,21.0,14.0,13.0,9.0,21.0,10.0,11.0,2.0,7.0,9.0,11.0,4.0
290103030,11.0,8.0,18.0,13.0,16.0,7.0,22.0,12.0,3.0,10.0,9.0,5.0
290103014,17.0,11.0,17.0,5.0,16.0,10.0,14.0,5.0,6.0,9.0,6.0,12.0
290103004,14.0,10.0,25.0,13.0,7.0,3.0,19.0,4.0,4.0,15.0,4.0,12.0
290103024,21.0,12.0,19.0,11.0,13.0,6.0,11.0,6.0,9.0,5.0,7.0,8.0
290103007,22.0,11.0,9.0,5.0,20.0,9.0,12.0,4.0,11.0,8.0,11.0,4.0
290104028,13.0,6.0,7.0,4.0,26.0,12.0,20.0,9.0,7.0,11.0,14.0,3.0
290104027,6.0,4.0,5.0,5.0,27.0,10.0,25.0,12.0,2.0,13.0,17.0,0.0
290104012,8.0,3.0,11.0,6.0,20.0,8.0,24.0,13.0,5.0,11.0,12.0,5.0
290104029,10.0,8.0,12.0,6.0,20.0,10.0,23.0,10.0,2.0,13.0,10.0,6.0
290104018,12.0,7.0,5.0,4.0,29.0,11.0,19.0,8.0,5.0,11.0,18.0,1.0
290104013,26.0,17.0,13.0,9.0,20.0,8.0,5.0,1.0,9.0,4.0,12.0,4.0
290105014,18.0,12.0,11.0,5.0,22.0,9.0,14.0,5.0,6.0,9.0,13.0,6.0
290105017,16.0,6.0,26.0,15.0,8.0,2.0,18.0,12.0,10.0,6.0,6.0,11.0
290105015,16.0,9.0,20.0,11.0,14.0,7.0,19.0,5.0,7.0,14.0,7.0,9.0
290105007,23.0,12.0,21.0,12.0,12.0,5.0,12.0,4.0,11.0,8.0,7.0,9.0
290105026,19.0,12.0,25.0,18.0,10.0,4.0,15.0,4.0,7.0,11.0,6.0,7.0
290106019,26.0,14.0,25.0,13.0,7.0,2.0,8.0,3.0,12.0,5.0,5.0,12.0
290106020,13.0,7.0,14.0,10.0,21.0,10.0,20.0,8.0,6.0,12.0,11.0,4.0
290106030,12.0,9.0,6.0,5.0,29.0,11.0,22.0,12.0,3.0,10.0,18.0,1.0
290106025,4.0,3.0,19.0,11.0,13.0,5.0,30.0,15.0,1.0,15.0,8.0,8.0
290106029,11.0,9.0,25.0,13.0,8.0,4.0,23.0,10.0,2.0,13.0,4.0,12.0
290106004,14.0,10.0,27.0,16.0,8.0,2.0,20.0,5.0,4.0,15.0,6.0,11.0
290106006,20.0,10.0,25.0,11.0,8.0,5.0,13.0,6.0,10.0,7.0,3.0,14.0
290106013,27.0,18.0,10.0,6.0,20.0,9.0,5.0,1.0,9.0,4.0,11.0,4.0
290107001,22.0,15.0,8.0,5.0,27.0,12.0,11.0,2.0,7.0,9.0,15.0,3.0
290107005,27.0,17.0,22.0,10.0,13.0,3.0,6.0,0.0,10.0,6.0,10.0,12.0
290107027,7.0,5.0,21.0,12.0,14.0,7.0,26.0,12.0,2.0,14.0,7.0,9.0
290107002,29.0,18.0,15.0,11.0,21.0,10.0,7.0,1.0,11.0,6.0,11.0,4.0
290107017,17.0,7.0,24.0,13.0,11.0,2.0,18.0,12.0,10.0,6.0,9.0,11.0
290107015,17.0,10.0,20.0,12.0,14.0,6.0,19.0,5.0,7.0,14.0,8.0,8.0
290107016,9.0,4.0,30.0,15.0,5.0,1.0,25.0,12.0,5.0,13.0,4.0,15.0
290107007,24.0,13.0,15.0,9.0,18.0,6.0,12.0,4.0,11.0,8.0,12.0,6.0
