id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400828377,14.0,7.0,13.0,7.0,19.0,7.0,16.0,8.0,7.0,8.0,12.0,6.0
400828378,18.0,13.0,13.0,8.0,19.0,9.0,13.0,7.0,5.0,6.0,10.0,5.0
400828379,20.0,10.0,14.0,8.0,17.0,4.0,13.0,5.0,10.0,8.0,13.0,6.0
400828380,18.0,13.0,18.0,10.0,15.0,7.0,12.0,5.0,5.0,7.0,8.0,8.0
400828381,6.0,2.0,31.0,19.0,3.0,2.0,27.0,9.0,4.0,18.0,1.0,12.0
400828382,18.0,9.0,23.0,13.0,9.0,3.0,14.0,8.0,9.0,6.0,6.0,10.0
400828383,12.0,8.0,23.0,13.0,12.0,4.0,20.0,9.0,4.0,11.0,8.0,10.0
400828384,17.0,13.0,10.0,6.0,23.0,7.0,15.0,6.0,4.0,9.0,16.0,4.0
400828385,18.0,11.0,15.0,10.0,18.0,7.0,14.0,5.0,7.0,9.0,11.0,5.0
400828386,21.0,13.0,14.0,8.0,19.0,7.0,9.0,1.0,8.0,8.0,12.0,6.0
400828387,12.0,5.0,21.0,15.0,13.0,4.0,21.0,12.0,7.0,9.0,9.0,6.0
400828388,19.0,10.0,22.0,15.0,10.0,3.0,14.0,5.0,9.0,9.0,7.0,7.0
400828389,28.0,19.0,18.0,9.0,16.0,6.0,6.0,0.0,9.0,6.0,10.0,9.0
400828390,14.0,9.0,16.0,10.0,18.0,7.0,17.0,7.0,5.0,10.0,11.0,6.0
400828391,30.0,15.0,21.0,11.0,12.0,7.0,2.0,0.0,15.0,2.0,5.0,10.0
400828392,21.0,10.0,32.0,20.0,3.0,2.0,13.0,6.0,11.0,7.0,1.0,12.0
400828393,15.0,8.0,13.0,7.0,21.0,9.0,19.0,8.0,7.0,11.0,12.0,6.0
400828394,21.0,11.0,12.0,7.0,19.0,5.0,13.0,5.0,10.0,8.0,14.0,5.0
400828395,15.0,8.0,13.0,6.0,19.0,5.0,16.0,8.0,7.0,8.0,14.0,7.0
