id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
270101022,13.0,7.0,19.0,9.0,10.0,6.0,18.0,8.0,6.0,10.0,4.0,10.0
270101030,9.0,6.0,15.0,10.0,13.0,5.0,21.0,10.0,3.0,11.0,8.0,5.0
270102003,12.0,7.0,16.0,11.0,16.0,3.0,18.0,6.0,5.0,12.0,13.0,5.0
270102005,17.0,13.0,8.0,3.0,23.0,11.0,12.0,3.0,4.0,9.0,12.0,5.0
270102007,16.0,9.0,22.0,15.0,8.0,4.0,12.0,6.0,7.0,6.0,4.0,7.0
270102019,18.0,11.0,16.0,10.0,14.0,2.0,14.0,6.0,7.0,8.0,12.0,6.0
270102023,13.0,9.0,20.0,10.0,13.0,5.0,15.0,7.0,4.0,8.0,8.0,10.0
270102004,19.0,14.0,8.0,5.0,21.0,9.0,12.0,2.0,5.0,10.0,12.0,3.0
270102006,24.0,14.0,19.0,12.0,13.0,4.0,7.0,3.0,10.0,4.0,9.0,7.0
270103016,14.0,8.0,9.0,4.0,23.0,11.0,15.0,5.0,6.0,10.0,12.0,5.0
270103022,13.0,7.0,21.0,11.0,13.0,5.0,19.0,9.0,6.0,10.0,8.0,10.0
270103026,22.0,13.0,22.0,15.0,9.0,5.0,9.0,2.0,9.0,7.0,4.0,7.0
270103027,17.0,11.0,15.0,11.0,16.0,7.0,13.0,3.0,6.0,10.0,9.0,4.0
270103028,13.0,8.0,8.0,5.0,22.0,10.0,18.0,4.0,5.0,14.0,12.0,3.0
270103029,7.0,5.0,16.0,11.0,17.0,4.0,25.0,9.0,2.0,16.0,13.0,5.0
270103002,11.0,4.0,12.0,9.0,18.0,4.0,19.0,10.0,7.0,9.0,14.0,3.0
270103010,19.0,10.0,20.0,13.0,13.0,4.0,12.0,3.0,9.0,9.0,9.0,7.0
270103014,13.0,8.0,17.0,11.0,14.0,2.0,17.0,8.0,5.0,9.0,12.0,6.0
270104003,12.0,7.0,11.0,6.0,18.0,9.0,19.0,7.0,5.0,12.0,9.0,5.0
270104006,25.0,15.0,15.0,10.0,17.0,8.0,7.0,3.0,10.0,4.0,9.0,5.0
270104023,14.0,10.0,11.0,7.0,20.0,6.0,15.0,7.0,4.0,8.0,14.0,4.0
270105016,15.0,9.0,23.0,16.0,9.0,5.0,15.0,5.0,6.0,10.0,4.0,7.0
270105019,19.0,12.0,22.0,11.0,9.0,3.0,14.0,6.0,7.0,8.0,6.0,11.0
270105024,23.0,12.0,7.0,4.0,26.0,10.0,10.0,5.0,11.0,5.0,16.0,3.0
270105027,18.0,12.0,17.0,11.0,15.0,3.0,13.0,3.0,6.0,10.0,12.0,6.0
270105028,13.0,8.0,20.0,11.0,9.0,5.0,19.0,5.0,5.0,14.0,4.0,9.0
270105029,8.0,6.0,20.0,9.0,11.0,7.0,25.0,9.0,2.0,16.0,4.0,11.0
270105010,20.0,11.0,9.0,7.0,23.0,9.0,12.0,3.0,9.0,9.0,14.0,2.0
270105013,21.0,14.0,13.0,6.0,16.0,7.0,11.0,4.0,7.0,7.0,9.0,7.0
270105015,16.0,9.0,12.0,9.0,19.0,5.0,16.0,4.0,7.0,12.0,14.0,3.0
270105017,13.0,9.0,13.0,10.0,19.0,5.0,18.0,10.0,4.0,8.0,14.0,3.0
270105025,13.0,9.0,21.0,11.0,14.0,6.0,21.0,7.0,4.0,14.0,8.0,10.0
