id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
300101001,21.0,12.0,20.0,10.0,12.0,5.0,10.0,3.0,9.0,7.0,7.0,10.0
300101016,7.0,4.0,8.0,5.0,23.0,10.0,26.0,13.0,3.0,13.0,13.0,3.0
300101013,25.0,17.0,17.0,11.0,14.0,3.0,6.0,3.0,8.0,3.0,11.0,6.0
300102017,3.0,2.0,8.0,6.0,26.0,13.0,29.0,13.0,1.0,16.0,13.0,2.0
300102014,16.0,10.0,18.0,14.0,12.0,1.0,14.0,8.0,6.0,6.0,11.0,4.0
300102011,9.0,6.0,27.0,13.0,7.0,3.0,22.0,9.0,3.0,13.0,4.0,14.0
300102027,10.0,5.0,11.0,6.0,19.0,5.0,20.0,8.0,5.0,12.0,14.0,5.0
300102002,23.0,10.0,17.0,12.0,16.0,5.0,8.0,4.0,13.0,4.0,11.0,5.0
300102003,14.0,12.0,13.0,9.0,20.0,10.0,16.0,3.0,2.0,13.0,10.0,4.0
300102004,13.0,10.0,8.0,5.0,24.0,11.0,17.0,6.0,3.0,11.0,13.0,3.0
300102015,12.0,9.0,14.0,7.0,18.0,9.0,18.0,7.0,3.0,11.0,9.0,7.0
300102021,21.0,13.0,16.0,11.0,15.0,5.0,12.0,2.0,8.0,10.0,10.0,5.0
300102026,18.0,12.0,12.0,10.0,20.0,7.0,14.0,4.0,6.0,10.0,13.0,2.0
300102022,21.0,12.0,22.0,15.0,9.0,3.0,13.0,5.0,9.0,8.0,6.0,7.0
300102023,14.0,11.0,10.0,5.0,22.0,11.0,18.0,6.0,3.0,12.0,11.0,5.0
300103005,27.0,13.0,18.0,14.0,13.0,2.0,8.0,2.0,14.0,6.0,11.0,4.0
300103018,13.0,7.0,22.0,13.0,10.0,3.0,20.0,10.0,6.0,10.0,7.0,9.0
300103028,16.0,11.0,11.0,6.0,20.0,6.0,18.0,5.0,5.0,13.0,14.0,5.0
300103007,21.0,13.0,23.0,13.0,9.0,5.0,12.0,2.0,8.0,10.0,4.0,10.0
300103013,26.0,18.0,10.0,5.0,23.0,12.0,6.0,3.0,8.0,3.0,11.0,5.0
300104014,16.0,10.0,11.0,7.0,21.0,9.0,15.0,9.0,6.0,6.0,12.0,4.0
300104004,14.0,11.0,15.0,8.0,18.0,9.0,17.0,6.0,3.0,11.0,9.0,7.0
300104026,18.0,12.0,16.0,13.0,15.0,2.0,15.0,5.0,6.0,10.0,13.0,3.0
300104012,14.0,9.0,13.0,8.0,22.0,9.0,18.0,8.0,5.0,10.0,13.0,5.0
300105011,10.0,7.0,9.0,6.0,24.0,11.0,23.0,9.0,3.0,14.0,13.0,3.0
300105020,10.0,4.0,21.0,12.0,10.0,5.0,23.0,10.0,6.0,13.0,5.0,9.0
300105030,14.0,11.0,18.0,11.0,14.0,3.0,18.0,4.0,3.0,14.0,11.0,7.0
300105017,3.0,2.0,18.0,11.0,13.0,3.0,30.0,14.0,1.0,16.0,10.0,7.0
300105006,23.0,11.0,21.0,13.0,11.0,3.0,11.0,5.0,12.0,6.0,8.0,8.0
300105007,21.0,13.0,23.0,16.0,9.0,3.0,13.0,3.0,8.0,10.0,6.0,7.0
300105022,22.0,13.0,16.0,11.0,16.0,6.0,14.0,5.0,9.0,9.0,10.0,5.0
300105023,14.0,11.0,13.0,10.0,21.0,8.0,19.0,7.0,3.0,12.0,13.0,3.0
300105013,27.0,19.0,14.0,10.0,20.0,10.0,6.0,3.0,8.0,3.0,10.0,4.0
