id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400278178,4.0,3.0,19.0,13.0,12.0,4.0,24.0,11.0,1.0,13.0,8.0,6.0
400278179,21.0,12.0,14.0,10.0,15.0,4.0,9.0,2.0,9.0,7.0,11.0,4.0
400278180,11.0,8.0,19.0,12.0,11.0,1.0,22.0,8.0,3.0,14.0,10.0,7.0
400278181,7.0,3.0,10.0,5.0,19.0,8.0,23.0,12.0,4.0,11.0,11.0,5.0
400278182,17.0,9.0,6.0,3.0,25.0,10.0,15.0,1.0,8.0,14.0,15.0,3.0
400278183,15.0,10.0,17.0,10.0,14.0,5.0,15.0,6.0,5.0,9.0,9.0,7.0
400278184,11.0,7.0,14.0,10.0,16.0,5.0,20.0,5.0,4.0,15.0,11.0,4.0
400278185,12.0,7.0,13.0,5.0,16.0,7.0,19.0,10.0,5.0,9.0,9.0,8.0
400278186,7.0,3.0,20.0,13.0,11.0,1.0,25.0,10.0,4.0,15.0,10.0,7.0
400278187,18.0,10.0,25.0,13.0,4.0,1.0,13.0,3.0,8.0,10.0,3.0,12.0
400278188,14.0,9.0,9.0,6.0,19.0,6.0,16.0,5.0,5.0,11.0,13.0,3.0
400278189,21.0,14.0,19.0,13.0,13.0,5.0,8.0,2.0,7.0,6.0,8.0,6.0
400278190,16.0,9.0,8.0,6.0,25.0,12.0,13.0,6.0,7.0,7.0,13.0,2.0
400278191,17.0,12.0,24.0,11.0,7.0,4.0,14.0,6.0,5.0,8.0,3.0,13.0
400278192,24.0,16.0,15.0,8.0,16.0,5.0,6.0,2.0,8.0,4.0,11.0,7.0
400278193,15.0,9.0,13.0,9.0,14.0,5.0,17.0,4.0,6.0,13.0,9.0,4.0
400278194,11.0,9.0,17.0,10.0,15.0,6.0,21.0,7.0,2.0,14.0,9.0,7.0
400278195,21.0,10.0,7.0,4.0,25.0,10.0,10.0,4.0,11.0,6.0,15.0,3.0
400278196,21.0,12.0,8.0,6.0,26.0,13.0,10.0,3.0,9.0,7.0,13.0,2.0
400278197,18.0,10.0,14.0,10.0,14.0,5.0,15.0,1.0,8.0,14.0,9.0,4.0
400278198,12.0,8.0,20.0,13.0,12.0,2.0,20.0,5.0,4.0,15.0,10.0,7.0
400278199,4.0,3.0,15.0,8.0,17.0,6.0,26.0,12.0,1.0,14.0,11.0,7.0
400278200,8.0,5.0,26.0,15.0,7.0,4.0,23.0,12.0,3.0,11.0,3.0,11.0
400278202,12.0,9.0,10.0,5.0,20.0,9.0,22.0,8.0,3.0,14.0,11.0,5.0
400278201,22.0,15.0,13.0,5.0,17.0,8.0,8.0,2.0,7.0,6.0,9.0,8.0
400278203,14.0,9.0,13.0,10.0,19.0,8.0,17.0,6.0,5.0,11.0,11.0,3.0
400278204,20.0,13.0,15.0,11.0,16.0,5.0,9.0,3.0,7.0,6.0,11.0,4.0
400278205,24.0,16.0,18.0,11.0,15.0,6.0,7.0,3.0,8.0,4.0,9.0,7.0
400278206,16.0,9.0,14.0,8.0,18.0,5.0,14.0,7.0,7.0,7.0,13.0,6.0
400278207,12.0,10.0,17.0,13.0,16.0,6.0,21.0,7.0,2.0,14.0,10.0,4.0
400278208,25.0,15.0,16.0,9.0,15.0,5.0,8.0,3.0,10.0,5.0,10.0,7.0
400278209,20.0,11.0,17.0,11.0,15.0,5.0,11.0,5.0,9.0,6.0,10.0,6.0
400278210,12.0,7.0,10.0,7.0,22.0,9.0,20.0,11.0,5.0,9.0,13.0,3.0
400278211,19.0,11.0,15.0,7.0,16.0,7.0,14.0,3.0,8.0,11.0,9.0,8.0
400278212,18.0,11.0,20.0,13.0,13.0,3.0,15.0,7.0,7.0,8.0,10.0,7.0
400278213,8.0,3.0,14.0,8.0,19.0,6.0,26.0,11.0,5.0,15.0,13.0,6.0
400278214,15.0,9.0,15.0,11.0,17.0,6.0,14.0,4.0,6.0,10.0,11.0,4.0
400278215,13.0,8.0,25.0,12.0,7.0,4.0,20.0,6.0,5.0,14.0,3.0,13.0
400278216,26.0,13.0,19.0,12.0,15.0,6.0,9.0,2.0,13.0,7.0,9.0,7.0
400278217,18.0,10.0,17.0,13.0,17.0,7.0,16.0,2.0,8.0,14.0,10.0,4.0
400278218,26.0,16.0,10.0,6.0,22.0,11.0,8.0,3.0,10.0,5.0,11.0,4.0
400278219,12.0,8.0,7.0,4.0,25.0,8.0,21.0,6.0,4.0,15.0,17.0,3.0
400278220,22.0,15.0,27.0,14.0,4.0,1.0,9.0,3.0,7.0,6.0,3.0,13.0
400278221,13.0,10.0,24.0,11.0,8.0,3.0,22.0,8.0,3.0,14.0,5.0,13.0
400278222,12.0,10.0,10.0,6.0,20.0,7.0,22.0,8.0,2.0,14.0,13.0,4.0
400278223,15.0,10.0,16.0,14.0,19.0,8.0,17.0,7.0,5.0,10.0,11.0,2.0
400278224,4.0,3.0,7.0,4.0,26.0,9.0,28.0,13.0,1.0,15.0,17.0,3.0
400278225,23.0,13.0,17.0,11.0,16.0,6.0,10.0,3.0,10.0,7.0,10.0,6.0
400278226,18.0,9.0,27.0,15.0,8.0,5.0,13.0,8.0,9.0,5.0,3.0,12.0
400278227,8.0,3.0,9.0,7.0,27.0,13.0,25.0,13.0,5.0,12.0,14.0,2.0
400278228,17.0,10.0,21.0,14.0,13.0,5.0,18.0,4.0,7.0,14.0,8.0,7.0
400278229,13.0,10.0,10.0,6.0,21.0,8.0,21.0,7.0,3.0,14.0,13.0,4.0
400278230,18.0,11.0,21.0,9.0,12.0,5.0,15.0,4.0,7.0,11.0,7.0,12.0
400278231,15.0,9.0,15.0,8.0,19.0,7.0,20.0,7.0,6.0,13.0,12.0,7.0
400278232,20.0,12.0,9.0,6.0,23.0,7.0,14.0,3.0,8.0,11.0,16.0,3.0
400278233,16.0,9.0,23.0,14.0,12.0,2.0,16.0,8.0,7.0,8.0,10.0,9.0
400278234,20.0,13.0,18.0,10.0,15.0,5.0,14.0,6.0,7.0,8.0,10.0,8.0
400278235,15.0,9.0,12.0,6.0,20.0,9.0,15.0,5.0,6.0,10.0,11.0,6.0
400278236,12.0,8.0,21.0,13.0,15.0,6.0,22.0,7.0,4.0,15.0,9.0,8.0
400278237,9.0,5.0,18.0,14.0,18.0,7.0,24.0,13.0,4.0,11.0,11.0,4.0
400278238,8.0,3.0,13.0,7.0,20.0,9.0,28.0,12.0,5.0,16.0,11.0,6.0
400278239,17.0,10.0,24.0,15.0,12.0,2.0,17.0,6.0,7.0,11.0,10.0,9.0
400278240,19.0,10.0,16.0,8.0,17.0,7.0,13.0,8.0,9.0,5.0,10.0,8.0
400278241,9.0,4.0,14.0,8.0,21.0,7.0,25.0,13.0,5.0,12.0,14.0,6.0
400278242,27.0,14.0,19.0,11.0,15.0,5.0,10.0,2.0,13.0,8.0,10.0,8.0
400278243,26.0,17.0,15.0,10.0,16.0,6.0,8.0,3.0,9.0,5.0,10.0,5.0
400278244,20.0,11.0,22.0,10.0,12.0,5.0,16.0,2.0,9.0,14.0,7.0,12.0
400278245,27.0,17.0,22.0,15.0,13.0,5.0,8.0,3.0,10.0,5.0,8.0,7.0
400278246,22.0,11.0,10.0,6.0,22.0,9.0,11.0,4.0,11.0,7.0,13.0,4.0
400278247,21.0,13.0,11.0,7.0,23.0,10.0,14.0,3.0,8.0,11.0,13.0,4.0
400278248,13.0,10.0,23.0,16.0,13.0,5.0,22.0,8.0,3.0,14.0,8.0,7.0
400278249,19.0,12.0,10.0,7.0,23.0,7.0,15.0,4.0,7.0,11.0,16.0,3.0
400278250,13.0,9.0,25.0,11.0,9.0,4.0,22.0,7.0,4.0,15.0,5.0,14.0
400278251,18.0,11.0,15.0,9.0,21.0,7.0,17.0,6.0,7.0,11.0,14.0,6.0
400278252,20.0,12.0,25.0,16.0,12.0,2.0,15.0,7.0,8.0,8.0,10.0,9.0
400278253,20.0,11.0,18.0,14.0,19.0,8.0,14.0,6.0,9.0,8.0,11.0,4.0
400278254,23.0,13.0,14.0,5.0,19.0,9.0,12.0,4.0,10.0,8.0,10.0,9.0
400278255,23.0,13.0,10.0,8.0,28.0,13.0,10.0,4.0,10.0,6.0,15.0,2.0
400278256,10.0,5.0,16.0,11.0,16.0,6.0,25.0,13.0,5.0,12.0,10.0,5.0
400278257,18.0,10.0,23.0,14.0,13.0,3.0,16.0,8.0,8.0,8.0,10.0,9.0
400278258,21.0,12.0,28.0,16.0,9.0,5.0,16.0,2.0,9.0,14.0,4.0,12.0
400278259,15.0,10.0,8.0,5.0,27.0,9.0,20.0,8.0,5.0,12.0,18.0,3.0
400278260,22.0,11.0,15.0,11.0,20.0,7.0,12.0,5.0,11.0,7.0,13.0,4.0
400278261,28.0,18.0,23.0,11.0,12.0,5.0,8.0,3.0,10.0,5.0,7.0,12.0
400278262,5.0,4.0,14.0,8.0,21.0,9.0,28.0,13.0,1.0,15.0,12.0,6.0
400278263,22.0,14.0,26.0,12.0,9.0,4.0,14.0,3.0,8.0,11.0,5.0,14.0
400278264,15.0,9.0,16.0,10.0,21.0,7.0,22.0,8.0,6.0,14.0,14.0,6.0
400278265,14.0,10.0,19.0,15.0,19.0,8.0,23.0,9.0,4.0,14.0,11.0,4.0
400278266,20.0,10.0,26.0,17.0,12.0,2.0,14.0,9.0,10.0,5.0,10.0,9.0
400278267,14.0,8.0,10.0,6.0,24.0,10.0,23.0,7.0,6.0,16.0,14.0,4.0
400278268,13.0,10.0,11.0,8.0,23.0,7.0,23.0,9.0,3.0,14.0,16.0,3.0
400278269,23.0,13.0,25.0,12.0,11.0,5.0,13.0,5.0,10.0,8.0,6.0,13.0
400278270,14.0,10.0,17.0,8.0,18.0,8.0,22.0,7.0,4.0,15.0,10.0,9.0
400278271,21.0,13.0,14.0,11.0,23.0,8.0,15.0,7.0,8.0,8.0,15.0,3.0
400278272,28.0,15.0,17.0,12.0,16.0,6.0,11.0,2.0,13.0,9.0,10.0,5.0
400278273,22.0,13.0,12.0,7.0,23.0,11.0,16.0,2.0,9.0,14.0,12.0,5.0
400278274,20.0,13.0,8.0,5.0,28.0,10.0,16.0,4.0,7.0,12.0,18.0,3.0
400278275,15.0,10.0,29.0,17.0,9.0,5.0,21.0,9.0,5.0,12.0,4.0,12.0
400278276,6.0,5.0,23.0,11.0,13.0,6.0,28.0,13.0,1.0,15.0,7.0,12.0
400278277,19.0,12.0,27.0,13.0,9.0,4.0,17.0,6.0,7.0,11.0,5.0,14.0
400278278,20.0,10.0,15.0,9.0,21.0,9.0,15.0,10.0,10.0,5.0,12.0,6.0
