id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
280102005,14.0,8.0,13.0,7.0,15.0,5.0,17.0,6.0,6.0,11.0,10.0,6.0
280102011,15.0,7.0,22.0,11.0,8.0,3.0,17.0,8.0,8.0,9.0,5.0,11.0
280102016,4.0,3.0,13.0,10.0,18.0,3.0,26.0,10.0,1.0,16.0,15.0,3.0
280102019,22.0,7.0,16.0,5.0,14.0,7.0,11.0,6.0,15.0,5.0,7.0,11.0
280102026,17.0,11.0,17.0,8.0,14.0,7.0,16.0,3.0,6.0,13.0,7.0,9.0
280102027,15.0,9.0,7.0,5.0,24.0,11.0,14.0,6.0,6.0,8.0,13.0,2.0
280102030,11.0,10.0,18.0,10.0,11.0,5.0,18.0,8.0,1.0,10.0,6.0,8.0
280102002,26.0,14.0,16.0,10.0,15.0,8.0,3.0,1.0,12.0,2.0,7.0,6.0
280102006,20.0,14.0,13.0,7.0,19.0,11.0,11.0,3.0,6.0,8.0,8.0,6.0
280102012,10.0,5.0,11.0,5.0,20.0,11.0,19.0,9.0,5.0,10.0,9.0,6.0
280102014,8.0,4.0,19.0,15.0,11.0,2.0,23.0,10.0,4.0,13.0,9.0,4.0
280102018,8.0,7.0,18.0,10.0,11.0,3.0,21.0,10.0,1.0,11.0,8.0,8.0
280103004,12.0,6.0,13.0,10.0,19.0,4.0,18.0,8.0,6.0,10.0,15.0,3.0
280103007,18.0,12.0,8.0,6.0,21.0,5.0,12.0,5.0,6.0,7.0,16.0,2.0
280103021,22.0,9.0,22.0,11.0,9.0,4.0,9.0,3.0,13.0,6.0,5.0,11.0
280104011,15.0,7.0,14.0,8.0,15.0,5.0,18.0,9.0,8.0,9.0,10.0,6.0
280104016,4.0,3.0,12.0,7.0,19.0,6.0,27.0,11.0,1.0,16.0,13.0,5.0
280104019,22.0,7.0,17.0,11.0,15.0,8.0,12.0,7.0,15.0,5.0,7.0,6.0
280104028,17.0,8.0,7.0,5.0,25.0,12.0,15.0,6.0,9.0,9.0,13.0,2.0
280104002,27.0,15.0,22.0,11.0,9.0,4.0,3.0,1.0,12.0,2.0,5.0,11.0
280104005,15.0,9.0,18.0,10.0,12.0,4.0,17.0,6.0,6.0,11.0,8.0,8.0
280104009,19.0,8.0,11.0,5.0,21.0,12.0,14.0,6.0,11.0,8.0,9.0,6.0
280104013,19.0,11.0,18.0,9.0,14.0,7.0,11.0,5.0,8.0,6.0,7.0,9.0
280104015,12.0,9.0,15.0,8.0,15.0,6.0,19.0,4.0,3.0,15.0,9.0,7.0
280104017,15.0,7.0,19.0,10.0,11.0,1.0,16.0,11.0,8.0,5.0,10.0,9.0
280104024,21.0,16.0,22.0,11.0,8.0,1.0,9.0,2.0,5.0,7.0,7.0,11.0
280104006,21.0,15.0,24.0,13.0,8.0,4.0,11.0,3.0,6.0,8.0,4.0,11.0
280105001,15.0,10.0,16.0,5.0,16.0,8.0,15.0,6.0,5.0,9.0,8.0,11.0
280105021,23.0,10.0,11.0,5.0,22.0,13.0,9.0,3.0,13.0,6.0,9.0,6.0
280105022,20.0,15.0,16.0,13.0,18.0,6.0,13.0,3.0,5.0,10.0,12.0,3.0
280105004,12.0,6.0,19.0,11.0,12.0,4.0,19.0,9.0,6.0,10.0,8.0,8.0
280105008,26.0,13.0,3.0,2.0,28.0,12.0,7.0,2.0,13.0,5.0,16.0,1.0
280105010,16.0,7.0,23.0,12.0,8.0,1.0,17.0,6.0,9.0,11.0,7.0,11.0
280106012,10.0,5.0,9.0,7.0,22.0,5.0,20.0,10.0,5.0,10.0,17.0,2.0
280106027,16.0,9.0,23.0,12.0,9.0,4.0,15.0,7.0,7.0,8.0,5.0,11.0
280106028,17.0,8.0,17.0,11.0,16.0,6.0,16.0,7.0,9.0,9.0,10.0,6.0
280106016,4.0,3.0,11.0,8.0,22.0,6.0,28.0,12.0,1.0,16.0,16.0,3.0
280106029,9.0,5.0,25.0,14.0,8.0,4.0,23.0,11.0,4.0,12.0,4.0,11.0
280106007,20.0,13.0,19.0,10.0,14.0,7.0,12.0,5.0,7.0,7.0,7.0,9.0
280106030,11.0,10.0,20.0,15.0,12.0,3.0,20.0,9.0,1.0,11.0,9.0,5.0
280106013,20.0,12.0,18.0,9.0,16.0,8.0,11.0,5.0,8.0,6.0,8.0,9.0
280107021,23.0,10.0,12.0,7.0,21.0,7.0,10.0,4.0,13.0,6.0,14.0,5.0
280107009,19.0,8.0,9.0,7.0,23.0,6.0,15.0,7.0,11.0,8.0,17.0,2.0
280108005,17.0,10.0,24.0,13.0,9.0,4.0,17.0,6.0,7.0,11.0,5.0,11.0
280108016,4.0,3.0,26.0,15.0,8.0,4.0,29.0,13.0,1.0,16.0,4.0,11.0
280108020,14.0,7.0,20.0,15.0,13.0,4.0,20.0,9.0,7.0,11.0,9.0,5.0
280108023,12.0,8.0,13.0,5.0,22.0,15.0,20.0,8.0,4.0,12.0,7.0,8.0
280108026,18.0,12.0,19.0,10.0,16.0,8.0,17.0,3.0,6.0,14.0,8.0,9.0
280108027,17.0,10.0,17.0,11.0,17.0,9.0,15.0,7.0,7.0,8.0,8.0,6.0
280108029,10.0,6.0,11.0,6.0,21.0,8.0,23.0,11.0,4.0,12.0,13.0,5.0
280108030,11.0,10.0,16.0,5.0,17.0,9.0,21.0,10.0,1.0,11.0,8.0,11.0
280108004,13.0,7.0,24.0,13.0,8.0,1.0,19.0,9.0,6.0,10.0,7.0,11.0
280109001,15.0,10.0,17.0,11.0,18.0,7.0,16.0,7.0,5.0,9.0,11.0,6.0
280109003,23.0,9.0,11.0,6.0,22.0,9.0,11.0,6.0,14.0,5.0,13.0,5.0
280109015,14.0,9.0,27.0,16.0,8.0,4.0,20.0,5.0,5.0,15.0,4.0,11.0
280109021,24.0,11.0,20.0,11.0,16.0,8.0,10.0,4.0,13.0,6.0,8.0,9.0
280109022,21.0,16.0,15.0,8.0,20.0,11.0,13.0,3.0,5.0,10.0,9.0,7.0
280109028,17.0,8.0,21.0,11.0,14.0,7.0,17.0,8.0,9.0,9.0,7.0,10.0
