id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400578833,17.0,11.0,10.0,6.0,25.0,11.0,18.0,5.0,6.0,13.0,14.0,4.0
400578834,17.0,10.0,23.0,12.0,13.0,7.0,19.0,7.0,7.0,12.0,6.0,11.0
400578835,24.0,15.0,11.0,4.0,25.0,14.0,11.0,4.0,9.0,7.0,11.0,7.0
400578836,19.0,7.0,29.0,14.0,5.0,2.0,18.0,8.0,12.0,10.0,3.0,15.0
400578837,21.0,12.0,16.0,9.0,22.0,13.0,15.0,6.0,9.0,9.0,9.0,7.0
400578838,15.0,9.0,20.0,12.0,16.0,5.0,20.0,10.0,6.0,10.0,11.0,8.0
400578839,28.0,15.0,17.0,8.0,19.0,8.0,5.0,1.0,13.0,4.0,11.0,9.0
400578840,11.0,5.0,25.0,13.0,13.0,9.0,25.0,12.0,6.0,13.0,4.0,12.0
400578841,5.0,3.0,24.0,12.0,14.0,6.0,34.0,16.0,2.0,18.0,8.0,12.0
400578842,24.0,16.0,11.0,5.0,26.0,13.0,12.0,5.0,8.0,7.0,13.0,6.0
400578843,12.0,4.0,20.0,9.0,16.0,8.0,24.0,14.0,8.0,10.0,8.0,11.0
400578844,6.0,1.0,23.0,14.0,15.0,7.0,29.0,15.0,5.0,14.0,8.0,9.0
400578845,24.0,14.0,22.0,11.0,12.0,4.0,11.0,4.0,10.0,7.0,8.0,11.0
400578846,25.0,11.0,18.0,10.0,20.0,12.0,12.0,7.0,14.0,5.0,8.0,8.0
400578847,25.0,12.0,24.0,13.0,13.0,7.0,11.0,6.0,13.0,5.0,6.0,11.0
400578848,5.0,3.0,15.0,9.0,22.0,9.0,30.0,15.0,2.0,15.0,13.0,6.0
400578849,28.0,17.0,26.0,14.0,13.0,9.0,8.0,3.0,11.0,5.0,4.0,12.0
400578850,28.0,15.0,11.0,7.0,25.0,9.0,8.0,3.0,13.0,5.0,16.0,4.0
400578851,25.0,17.0,21.0,9.0,15.0,8.0,12.0,5.0,8.0,7.0,7.0,12.0
400578852,25.0,14.0,17.0,10.0,22.0,13.0,11.0,4.0,11.0,7.0,9.0,7.0
400578853,15.0,9.0,18.0,9.0,19.0,8.0,21.0,11.0,6.0,10.0,11.0,9.0
400578854,12.0,6.0,8.0,5.0,29.0,11.0,25.0,12.0,6.0,13.0,18.0,3.0
400578855,12.0,8.0,18.0,13.0,18.0,6.0,23.0,11.0,4.0,12.0,12.0,5.0
400578856,16.0,8.0,11.0,5.0,26.0,13.0,21.0,11.0,8.0,10.0,13.0,6.0
400578857,25.0,15.0,24.0,10.0,13.0,8.0,11.0,4.0,10.0,7.0,5.0,14.0
400578858,26.0,12.0,27.0,15.0,13.0,9.0,12.0,7.0,14.0,5.0,4.0,12.0
400578859,15.0,8.0,31.0,15.0,5.0,2.0,24.0,9.0,7.0,15.0,3.0,16.0
