id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400489341,14.0,7.0,13.0,9.0,18.0,7.0,14.0,5.0,7.0,9.0,11.0,4.0
400489342,14.0,5.0,5.0,4.0,25.0,10.0,15.0,8.0,9.0,7.0,15.0,1.0
400489343,15.0,9.0,15.0,10.0,14.0,5.0,16.0,5.0,6.0,11.0,9.0,5.0
400489344,14.0,7.0,21.0,13.0,9.0,2.0,16.0,7.0,7.0,9.0,7.0,8.0
400489345,21.0,13.0,18.0,8.0,14.0,6.0,12.0,3.0,8.0,9.0,8.0,10.0
400489346,10.0,8.0,21.0,11.0,10.0,3.0,21.0,7.0,2.0,14.0,7.0,10.0
400489347,24.0,14.0,13.0,9.0,20.0,9.0,7.0,2.0,10.0,5.0,11.0,4.0
400489348,12.0,7.0,18.0,9.0,13.0,5.0,18.0,7.0,5.0,11.0,8.0,9.0
400489349,25.0,14.0,21.0,12.0,10.0,4.0,6.0,2.0,11.0,4.0,6.0,9.0
400489350,25.0,12.0,21.0,9.0,9.0,5.0,7.0,4.0,13.0,3.0,4.0,12.0
400489351,19.0,11.0,17.0,6.0,13.0,6.0,11.0,4.0,8.0,7.0,7.0,11.0
400489352,10.0,5.0,24.0,12.0,7.0,4.0,24.0,10.0,5.0,14.0,3.0,12.0
400489353,25.0,12.0,19.0,9.0,14.0,6.0,7.0,3.0,13.0,4.0,8.0,10.0
400489354,10.0,6.0,21.0,13.0,10.0,3.0,20.0,11.0,4.0,9.0,7.0,8.0
400489355,14.0,7.0,15.0,7.0,15.0,9.0,15.0,6.0,7.0,9.0,6.0,8.0
400489356,18.0,12.0,13.0,9.0,21.0,10.0,14.0,4.0,6.0,10.0,11.0,4.0
400489357,13.0,8.0,16.0,11.0,14.0,5.0,19.0,9.0,5.0,10.0,9.0,5.0
400489358,21.0,13.0,21.0,9.0,10.0,6.0,13.0,5.0,8.0,8.0,4.0,12.0
400489359,19.0,11.0,12.0,9.0,22.0,8.0,13.0,4.0,8.0,9.0,14.0,3.0
400489360,14.0,7.0,17.0,6.0,14.0,7.0,17.0,8.0,7.0,9.0,7.0,11.0
400489361,13.0,7.0,24.0,14.0,11.0,5.0,19.0,9.0,6.0,10.0,6.0,10.0
400489362,25.0,15.0,16.0,11.0,15.0,6.0,6.0,1.0,10.0,5.0,9.0,5.0
400489363,10.0,7.0,8.0,5.0,24.0,10.0,22.0,10.0,3.0,12.0,14.0,3.0
400489364,11.0,6.0,21.0,14.0,11.0,2.0,21.0,9.0,5.0,12.0,9.0,7.0
400489365,13.0,8.0,15.0,10.0,18.0,6.0,18.0,7.0,5.0,11.0,12.0,5.0
400489366,16.0,10.0,7.0,4.0,25.0,11.0,16.0,5.0,6.0,11.0,14.0,3.0
400489367,25.0,12.0,12.0,9.0,23.0,9.0,8.0,5.0,13.0,3.0,14.0,3.0
400489368,19.0,11.0,25.0,13.0,7.0,4.0,12.0,5.0,8.0,7.0,3.0,12.0
400489369,26.0,13.0,21.0,13.0,11.0,4.0,7.0,3.0,13.0,4.0,7.0,8.0
400489370,10.0,6.0,20.0,10.0,14.0,6.0,21.0,12.0,4.0,9.0,8.0,10.0
400489371,14.0,6.0,18.0,7.0,14.0,7.0,19.0,11.0,8.0,8.0,7.0,11.0
400489372,11.0,9.0,6.0,5.0,26.0,10.0,22.0,7.0,2.0,15.0,16.0,1.0
400489373,25.0,14.0,15.0,7.0,16.0,10.0,8.0,3.0,11.0,5.0,6.0,8.0
400489374,14.0,7.0,13.0,9.0,22.0,11.0,16.0,7.0,7.0,9.0,11.0,4.0
400489375,26.0,14.0,20.0,10.0,13.0,5.0,7.0,3.0,12.0,4.0,8.0,10.0
400489376,19.0,11.0,22.0,10.0,10.0,6.0,14.0,5.0,8.0,9.0,4.0,12.0
400489377,14.0,8.0,17.0,9.0,15.0,7.0,19.0,9.0,6.0,10.0,8.0,8.0
400489378,12.0,7.0,17.0,11.0,16.0,6.0,21.0,8.0,5.0,13.0,10.0,6.0
400489379,12.0,7.0,16.0,11.0,18.0,6.0,21.0,9.0,5.0,12.0,12.0,5.0
400489380,23.0,14.0,23.0,12.0,10.0,3.0,13.0,3.0,9.0,10.0,7.0,11.0
400489381,15.0,8.0,17.0,9.0,14.0,7.0,20.0,10.0,7.0,10.0,7.0,8.0
400489382,11.0,9.0,22.0,13.0,12.0,5.0,23.0,8.0,2.0,15.0,7.0,9.0
400489383,27.0,16.0,16.0,8.0,16.0,10.0,6.0,1.0,11.0,5.0,6.0,8.0
400489384,26.0,15.0,17.0,12.0,15.0,6.0,8.0,3.0,11.0,5.0,9.0,5.0
400489385,11.0,4.0,20.0,8.0,14.0,8.0,22.0,12.0,7.0,10.0,6.0,12.0
400489386,14.0,9.0,12.0,7.0,20.0,8.0,18.0,7.0,5.0,11.0,12.0,5.0
400489387,15.0,7.0,8.0,3.0,26.0,13.0,18.0,11.0,8.0,7.0,13.0,5.0
400489388,7.0,3.0,13.0,9.0,23.0,12.0,26.0,12.0,4.0,14.0,11.0,4.0
400489389,19.0,11.0,20.0,10.0,14.0,6.0,15.0,6.0,8.0,9.0,8.0,10.0
400489390,16.0,8.0,21.0,11.0,13.0,5.0,17.0,8.0,8.0,9.0,8.0,10.0
400489391,11.0,6.0,7.0,4.0,27.0,12.0,25.0,10.0,5.0,15.0,15.0,3.0
400489392,10.0,6.0,8.0,4.0,26.0,13.0,22.0,13.0,4.0,9.0,13.0,4.0
400489393,27.0,13.0,15.0,9.0,20.0,8.0,8.0,5.0,14.0,3.0,12.0,6.0
400489394,16.0,6.0,21.0,9.0,14.0,8.0,17.0,8.0,10.0,9.0,6.0,12.0
400489395,18.0,12.0,6.0,5.0,28.0,11.0,17.0,5.0,6.0,12.0,17.0,1.0
400489396,13.0,8.0,13.0,9.0,24.0,13.0,21.0,9.0,5.0,12.0,11.0,4.0
400489398,15.0,9.0,17.0,9.0,15.0,8.0,18.0,5.0,6.0,13.0,7.0,8.0
400489399,22.0,14.0,21.0,11.0,14.0,6.0,13.0,5.0,8.0,8.0,8.0,10.0
400489397,17.0,10.0,13.0,8.0,20.0,8.0,17.0,6.0,7.0,11.0,12.0,5.0
400489400,26.0,13.0,24.0,13.0,10.0,3.0,9.0,4.0,13.0,5.0,7.0,11.0
400489401,24.0,15.0,22.0,12.0,13.0,5.0,13.0,3.0,9.0,10.0,8.0,10.0
400489402,12.0,5.0,8.0,5.0,27.0,11.0,22.0,12.0,7.0,10.0,16.0,3.0
400489403,17.0,9.0,8.0,5.0,27.0,12.0,17.0,8.0,8.0,9.0,15.0,3.0
400489404,28.0,17.0,17.0,9.0,16.0,9.0,7.0,1.0,11.0,6.0,7.0,8.0
400489405,12.0,7.0,22.0,10.0,14.0,8.0,23.0,9.0,5.0,14.0,6.0,12.0
400489406,19.0,13.0,13.0,8.0,23.0,8.0,17.0,5.0,6.0,12.0,15.0,5.0
400489407,15.0,7.0,13.0,8.0,21.0,9.0,19.0,12.0,8.0,7.0,12.0,5.0
400489408,17.0,10.0,21.0,10.0,15.0,7.0,18.0,7.0,7.0,11.0,8.0,11.0
400489409,15.0,9.0,16.0,10.0,20.0,8.0,19.0,6.0,6.0,13.0,12.0,6.0
400489410,14.0,9.0,9.0,6.0,27.0,11.0,21.0,9.0,5.0,12.0,16.0,3.0
