id,season_type,home_line_margin,over_under,two_way_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
300101001,2,,,away,,-1,-1,-1,-2
300101016,2,,,away,,-3,-1,1,-2
300101013,2,,,home,,2,1,-1,1
300102017,2,,,away,,4,1,6,1
300102014,2,,,away,,-7,2,-1,-2
300102011,2,,,home,,-1,-3,-3,-8
300102027,2,,,away,,3,-1,4,-3
300102002,2,,,home,,1,2,5,-3
300102003,2,,,home,,-1,4,2,1
300102004,2,,,home,,1,2,2,3
300102015,2,,,home,,3,-4,5,-4
300102021,2,,,away,,1,3,2,2
300102026,2,,,away,,-6,1,-3,-1
300102022,2,,,home,,-6,1,-1,1
300102023,2,,,away,,-1,-1,-1,-2
300103005,2,,,away,,1,11,1,7
300103018,2,,,home,,-6,-2,1,1
300103028,2,,,home,,4,5,5,-1
300103007,2,,,away,,-1,-1,-1,1
300103013,2,,,home,,1,2,1,2
300104014,2,,,home,,-1,-1,-3,-3
300104004,2,,,away,,-1,3,-1,4
300104026,2,,,away,,-4,-1,2,-2
300104012,2,,,home,,3,3,2,1
300105011,2,,,home,,-1,1,-1,-1
300105020,2,,,away,,-2,-2,-4,1
300105030,2,,,home,,1,2,-1,2
300105017,2,,,away,,-2,-1,1,-1
300105006,2,,,home,,-5,1,-9,-1
300105007,2,,,home,,-7,-2,-2,-1
300105022,2,,,away,,2,2,3,-1
300105023,2,,,away,,-7,-2,-1,-3
300105013,2,,,home,,-2,3,-1,3
300106001,2,,,home,,-4,-2,-2,-4
300106005,2,,,home,,1,-1,1,-1
300106019,2,,,away,,-1,1,1,-2
300106014,2,,,away,,-3,1,1,1
300106016,2,,,away,,-8,-2,-3,-4
300106025,2,,,away,,1,3,3,1
300106024,2,,,home,,-6,2,-10,-1
300106021,2,,,home,,-3,-1,-2,1
300106026,2,,,home,,3,-2,4,-3
300106012,2,,,home,,-1,4,4,2
300107018,2,,,home,,2,1,3,2
300108020,2,,,away,,1,-3,2,-1
