id,season_type,home_line_margin,over_under,two_way_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
310101004,2,,,home,,-13,3,-5,3
310101027,2,,,away,,1,1,1,-1
310101014,2,,,home,,1,1,1,4
310101016,2,,,home,,-3,-1,-4,-1
310101024,2,,,home,,-1,11,2,3
310101007,2,,,home,,-8,1,1,2
310101015,2,,,home,,8,-2,-2,-2
310101026,2,,,home,,-1,-1,-1,-1
310102018,2,,,home,,-7,2,1,-2
310102012,2,,,away,,-1,-1,-1,-1
310102028,2,,,away,,-1,-2,-2,-1
310102005,2,,,away,,-1,-3,-3,-6
310102022,2,,,home,,3,7,1,1
310102023,2,,,home,,-2,1,1,-1
310102013,2,,,away,,-2,1,-2,2
310103019,2,,,home,,-1,3,-1,5
310103030,2,,,away,,10,-1,5,-1
310103002,2,,,home,,1,-1,1,1
310103003,2,,,home,,-1,-1,-1,2
310103007,2,,,home,,-1,2,-1,3
310103026,2,,,home,,-2,1,-1,1
310104014,2,,,home,,-1,2,1,6
310104018,2,,,home,,1,3,4,1
310104004,2,,,home,,-1,4,-2,4
310104029,2,,,home,,-2,1,-1,1
310104006,2,,,home,,-1,-2,2,1
310104023,2,,,away,,1,2,1,1
310104013,2,,,home,,-3,-1,-2,-1
310105005,2,,,away,,-2,-4,-3,-7
310105017,2,,,home,,1,-1,5,-5
310105019,2,,,home,,-2,4,-1,6
310105020,2,,,home,,-16,-1,-2,-2
310105002,2,,,home,,-1,1,-1,2
310105003,2,,,away,,-2,1,-2,3
310105016,2,,,away,,-9,1,-2,-1
310105010,2,,,away,,-2,1,-1,-2
310105026,2,,,away,,2,2,2,2
310105012,2,,,home,,1,-2,4,-2
310105021,2,,,away,,1,1,1,-1
310106006,2,,,away,,-3,1,-2,2
310106023,2,,,home,,-1,-1,-1,-1
310107011,2,,,away,,-2,1,-2,-1
310107020,2,,,home,,-1,1,-1,1
310107027,2,,,home,,-4,-1,1,-3
310107002,2,,,home,,1,2,1,3
310107016,2,,,away,,1,-1,1,-2
310107019,2,,,home,,-2,5,-3,7
310107029,2,,,home,,-1,2,-1,2
310107015,2,,,away,,11,1,7,-2
310107009,2,,,home,,-14,2,-8,1
310107013,2,,,home,,2,1,-1,2
310107021,2,,,away,,-3,-1,2,-2
310108001,2,,,home,,-8,9,-2,3
310108017,2,,,away,,-3,1,-3,-1
310108030,2,,,home,,-17,-2,1,1
310108008,2,,,home,,-2,1,2,-3
310108004,2,,,home,,1,5,4,-2
310108025,2,,,home,,1,2,3,1
310108006,2,,,away,,2,-1,8,-1
310108010,2,,,away,,-2,-1,-2,-4
310109028,2,,,home,,-9,-3,1,-1
310109012,2,,,home,,1,1,2,1
310109024,2,,,home,,-1,12,-3,1
310109021,2,,,home,,-15,-2,-9,-3
310109007,2,,,away,,-1,3,-2,-2
310109022,2,,,away,,12,8,8,2
310109013,2,,,home,,1,2,3,3
310110030,2,,,home,,-1,1,-1,2
310110002,2,,,away,,-3,3,-5,-1
310110004,2,,,home,,-4,6,1,1
310111020,2,,,away,,-9,2,-3,-1
310111027,2,,,home,,-10,1,-1,-1
310111016,2,,,away,,1,-2,2,-4
310111007,2,,,home,,-3,-1,1,-3
310111022,2,,,away,,-1,-1,-1,-1
310111013,2,,,home,,-16,3,-10,4
310112011,2,,,home,,1,-1,-2,1
310112028,2,,,away,,3,1,4,1
310112030,2,,,home,,-2,2,2,3
310112002,2,,,home,,-11,-1,-2,-2
310112008,2,,,away,,-2,2,-2,-1
310112003,2,,,home,,3,-1,9,1
310112015,2,,,away,,2,-1,3,1
310112010,2,,,away,,1,-2,2,1
310112021,2,,,home,,-5,1,-2,-1
310112026,2,,,home,,1,-1,1,1
310112009,2,,,away,,2,3,5,-1
310112012,2,,,home,,13,2,9,2
310113016,2,,,home,,-18,-3,1,-5
310113025,2,,,home,,-1,3,-1,3
310113007,2,,,home,,-1,1,-1,1
310114011,2,,,away,,-3,1,-1,2
310114020,2,,,home,,1,-1,-1,-2
310114028,2,,,away,,-5,-1,-2,-1
310114002,2,,,home,,1,1,4,1
310114018,2,,,away,,-12,4,-3,-1
310114024,2,,,home,,-1,13,-3,4
310114010,2,,,away,,1,-3,2,-1
310114026,2,,,home,,-17,1,-11,2
310114009,2,,,home,,3,-1,3,-2
310114013,2,,,home,,-6,4,-3,6
310114021,2,,,home,,2,2,-2,1
310115001,2,,,away,,1,10,-2,5
310115027,2,,,home,,-1,2,-2,-1
310115030,2,,,away,,2,3,3,-1
310115008,2,,,home,,1,-1,1,1
310115004,2,,,home,,-2,7,-2,1
310115016,2,,,away,,-2,1,-2,1
310115029,2,,,home,,-2,3,-4,1
310115007,2,,,home,,-18,2,-12,2
310115022,2,,,home,,-7,-2,-4,-3
310116012,2,,,home,,3,3,7,-1
310116024,2,,,home,,-2,14,3,5
310117018,2,,,away,,-4,-1,2,-2
310117027,2,,,home,,1,3,3,1
310117029,2,,,away,,1,4,2,2
310117020,2,,,home,,-1,1,-2,1
310117003,2,,,home,,-2,1,-3,4
310117010,2,,,home,,-1,-4,-2,1
310117008,2,,,home,,-3,1,-5,2
310117012,2,,,home,,1,4,-1,1
310117001,2,,,home,,-1,-1,-1,-1
310117009,2,,,home,,-8,1,-5,1
310117002,2,,,home,,1,2,1,2
310117022,2,,,home,,-2,1,-1,1
310117013,2,,,home,,2,5,4,-1
310118014,2,,,away,,4,3,1,-3
310118004,2,,,away,,-2,8,-3,3
310119005,2,,,away,,1,-5,3,-13
310119017,2,,,home,,-1,-1,-1,-6
310119019,2,,,home,,-3,6,2,-1
310119002,2,,,home,,1,3,3,3
310119003,2,,,home,,1,2,-1,5
310119015,2,,,home,,-19,-2,2,-3
310119010,2,,,home,,-1,1,-3,2
310119024,2,,,home,,-3,15,-4,6
310119006,2,,,home,,-1,-2,1,-6
310119007,2,,,home,,-1,3,-1,-1
310119023,2,,,away,,-1,1,2,-2
310119009,2,,,home,,-1,2,-2,2
310119012,2,,,home,,-3,5,-2,2
310120030,2,,,home,,-4,-1,-1,1
310120004,2,,,home,,-4,-1,1,-1
310120022,2,,,home,,-1,2,3,3
310121017,2,,,home,,-1,1,-1,1
310121019,2,,,home,,-4,7,-5,1
310121027,2,,,away,,2,4,4,-1
310121001,2,,,away,,3,1,6,2
310121002,2,,,home,,-2,4,-2,4
310121005,2,,,away,,-2,-6,1,-14
310121024,2,,,home,,-2,16,-4,7
310121029,2,,,home,,2,-1,3,-2
310121007,2,,,away,,-2,4,-1,1
310121009,2,,,home,,-2,3,-3,3
310122017,2,,,away,,-5,2,-1,2
310122027,2,,,home,,-1,-1,5,-2
310122030,2,,,away,,5,1,-1,2
310122008,2,,,home,,3,2,5,-2
