id,season_type,home_line_margin,over_under,two_way_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
280102005,2,,,home,,-1,1,-1,-1
280102011,2,,,away,,-2,-1,-5,-4
280102016,2,,,away,,-1,1,-1,-5
280102019,2,,,away,,2,2,2,4
280102026,2,,,home,,1,1,1,1
280102027,2,,,away,,3,1,9,1
280102030,2,,,away,,1,1,-1,1
280102002,2,,,home,,1,2,-1,6
280102006,2,,,home,,3,1,2,1
280102012,2,,,away,,3,1,-1,1
280102014,2,,,away,,-9,-1,-4,-4
280102018,2,,,away,,2,-2,-4,-4
280103004,2,,,away,,1,-1,1,1
280103007,2,,,home,,-3,-1,1,-1
280103021,2,,,home,,-2,3,-1,3
280104011,2,,,home,,-2,-2,-2,-5
280104016,2,,,away,,2,-1,1,-6
280104019,2,,,away,,-1,-1,-2,-1
280104028,2,,,away,,4,-1,10,1
280104002,2,,,home,,1,3,1,7
280104005,2,,,home,,3,2,1,1
280104009,2,,,away,,4,-1,1,-1
280104013,2,,,home,,-1,-1,-1,-1
280104015,2,,,away,,-1,-1,-1,1
280104017,2,,,home,,-10,1,-1,3
280104024,2,,,home,,-4,1,-5,-1
280104006,2,,,home,,-4,2,-5,2
280105001,2,,,away,,3,4,4,-3
280105021,2,,,away,,5,4,2,4
280105022,2,,,home,,-2,10,2,2
280105004,2,,,home,,-1,-2,-1,-1
280105008,2,,,away,,8,7,8,11
280105010,2,,,home,,-5,-1,-6,1
280106012,2,,,away,,-4,-1,1,-1
280106027,2,,,home,,-3,-1,-2,1
280106028,2,,,away,,-1,-2,2,-1
280106016,2,,,away,,-1,-2,3,-7
280106029,2,,,home,,-5,-3,-6,-1
280106007,2,,,home,,-2,1,-2,2
280106030,2,,,away,,1,-1,-1,-2
280106013,2,,,home,,-4,1,1,1
280107021,2,,,home,,3,-1,3,-1
280107009,2,,,home,,1,-2,2,-2
280108005,2,,,home,,-4,3,-3,3
280108016,2,,,home,,-6,-3,-7,-8
280108020,2,,,away,,2,1,1,-3
280108023,2,,,home,,2,-4,-2,-2
280108026,2,,,home,,-5,2,-1,-1
280108027,2,,,away,,1,1,2,2
280108029,2,,,away,,2,1,2,1
280108030,2,,,home,,4,-2,5,-3
280108004,2,,,away,,-6,1,-7,1
280109001,2,,,home,,1,-1,4,-4
280109003,2,,,away,,3,-1,3,3
280109015,2,,,home,,-7,-2,-8,2
280109021,2,,,home,,-6,1,-2,1
280109022,2,,,home,,-1,11,1,3
280109028,2,,,home,,-3,-3,-4,-2
280109002,2,,,away,,-11,4,1,9
