id,season_type,home_line_margin,over_under,two_way_winner,handicap_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
400578774,2,-10.0,,home,away,,-6,-1,-2,-1
400578775,2,5.0,,away,home,,-6,-3,-2,-9
400578776,2,2.0,,away,away,,-1,-2,-3,-4
400578777,2,-0.0,,away,away,,2,-2,2,-1
400578778,2,6.0,,away,away,,-1,1,3,1
400578779,2,3.0,,away,away,,2,-8,3,-9
400578780,2,-0.0,,home,home,,-1,2,1,-1
400578781,2,-6.5,,home,home,,-1,2,-1,1
400578782,2,-2.0,,away,away,,1,-2,1,2
400578783,2,-14.5,,home,home,,-3,1,-3,-2
400578784,2,3.5,,away,away,,4,2,2,1
400578785,2,-5.5,,home,home,,-1,10,-1,2
400578786,2,4.0,,away,home,,1,-1,2,1
400578787,2,-3.0,,away,away,,-2,-3,-5,-2
400578788,2,-11.0,,home,away,,-3,1,-1,1
400578789,2,-9.0,,home,home,,-1,1,-3,-1
400578790,2,2.0,,away,away,,-1,-4,-1,-10
400578791,2,-5.0,,home,home,,-2,2,-2,1
400578792,2,1.0,,home,home,,2,-2,3,-3
400578793,2,-5.5,,away,away,,5,7,3,4
400578794,2,-18.0,,home,home,,-4,2,-4,2
400578795,2,5.5,,away,away,,1,-2,4,1
400578796,2,-3.5,,home,home,,1,1,1,4
400578797,2,-3.0,,home,home,,3,-2,3,-4
400578798,2,6.0,,away,away,,3,-9,-1,-10
400578799,2,-1.5,,home,home,,-2,2,-2,1
400578800,2,2.0,,home,home,,2,-2,2,-1
400578801,2,5.0,,home,home,,1,-14,-1,-5
400578802,2,-3.5,,away,away,,1,-1,1,-2
400578803,2,5.0,,away,away,,2,1,5,-1
400578804,2,-2.5,,home,home,,-2,2,1,2
400578805,2,-14.0,,home,home,,-5,1,-11,-1
400578806,2,4.0,,away,away,,-7,-5,1,-11
400578807,2,-3.5,,away,away,,-3,3,-3,1
400578808,2,-2.0,,away,away,,-1,-1,-1,1
400578809,2,-12.5,,home,away,,1,-1,1,-1
400578810,2,-3.0,,home,home,,-1,11,2,3
400578811,2,-5.5,,away,away,,6,3,4,3
400578812,2,3.0,,away,away,,-2,-3,2,1
400578813,2,-8.5,,away,away,,3,3,5,2
400578814,2,3.0,,home,home,,-3,-3,-1,2
400578815,2,7.0,,away,away,,-3,-3,-1,-2
400578816,2,6.5,,away,away,,4,1,-1,1
400578817,2,-13.0,,home,away,,-6,1,-12,1
400578818,2,-3.5,,home,home,,-1,1,1,5
400578819,2,-4.0,,away,away,,-4,-1,-3,-2
400578820,2,-9.5,,away,away,,1,3,-1,3
400578821,2,-10.0,,away,away,,4,3,6,6
400578822,2,-8.0,,home,away,,2,1,-3,2
400578823,2,7.5,,away,home,,1,-6,3,-12
400578824,2,6.0,,home,home,,-2,1,-1,-1
400578825,2,-11.0,,home,home,,1,12,1,4
400578826,2,-12.0,,home,home,,-1,-1,-1,-1
400578827,2,-11.0,,away,away,,2,5,3,-3
400578828,2,11.0,,away,away,,1,-10,1,-13
400578829,2,-10.0,,home,home,,-2,1,1,1
400578830,2,-4.0,,home,tie,,1,1,1,-1
400578831,2,-11.0,,away,away,,-5,-2,-1,-3
400578832,2,2.5,,away,away,,7,2,6,7
400578833,2,-2.0,,home,home,,-2,-1,-1,-2
400578834,2,-12.0,,home,away,,2,3,1,-2
400578835,2,-2.5,,home,home,,3,2,-1,2
400578836,2,-10.0,,home,home,,-9,-4,-13,1
400578837,2,-4.0,,home,home,,2,-1,4,-1
400578838,2,-3.0,,away,away,,1,2,3,1
400578839,2,-13.0,,home,home,,-1,13,-3,5
400578840,2,-4.5,,home,home,,-1,1,-4,-2
400578841,2,5.0,,away,away,,3,-11,4,-14
400578842,2,-5.0,,home,home,,3,1,-1,1
400578843,2,-7.0,,home,away,,-1,-1,-4,-1
400578844,2,6.0,,home,home,,-1,-1,1,1
400578845,2,-10.5,,home,home,,-1,-1,-1,-4
400578846,2,-9.0,,home,away,,5,-1,2,-2
400578847,2,-11.0,,home,home,,-1,2,-1,2
400578848,2,10.0,,away,away,,-4,-7,1,-14
400578849,2,-12.5,,home,away,,-2,2,-5,2
400578850,2,-4.0,,home,home,,1,2,3,7
400578851,2,-10.0,,away,away,,-3,2,-1,2
400578852,2,-4.5,,home,home,,-1,2,-1,-2
400578853,2,-4.0,,home,home,,-2,-1,-4,-1
400578854,2,5.5,,away,away,,1,2,3,1
400578855,2,4.0,,home,home,,-4,-2,1,-2
400578856,2,6.0,,away,away,,2,-3,3,-5
400578857,2,-7.5,,away,away,,5,1,1,1
400578858,2,-11.0,,away,away,,-3,1,-6,1
400578859,2,-11.0,,away,away,,-10,2,-15,-1
400578860,2,9.5,,away,away,,8,1,8,2
400578861,2,-2.5,,home,home,,1,3,2,-1
400578862,2,-3.0,,home,home,,-3,3,-5,-2
400578863,2,8.0,,away,away,,-3,-2,6,-2
400578864,2,5.0,,away,home,,-1,1,-2,1
400578865,2,-2.0,,away,away,,1,-1,1,-1
400578866,2,4.5,,away,away,,-1,1,-1,5
400578867,2,9.0,,home,home,,3,-4,4,1
400578868,2,6.5,,away,away,,-3,-4,1,-6
400578869,2,-3.5,,away,away,,-5,1,-1,2
400578870,2,-15.0,,home,home,,1,-1,-1,-1
400578871,2,-6.0,,away,away,,-1,-1,1,-1
400578872,2,7.0,,away,away,,9,1,9,1
400578873,2,4.5,,home,home,,1,2,1,4
400578874,2,-12.0,,home,home,,2,14,2,7
400578875,2,-4.5,,away,away,,-5,3,-1,4
400578877,2,-6.5,,home,home,,-7,1,-15,-1
400578876,2,-2.0,,home,home,,-3,3,1,-1
400578878,2,4.5,,away,away,,-4,-2,-6,-2
400578879,2,-1.5,,away,away,,6,-1,-1,-2
400578880,2,6.5,,away,away,,1,1,2,2
400578881,2,9.5,,home,home,,1,-1,1,-2
400578882,2,-10.5,,away,away,,-2,4,-7,2
400578883,2,4.0,,away,away,,-1,-1,-2,-1
400578884,2,-3.0,,away,away,,10,1,10,1
400578885,2,-2.0,,home,home,,1,4,8,-1
400578886,2,-8.0,,home,tie,,2,-1,5,-1
400578887,2,-3.0,,home,home,,2,1,-1,1
400578888,2,-14.0,,home,away,,1,4,1,1
400578889,2,-5.5,,home,home,,-2,-3,-3,-3
400578890,2,-3.5,,away,away,,-1,-1,-1,-1
