id,season_type,home_line_margin,over_under,two_way_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
270101022,2,,,away,,-4,-1,-6,-2
270101030,2,,,away,,-2,1,-1,2
270102003,2,,,away,,-2,1,-1,-1
270102005,2,,,home,,3,2,2,-1
270102007,2,,,away,,-1,-1,-1,-2
270102019,2,,,home,,-1,1,3,1
270102023,2,,,home,,-5,2,-2,1
270102004,2,,,away,,1,7,2,3
270102006,2,,,home,,-8,7,1,10
270103016,2,,,home,,-1,2,-1,1
270103022,2,,,away,,-6,-2,-3,-3
270103026,2,,,home,,1,2,1,1
270103027,2,,,home,,-1,4,1,-1
270103028,2,,,away,,2,-1,3,-2
270103029,2,,,home,,1,1,1,-1
270103002,2,,,away,,-1,-2,1,1
270103010,2,,,home,,-9,2,-1,3
270103014,2,,,away,,-2,-1,-1,-3
270104003,2,,,away,,-1,-1,-3,-2
270104006,2,,,home,,3,8,-1,11
270104023,2,,,away,,-1,3,1,2
270105016,2,,,home,,-1,3,-1,2
270105019,2,,,home,,1,2,-1,2
270105024,2,,,away,,4,2,12,-2
270105027,2,,,home,,1,5,1,1
270105028,2,,,home,,-3,-2,-7,-3
270105029,2,,,away,,1,2,-1,1
270105010,2,,,home,,-1,3,2,4
270105013,2,,,home,,-1,1,-3,2
270105015,2,,,away,,1,7,2,-1
270105017,2,,,home,,1,1,-1,2
270105025,2,,,away,,1,3,1,-2
270105021,2,,,home,,-5,2,-4,4
270106001,2,,,home,,-1,-6,-1,-8
270106003,2,,,away,,-1,-2,-2,-3
270106007,2,,,away,,-2,-2,-1,-4
270106023,2,,,away,,-2,-1,-4,-1
270106004,2,,,home,,1,-1,1,-2
270106005,2,,,home,,1,3,3,3
270106009,2,,,home,,-10,5,-3,-1
270107028,2,,,home,,-1,1,2,1
270107016,2,,,home,,1,4,5,3
270107029,2,,,away,,-2,-1,-3,-1
270107019,2,,,home,,2,3,1,3
270107021,2,,,home,,-1,3,1,5
270107022,2,,,away,,-6,-3,-5,1
270107013,2,,,home,,5,2,13,3
270108003,2,,,away,,-2,-3,-2,-4
270108007,2,,,home,,-2,-3,-2,-5
270108004,2,,,away,,-1,1,-1,1
270109011,2,,,home,,-4,-1,1,1
270109020,2,,,away,,-1,1,-1,-2
270109021,2,,,home,,-11,4,-4,6
270109023,2,,,away,,2,-2,4,-2
270109024,2,,,home,,1,-1,-1,1
270109026,2,,,away,,-1,3,-1,1
270109029,2,,,home,,1,-2,4,-2
270109017,2,,,home,,-2,2,2,-1
270110001,2,,,away,,-7,1,-5,-1
270110007,2,,,away,,1,1,2,1
270110015,2,,,away,,-3,-1,-1,-3
270110016,2,,,away,,1,5,1,4
270110025,2,,,away,,1,-1,1,-5
270110027,2,,,home,,-1,6,-1,-1
270110002,2,,,away,,1,-3,2,-1
270110006,2,,,home,,-1,9,-2,1
270110008,2,,,away,,-1,-2,-2,1
270110009,2,,,away,,-4,6,4,-1
270110010,2,,,home,,-1,4,-1,1
270110018,2,,,home,,-2,4,-3,2
270111004,2,,,away,,-1,-1,1,-2
270111021,2,,,home,,3,5,5,7
270112003,2,,,home,,-2,-4,1,1
270112011,2,,,away,,1,1,2,3
270112020,2,,,home,,-3,-1,-4,-4
270112022,2,,,home,,-1,-4,-3,-3
270112029,2,,,away,,1,1,-1,1
