id,season_type,home_line_margin,over_under,two_way_winner,handicap_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
400828377,2,-2.0,203.0,home,home,under,2,-1,2,-2
400828378,2,-2.5,196.0,home,home,under,1,-1,4,-2
400828379,2,-6.0,196.0,home,home,over,-3,2,-1,1
400828380,2,-7.0,199.0,home,home,under,-3,2,1,2
400828381,2,-2.5,208.0,home,home,under,1,-3,1,1
400828382,2,-10.0,204.0,away,away,under,-1,-1,-1,-1
400828383,2,-6.0,213.0,home,home,over,-5,-2,-7,-3
400828384,2,9.0,210.0,away,away,under,2,-1,3,-2
400828385,2,-4.5,205.0,home,home,under,-2,-1,1,-2
400828386,2,-8.0,192.0,home,home,under,-1,4,-1,2
400828387,2,-2.0,204.0,away,away,under,1,1,1,-1
400828388,2,-4.0,206.0,away,away,under,-2,5,-2,-1
400828389,2,-11.5,202.0,home,home,over,-2,19,-3,3
400828390,2,2.0,184.0,home,home,under,-2,2,2,1
400828391,2,-15.0,216.0,home,away,under,-3,15,-4,1
400828392,2,-13.5,204.0,home,home,over,-1,-1,-1,5
400828393,2,4.5,201.0,home,home,over,1,1,1,-1
400828394,2,-4.5,196.0,away,away,over,-1,3,3,2
400828395,2,1.0,197.0,away,away,under,-1,1,1,1
400828396,2,1.5,204.0,away,away,over,-1,-3,-1,-5
400828397,2,1.5,209.0,home,home,under,-6,1,-8,2
400828398,2,-8.0,194.0,home,home,over,-1,5,-1,3
400828399,2,6.0,204.0,home,home,over,-3,-5,-2,-2
400828400,2,7.5,201.0,away,away,under,2,-6,-2,1
400828401,2,-4.5,199.0,home,home,over,-2,1,-2,-1
400828402,2,-2.0,194.0,home,home,under,-1,1,1,2
400828403,2,9.5,193.0,away,away,over,-1,-1,4,2
400828404,2,-7.5,214.0,away,away,over,-1,3,1,4
400828405,2,3.5,198.0,away,home,under,-3,3,-4,2
400828406,2,1.5,196.0,away,away,under,-3,3,-1,1
400828407,2,-12.0,213.0,home,away,under,-4,16,-3,2
400828408,2,-7.5,203.0,away,away,over,-4,4,1,-1
400828409,2,-8.5,201.0,home,home,over,2,3,-1,4
400828410,2,-7.0,213.0,home,away,under,1,-1,2,-2
400828411,2,13.5,211.0,away,away,under,1,2,3,3
400828412,2,-7.5,193.0,away,away,under,1,2,2,3
400828413,2,3.5,199.0,away,away,under,-2,2,-1,-3
400828414,2,7.5,203.0,away,home,over,2,-1,4,-1
400828415,2,-3.0,202.0,away,away,under,-3,-2,1,1
400828416,2,7.0,195.0,away,away,under,-2,-7,-2,-1
400828417,2,-3.5,202.0,away,away,under,-4,-1,-6,-3
400828418,2,-8.0,205.0,away,away,under,-1,-1,1,1
400828419,2,-13.5,184.0,home,home,over,-5,20,-1,5
400828420,2,2.0,203.0,home,home,over,-5,-4,-4,-9
400828421,2,-8.0,198.0,home,home,over,1,-1,1,-1
400828422,2,3.5,206.0,away,away,over,5,-1,6,-1
400828423,2,9.5,208.0,away,away,over,-1,1,-2,1
400828424,2,-6.5,205.0,home,home,under,3,4,-1,5
400828425,2,-6.5,197.0,home,home,tie,-6,-2,-2,1
400828426,2,-9.0,214.0,home,away,over,1,1,-1,-1
400828427,2,2.0,203.0,away,away,under,1,-2,1,-2
400828428,2,3.5,192.0,away,away,under,-3,-8,-4,-2
400828429,2,-6.0,189.0,home,home,under,1,4,1,-1
