id,season_type,home_line_margin,over_under,two_way_winner,handicap_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
400278178,2,3.5,,away,away,,-6,1,-6,-1
400278179,2,-9.0,,away,away,,-3,1,1,-1
400278180,2,-6.5,,home,away,,-6,3,2,2
400278181,2,3.5,,away,away,,-1,-6,-1,1
400278182,2,2.0,,home,home,,7,7,17,-1
400278183,2,-9.0,,away,away,,-2,3,-2,1
400278184,2,-3.0,193.0,home,home,under,1,4,2,2
400278185,2,4.0,185.0,away,home,over,-1,-4,-1,-6
400278186,2,-4.0,198.0,away,away,under,-7,-4,-1,-2
400278187,2,-10.5,182.0,home,away,under,-5,5,-2,1
400278188,2,4.0,179.0,away,away,under,-2,-1,-1,-3
400278189,2,-12.0,,home,away,,1,4,1,1
400278190,2,5.0,,away,away,,1,2,6,-1
400278191,2,-10.0,,home,home,,2,1,-1,1
400278192,2,-9.5,198.0,away,away,over,-4,12,-1,3
400278193,2,-3.5,198.0,home,home,under,-3,-3,1,-3
400278194,2,-3.0,,home,home,,1,-2,1,-6
400278195,2,2.5,,home,home,,-1,2,-1,3
400278196,2,-2.0,,home,home,,2,-1,7,-2
400278197,2,-7.0,,away,away,,-4,8,-1,1
400278198,2,-6.0,,away,away,,1,5,1,3
400278199,2,5.5,,away,home,,1,-1,1,-3
400278200,2,-1.5,,away,away,,-1,-10,-3,1
400278202,2,-0.0,,home,home,,1,4,1,3
400278201,2,-9.0,,away,away,,1,5,1,2
400278203,2,-3.0,,home,home,,-1,-2,2,-4
400278204,2,-9.5,,away,away,,-1,1,-1,1
400278205,2,-10.5,,home,home,,-1,-1,-1,-1
400278206,2,-2.5,,away,away,,-1,-1,2,-2
400278207,2,-3.0,,away,away,,-1,1,1,1
400278208,2,-4.5,,home,home,,-1,10,-1,-2
400278209,2,-4.5,,away,away,,-3,3,1,-1
400278210,2,8.0,,away,tie,,-1,-5,1,-7
400278211,2,-5.0,,home,home,,-1,6,-3,-1
400278212,2,-10.5,,home,home,,2,2,2,2
400278213,2,5.0,,away,away,,1,-5,3,1
400278214,2,-8.0,,away,away,,1,1,1,1
400278215,2,-8.0,,away,away,,-1,-3,-2,-1
400278216,2,-11.0,,home,home,,-2,9,-2,-1
400278217,2,-10.0,,home,home,,1,-1,2,-1
400278218,2,-6.5,,home,home,,1,11,4,1
400278219,2,7.5,,away,away,,1,-1,1,-1
