id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_matchup_result
310202017,2,away,,,,-2
310202008,2,away,,,,0
310202018,2,away,,,,0
310202016,2,away,,,,-1
310202025,2,home,,,,1
310202007,2,home,,,,0
310202021,2,home,,,,0
310202026,2,away,,,,1
310202012,2,away,,,,1
310203019,2,away,,,,0
310203009,2,home,,,,-1
310203013,2,away,,,,-1
310204011,2,home,,,,-1
310204020,2,home,,,,1
310204027,2,away,,,,-2
310204028,2,home,,,,-1
310204030,2,away,,,,-2
310204001,2,home,,,,1
310204008,2,home,,,,-2
310204002,2,away,,,,-1
310204029,2,home,,,,-1
310204021,2,away,,,,1
310204023,2,away,,,,0
310204007,2,away,,,,1
310205027,2,away,,,,-2
310205030,2,away,,,,-1
310205005,2,away,,,,0
310205003,2,away,,,,-2
310205010,2,home,,,,1
310205015,2,away,,,,-1
310205016,2,away,,,,-2
310205026,2,away,,,,0
310205009,2,home,,,,-1
310206014,2,home,,,,-1
310206017,2,away,,,,-1
310206018,2,home,,,,-2
310206002,2,home,,,,0
310207030,2,home,,,,-2
310207003,2,away,,,,-1
310207029,2,away,,,,1
310207006,2,home,,,,1
310207007,2,away,,,,2
310207022,2,home,,,,-1
310207023,2,away,,,,-1
310207009,2,away,,,,-1
310208001,2,away,,,,2
310208019,2,home,,,,1
310208008,2,away,,,,0
310208014,2,home,,,,-1
310208015,2,home,,,,1
310208025,2,away,,,,0
310208010,2,away,,,,2
310209005,2,away,,,,-1
310209011,2,home,,,,2
310209017,2,home,,,,-1
310209020,2,away,,,,0
310209027,2,home,,,,-1
310209028,2,away,,,,-1
310209018,2,away,,,,1
310209026,2,away,,,,0
310209023,2,away,,,,-1
310209009,2,home,,,,-1
310210002,2,away,,,,1
310210021,2,home,,,,2
310210007,2,home,,,,0
310211011,2,home,,,,0
310211019,2,away,,,,-1
310211020,2,home,,,,-1
310211028,2,away,,,,-1
310211030,2,away,,,,2
310211005,2,home,,,,0
310211008,2,away,,,,-2
310211018,2,away,,,,-1
310211029,2,home,,,,1
310211026,2,away,,,,-1
310212001,2,away,,,,2
310212017,2,away,,,,-1
310212003,2,away,,,,0
310212016,2,away,,,,0
310212027,2,away,,,,-1
310212010,2,away,,,,-2
310212015,2,away,,,,2
310212023,2,away,,,,-1
310213002,2,home,,,,2
310213019,2,home,,,,0
310213005,2,away,,,,1
310213008,2,away,,,,-1
310213028,2,home,,,,0
310213029,2,home,,,,-1
310213009,2,home,,,,-1
310213021,2,away,,,,0
310214017,2,away,,,,0
310214030,2,home,,,,0
310214008,2,away,,,,0
310214015,2,home,,,,-1
310214016,2,away,,,,-3
310214010,2,home,,,,-1
310215011,2,away,,,,0
310215004,2,home,,,,-2
310215025,2,home,,,,2
310215029,2,home,,,,1
310215021,2,home,,,,2
310215009,2,home,,,,0
310216019,2,home,,,,3
310216028,2,away,,,,-2
310216002,2,home,,,,2
310216005,2,home,,,,-1
310216008,2,home,,,,0
310216018,2,home,,,,-2
310216016,2,away,,,,-1
310216006,2,home,,,,2
310216010,2,away,,,,0
310216015,2,away,,,,-1
310216026,2,away,,,,-1
310216022,2,home,,,,-2
310217004,2,home,,,,-1
310217021,2,away,,,,-1
310220032,2,home,,,,0
310222027,2,away,,,,0
310222030,2,home,,,,2
310222008,2,away,,,,-1
310222014,2,home,,,,1
310222015,2,home,,,,-1
310222025,2,home,,,,-1
310222007,2,home,,,,0
