id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_matchup_result
270101022,2,away,,,,-1
270101030,2,away,,,,0
270102003,2,away,,,,-1
270102005,2,home,,,,1
270102007,2,away,,,,1
270102019,2,home,,,,-1
270102023,2,home,,,,0
270102004,2,away,,,,0
270102006,2,home,,,,1
270103016,2,home,,,,-1
270103022,2,away,,,,0
270103026,2,home,,,,0
270103027,2,home,,,,0
270103028,2,away,,,,-1
270103029,2,home,,,,0
270103002,2,away,,,,-1
270103010,2,home,,,,0
270103014,2,away,,,,-1
270104003,2,away,,,,1
270104006,2,home,,,,0
270104023,2,away,,,,0
270105016,2,home,,,,1
270105019,2,home,,,,0
270105024,2,away,,,,0
270105027,2,home,,,,0
270105028,2,home,,,,-2
270105029,2,away,,,,1
270105010,2,home,,,,-1
270105013,2,home,,,,0
270105015,2,away,,,,-1
270105017,2,home,,,,0
270105025,2,away,,,,0
270105021,2,home,,,,1
270106001,2,home,,,,0
270106003,2,away,,,,1
270106007,2,away,,,,0
270106023,2,away,,,,1
270106004,2,home,,,,0
270106005,2,home,,,,-1
270106009,2,home,,,,0
270107028,2,home,,,,0
270107016,2,home,,,,0
270107029,2,away,,,,-1
270107019,2,home,,,,1
270107021,2,home,,,,2
270107022,2,away,,,,0
270107013,2,home,,,,-1
270108003,2,away,,,,-1
270108007,2,home,,,,0
270108004,2,away,,,,-1
270109011,2,home,,,,1
270109020,2,away,,,,-1
270109021,2,home,,,,0
270109023,2,away,,,,0
270109024,2,home,,,,1
270109026,2,away,,,,1
270109029,2,home,,,,-1
270109017,2,home,,,,0
270110001,2,away,,,,0
270110007,2,away,,,,0
270110015,2,away,,,,-1
270110016,2,away,,,,1
270110025,2,away,,,,-1
270110027,2,home,,,,-1
270110002,2,away,,,,1
270110006,2,home,,,,1
270110008,2,away,,,,0
270110009,2,away,,,,1
270110010,2,home,,,,-2
270110018,2,home,,,,-1
270111004,2,away,,,,-1
270111021,2,home,,,,0
270112003,2,home,,,,0
270112011,2,away,,,,-1
270112020,2,home,,,,-1
270112022,2,home,,,,0
270112029,2,away,,,,0
270112001,2,home,,,,-2
270112002,2,away,,,,-1
270112009,2,away,,,,-1
270112013,2,home,,,,1
270112018,2,away,,,,1
270112025,2,home,,,,-2
270112007,2,away,,,,0
270113016,2,home,,,,-1
270113021,2,home,,,,1
270113023,2,away,,,,0
270113024,2,home,,,,0
270113026,2,away,,,,0
270113030,2,home,,,,0
270113004,2,home,,,,0
270113008,2,home,,,,1
