away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
32,7,15,34,12,9,400828377
27,13,9,42,8,12,400828378
29,14,10,34,20,13,400828379
31,11,11,40,14,7,400828380
37,13,16,37,13,10,400828381
36,14,14,35,16,14,400828382
21,4,16,36,10,14,400828383
43,10,12,27,7,4,400828384
36,12,10,41,6,13,400828385
40,5,14,41,12,4,400828386
37,11,13,31,16,16,400828387
44,9,19,30,3,13,400828388
29,8,15,31,8,11,400828389
32,8,11,39,9,16,400828390
28,24,13,38,9,13,400828391
24,9,12,41,6,14,400828392
24,8,15,34,12,16,400828393
34,8,11,24,13,8,400828394
45,9,12,34,11,10,400828395
34,7,10,26,15,8,400828396
36,9,14,45,9,15,400828397
18,8,9,29,11,13,400828398
21,6,16,25,12,16,400828399
36,12,7,37,16,14,400828400
25,5,8,36,18,10,400828401
41,14,10,37,15,7,400828402
31,13,13,25,10,15,400828403
35,13,15,28,11,15,400828404
28,6,16,29,15,15,400828405
35,17,11,35,7,21,400828406
33,8,11,34,3,11,400828407
35,11,9,27,14,13,400828408
26,17,10,38,7,15,400828409
40,9,19,42,13,17,400828410
44,10,10,37,15,12,400828411
29,5,11,23,12,13,400828412
33,9,16,30,9,17,400828413
31,13,10,28,5,12,400828414
36,11,18,26,13,10,400828415
37,12,17,33,6,18,400828416
33,13,11,32,8,9,400828417
41,11,10,36,15,10,400828418
24,10,18,30,8,13,400828419
35,9,13,37,2,12,400828420
30,9,8,39,13,15,400828421
32,10,10,32,17,13,400828422
34,14,16,29,14,22,400828423
36,15,11,42,12,16,400828424
25,10,19,30,11,16,400828425
27,6,18,27,10,15,400828426
41,6,22,28,7,19,400828427
36,13,14,31,10,15,400828428
40,19,17,32,11,7,400828429
33,10,11,26,7,12,400828430
40,14,24,29,8,15,400828431
26,16,16,28,15,15,400828432
34,10,8,37,12,8,400828433
35,6,10,31,15,14,400828434
43,5,15,33,12,9,400828435
29,16,13,24,10,11,400828436
36,11,15,34,13,9,400828437
34,12,21,32,8,15,400828438
23,4,15,26,11,15,400828439
33,5,14,36,11,9,400828440
31,6,13,26,9,13,400828441
24,15,17,32,5,16,400828442
39,9,18,27,7,10,400828443
41,15,14,39,8,14,400828445
28,11,13,27,11,16,400828444
38,13,10,41,7,19,400828446
28,11,16,37,21,21,400828447
34,5,18,39,10,22,400828448
28,14,11,31,12,11,400828449
31,9,12,36,8,13,400828450
34,8,19,32,20,16,400828451
39,6,14,25,16,11,400828452
30,10,12,25,5,15,400828453
30,13,9,34,10,16,400828454
38,9,10,40,9,9,400828455
29,16,18,33,8,13,400828456
38,11,17,30,11,12,400828457
35,7,9,33,6,11,400828458
