away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
34,8,10,32,12,14,400278178
34,13,16,24,13,10,400278179
21,16,13,31,13,17,400278180
30,9,5,33,14,13,400278181
32,14,13,37,15,15,400278182
45,6,10,38,14,7,400278183
27,9,18,29,7,11,400278184
26,9,6,28,8,12,400278185
31,15,10,35,15,13,400278186
33,8,19,37,11,16,400278187
31,8,13,24,3,10,400278188
39,8,13,39,7,9,400278189
32,8,8,34,13,16,400278190
32,14,10,38,11,11,400278191
28,10,12,28,6,19,400278192
25,16,11,34,15,12,400278193
34,10,16,33,12,13,400278194
27,11,14,40,13,20,400278195
28,7,13,38,10,12,400278196
35,17,13,28,11,7,400278197
32,11,17,25,14,15,400278198
42,12,20,34,7,16,400278199
34,6,13,35,8,14,400278200
32,6,17,39,17,13,400278202
29,19,15,24,4,12,400278201
31,16,18,37,12,14,400278203
28,13,15,29,16,14,400278204
28,12,20,37,10,18,400278205
27,8,19,32,17,25,400278206
29,9,10,33,7,20,400278207
26,10,12,32,15,15,400278208
28,16,12,28,8,18,400278209
31,9,8,33,12,13,400278210
26,13,13,37,22,12,400278211
19,22,9,30,21,12,400278212
31,12,17,27,17,13,400278213
28,11,13,33,19,13,400278214
38,6,10,36,6,9,400278215
36,5,14,42,8,15,400278216
27,14,19,35,13,19,400278217
25,5,16,32,9,7,400278218
29,12,16,24,7,16,400278219
29,10,8,40,10,9,400278220
26,19,11,30,14,22,400278221
35,7,17,21,11,14,400278222
27,17,8,35,13,18,400278223
31,13,11,32,13,14,400278224
27,9,10,28,14,13,400278225
20,11,16,31,16,20,400278226
23,9,19,28,14,14,400278227
40,6,10,37,10,10,400278228
33,11,8,26,11,14,400278229
30,6,10,33,11,9,400278230
35,15,15,25,7,13,400278231
29,7,14,33,22,9,400278232
34,16,16,28,18,11,400278233
28,9,16,33,9,18,400278234
34,10,15,30,13,9,400278235
28,9,13,36,10,11,400278236
31,10,16,26,13,15,400278237
35,11,13,33,12,10,400278238
28,19,16,30,12,13,400278239
37,11,16,29,16,15,400278240
29,10,22,30,16,16,400278241
34,6,9,40,8,18,400278242
27,11,19,29,10,12,400278243
32,11,11,30,18,10,400278244
24,10,13,32,15,21,400278245
30,13,10,32,6,15,400278246
32,19,12,36,12,10,400278247
37,15,12,34,7,20,400278248
37,8,17,34,11,14,400278249
26,15,13,27,21,11,400278250
26,12,14,35,8,16,400278251
26,13,18,31,13,11,400278252
28,7,16,29,4,13,400278253
33,6,18,23,18,12,400278254
28,7,18,26,9,14,400278255
25,6,14,32,12,12,400278256
37,14,12,35,13,12,400278257
25,10,15,37,19,22,400278258
41,12,17,30,16,12,400278259
35,17,13,39,8,11,400278260
31,10,13,26,9,9,400278261
32,6,16,39,12,17,400278262
29,9,14,31,17,14,400278263
33,9,16,35,8,11,400278264
23,9,16,25,7,17,400278265
37,9,17,24,18,10,400278266
27,14,7,37,11,9,400278267
26,10,10,24,16,17,400278268
35,12,13,35,10,9,400278269
24,8,12,23,17,15,400278270
30,9,9,31,16,11,400278271
24,14,13,36,7,17,400278272
33,6,18,30,14,8,400278273
37,6,15,30,12,12,400278274
22,17,16,34,7,22,400278275
27,11,14,33,9,11,400278276
24,10,13,28,14,14,400278277
28,11,14,44,15,13,400278278
33,11,10,24,24,14,400278279
26,20,15,29,4,9,400278280
18,5,14,27,13,14,400278281
33,9,10,34,14,14,400278282
19,19,10,24,16,11,400278283
33,15,14,22,10,13,400278284
42,18,16,27,4,11,400278285
28,13,13,24,10,6,400278286
25,10,16,22,12,15,400278287
37,9,18,28,11,10,400278288
33,21,11,38,8,8,400278289
32,14,14,30,13,12,400278290
32,12,15,32,8,12,400278291
19,18,13,25,16,16,400278292
37,11,17,27,6,15,400278293
24,11,19,20,15,14,400278294
43,9,16,36,11,10,400278295
26,6,13,29,4,13,400278296
30,11,17,32,11,18,400278297
30,10,8,39,15,19,400278298
38,13,11,41,11,21,400278299
34,10,16,25,11,15,400278300
37,11,18,28,13,14,400278301
38,13,18,34,10,17,400278302
31,4,6,34,8,20,400278303
35,8,21,31,11,11,400278304
32,10,18,29,10,11,400278305
32,11,10,26,10,14,400278306
25,11,18,27,14,13,400278307
30,5,15,37,11,18,400278308
29,14,15,33,15,16,400278309
35,7,9,39,7,10,400278310
33,12,20,25,9,14,400278311
35,18,17,35,11,16,400278312
29,10,11,28,10,13,400278313
34,5,8,37,13,15,400278314
31,17,12,35,15,15,400278315
23,10,14,26,11,16,400278316
22,21,20,28,9,15,400278317
28,12,9,31,15,8,400278318
33,10,14,38,8,19,400278319
32,11,18,36,22,11,400278320
25,12,13,30,10,15,400278321
33,10,8,37,5,13,400278322
31,11,18,38,12,20,400278323
28,11,23,30,20,23,400278324
25,9,20,21,14,15,400278325
24,12,10,29,20,15,400278326
36,11,13,32,8,10,400278327
20,10,17,25,7,22,400278328
40,12,19,30,7,5,400278329
29,10,14,33,6,17,400278330
38,9,14,35,7,16,400278331
35,15,15,26,14,8,400278332
33,11,15,32,10,13,400278333
32,16,16,31,8,13,400278334
35,6,13,38,16,8,400278335
27,19,16,26,12,12,400278336
27,10,16,23,12,10,400278337
32,13,16,30,11,18,400278338
21,7,8,37,16,13,400278339
24,13,12,29,14,14,400278340
27,7,15,36,16,12,400278341
30,11,14,31,7,22,400278342
31,14,14,31,6,13,400278343
36,10,13,33,6,8,400278344
39,12,15,42,9,14,400278345
20,10,11,31,18,24,400278346
24,10,13,35,7,15,400278347
30,9,19,29,11,15,400278348
31,7,10,31,10,13,400278349
38,11,10,39,7,12,400278350
31,14,15,35,8,14,400278351
26,22,16,29,6,16,400278352
38,10,21,37,12,12,400278353
23,12,18,27,9,12,400278354
30,11,17,36,8,16,400278355
27,10,11,40,16,15,400278356
28,9,14,30,15,12,400278357
31,13,21,22,12,15,400278358
38,8,15,37,10,14,400278359
39,8,20,31,8,18,400278360
21,9,10,33,12,18,400278361
29,10,15,28,11,15,400278362
32,15,16,30,4,11,400278363
34,7,16,33,9,9,400278364
23,7,16,30,8,17,400278365
24,7,10,36,14,11,400278366
38,12,15,36,22,12,400278367
35,9,15,31,7,9,400278368
27,13,19,41,10,15,400278369
25,17,21,19,9,14,400278370
26,15,15,23,9,14,400278371
36,17,20,38,8,14,400278372
29,10,9,37,6,13,400278373
30,7,12,33,18,15,400278374
29,14,15,25,22,15,400278375
23,7,19,20,6,14,400278376
30,8,17,32,12,13,400278377
30,9,19,29,8,12,400278378
36,13,13,26,11,10,400278379
29,9,17,21,6,9,400278380
28,7,10,35,10,20,400278381
25,11,15,33,12,20,400278382
30,11,10,33,15,11,400278383
27,16,18,32,9,14,400278384
34,10,5,25,14,15,400278385
32,7,14,24,12,11,400278386
27,21,10,30,21,20,400278387
30,10,16,31,15,14,400278388
29,8,9,41,9,14,400278389
38,8,18,32,11,9,400278390
28,16,13,41,15,17,400278391
27,11,18,32,6,16,400278392
23,8,10,26,10,9,400278393
37,15,17,33,3,17,400278394
25,13,13,24,10,19,400278395
30,15,11,26,15,18,400278396
31,14,15,30,8,13,400278397
23,9,23,29,6,23,400278398
32,10,21,31,9,20,400278399
33,10,12,33,7,13,400278400
35,11,19,29,7,11,400278401
27,21,13,39,4,16,400278402
35,12,15,34,12,12,400278403
28,9,14,34,11,12,400278404
19,6,11,26,8,12,400278405
32,15,14,38,10,14,400278406
18,11,13,29,11,14,400278407
28,12,13,36,14,15,400278408
26,9,13,38,9,18,400278409
29,13,15,36,13,11,400278410
24,7,15,34,12,18,400278411
31,5,21,25,7,8,400278412
28,12,15,38,9,13,400278413
39,12,15,34,12,13,400278414
40,17,12,32,8,13,400278415
35,18,7,33,12,14,400278416
25,5,18,37,15,17,400278417
33,14,16,30,14,13,400278418
26,9,13,36,14,14,400278419
19,9,23,29,15,18,400278420
32,20,17,28,14,16,400278421
29,12,16,42,3,16,400278422
27,10,4,39,10,16,400278423
33,15,12,33,14,13,400278424
28,13,20,23,6,17,400278425
34,7,14,37,10,14,400278426
27,7,12,24,14,15,400278427
36,10,12,39,7,11,400278428
35,9,20,31,13,12,400278429
23,12,10,34,13,16,400440940
26,17,12,32,14,15,400278430
28,12,13,27,12,11,400278431
34,6,14,40,8,11,400278432
31,8,28,19,10,12,400278433
24,15,13,36,5,20,400278434
34,5,16,32,5,12,400278435
35,5,13,32,20,16,400278436
29,11,21,20,14,16,400278437
29,11,12,34,14,8,400278438
32,12,16,37,16,17,400278439
35,6,13,31,12,15,400278440
38,16,9,35,16,15,400278441
29,12,9,31,7,10,400278442
35,13,14,36,14,18,400278443
28,9,13,35,10,6,400278444
29,9,8,40,6,13,400278445
31,8,16,30,8,10,400278446
31,15,13,27,14,14,400278447
29,11,16,24,9,11,400278448
36,13,19,40,10,12,400278449
35,7,6,35,11,8,400278450
34,7,13,37,12,15,400278451
28,9,16,33,17,19,400278452
30,13,12,36,12,9,400278453
18,16,14,30,16,10,400278454
37,10,15,40,5,12,400278455
40,6,13,38,8,10,400278456
29,17,14,32,10,18,400278457
33,11,13,28,5,17,400278458
24,9,7,34,15,12,400278459
30,9,19,25,7,6,400278460
24,11,18,28,8,13,400278461
27,7,16,34,9,12,400278462
25,15,11,32,7,10,400278463
28,11,16,30,10,8,400278464
32,10,8,29,12,9,400278465
26,15,9,24,13,12,400278466
31,15,20,27,11,15,400278467
28,12,7,44,16,11,400278468
35,11,20,30,12,13,400278469
35,17,15,38,6,10,400278470
28,11,18,28,16,16,400278471
30,13,14,25,10,16,400278472
24,5,14,28,10,11,400278473
50,15,21,43,8,16,400278474
27,6,17,27,12,11,400278475
33,5,14,33,17,10,400278476
23,10,19,23,13,13,400278477
22,6,5,27,12,16,400278478
35,5,13,36,17,22,400278479
29,14,15,31,15,13,400278480
32,11,13,21,16,13,400278481
36,8,10,37,10,10,400278482
26,10,20,22,9,20,400278483
41,11,11,36,17,8,400278484
39,10,14,27,14,13,400278485
24,2,8,32,17,19,400278486
40,7,19,26,17,9,400278487
40,8,18,29,8,11,400278488
27,18,18,23,15,17,400278489
21,4,14,22,10,9,400278490
24,12,14,32,7,19,400278491
19,7,20,22,16,17,400278492
36,12,19,36,12,19,400278493
38,10,11,38,8,13,400278494
37,17,9,34,7,15,400278495
33,11,13,32,16,10,400278496
29,16,16,35,18,7,400278497
36,13,20,31,8,10,400278498
18,11,14,26,11,13,400278499
27,8,10,32,20,11,400278500
27,5,17,34,14,17,400278501
30,11,14,25,16,13,400278502
29,6,16,37,15,6,400278503
40,13,14,35,14,10,400278504
32,12,18,36,15,12,400278505
28,13,21,31,6,18,400278506
33,13,14,30,5,16,400278507
30,17,14,27,10,16,400278508
38,18,20,36,9,15,400436572
34,8,16,32,12,16,400278509
35,10,16,33,13,14,400278510
31,12,8,32,17,15,400278511
32,12,16,23,6,16,400278512
33,14,15,28,11,15,400278513
31,8,12,35,10,7,400278514
29,13,13,27,8,11,400278515
39,7,17,32,10,10,400278516
37,14,17,25,12,14,400278517
29,20,10,31,11,14,400278518
34,8,9,30,16,8,400278519
26,13,15,40,14,21,400278521
28,11,13,22,12,8,400278520
28,5,11,37,5,19,400278522
34,9,11,41,7,17,400278523
35,13,23,31,11,18,400278524
29,10,10,41,10,15,400278525
33,10,11,37,7,9,400278526
27,7,12,35,14,12,400278527
30,11,14,31,13,10,400278528
28,8,17,26,13,26,400278529
26,8,17,20,13,18,400278530
32,10,16,25,6,9,400278531
28,8,11,31,18,18,400278532
36,10,6,30,15,12,400278533
26,15,16,43,4,14,400278534
30,7,16,27,14,13,400278535
32,14,15,35,10,6,400278536
31,11,12,38,14,14,400278537
31,13,12,31,14,12,400278538
23,9,10,33,8,17,400278539
36,9,12,28,12,13,400278540
35,7,14,35,12,16,400278541
40,10,9,48,9,12,400278542
26,13,16,28,9,13,400278543
29,11,17,25,12,18,400278544
29,18,10,25,11,15,400278545
32,5,6,25,7,12,400278546
38,10,20,29,10,14,400278547
31,10,11,41,17,17,400278548
27,12,16,36,10,20,400278549
38,7,16,32,12,12,400278550
34,14,22,27,14,17,400278552
26,9,11,28,6,11,400278553
27,11,13,31,15,9,400278554
28,7,11,27,17,14,400278551
33,11,12,37,11,12,400278555
32,4,17,34,13,20,400278556
30,6,9,36,11,16,400278557
28,16,17,38,14,17,400278558
39,10,19,30,9,14,400278559
29,8,13,31,10,17,400278560
28,8,15,31,13,9,400278561
29,8,12,29,15,13,400278562
39,6,13,29,8,11,400278563
31,15,20,28,14,12,400278564
26,14,19,33,8,12,400278565
26,13,10,23,11,15,400278566
29,12,13,26,12,7,400278567
31,8,12,40,16,20,400278568
40,12,16,40,16,20,400278569
30,7,16,34,9,15,400278570
33,7,13,30,8,18,400278571
29,9,15,27,13,10,400278572
31,5,16,30,9,15,400278574
33,5,17,30,16,10,400278573
29,6,21,35,11,15,400278575
34,9,17,34,13,17,400278576
18,7,12,35,13,10,400278577
33,16,15,34,10,17,400278578
30,8,9,32,15,13,400278579
29,13,15,26,13,19,400278580
27,9,11,26,14,20,400278581
35,12,12,38,15,11,400278582
29,6,13,36,13,16,400278583
33,10,19,22,8,13,400278584
32,9,12,33,11,13,400278585
25,9,12,25,6,14,400278586
41,13,11,42,2,17,400278587
28,11,10,21,11,16,400278589
28,10,12,30,5,7,400278588
26,5,13,35,9,19,400278590
29,11,14,29,18,11,400278591
23,5,19,34,9,19,400278592
16,8,12,42,20,22,400278593
35,8,20,31,7,17,400278594
40,10,19,33,10,14,400278595
24,11,19,37,11,23,400278596
26,8,21,28,6,19,400278597
29,13,16,35,13,14,400278598
33,14,8,38,17,13,400278599
31,10,14,31,9,17,400278600
24,14,13,28,13,20,400278601
33,9,9,37,13,16,400278602
28,14,13,25,12,14,400278603
27,4,13,42,18,18,400278604
23,9,18,35,10,13,400278605
33,13,19,41,8,11,400278606
26,8,11,32,10,14,400278607
33,3,14,36,7,21,400278608
28,12,16,25,6,14,400278609
36,23,21,30,12,17,400278610
29,11,8,29,11,11,400278611
39,9,23,24,15,18,400278612
25,10,15,36,12,17,400278613
23,21,8,30,11,11,400278614
28,19,13,32,6,14,400278615
37,12,22,26,19,14,400278616
30,16,16,28,14,2,400278617
27,13,12,29,14,17,400278618
43,6,24,23,6,12,400278619
30,8,15,33,16,11,400278620
38,9,13,34,16,14,400278621
33,15,14,31,7,14,400278622
30,15,17,26,7,14,400278623
34,14,20,28,8,20,400278624
31,7,9,36,16,9,400278625
30,6,11,37,15,17,400278626
38,6,24,25,9,14,400278627
32,8,12,28,5,11,400278628
27,14,8,42,5,12,400278629
33,7,21,29,11,28,400278630
29,5,13,33,9,10,400278631
34,6,14,40,6,17,400278632
35,7,16,26,12,13,400278633
26,10,11,31,7,11,400278634
37,12,11,23,14,8,400278635
32,13,12,26,12,20,400278636
30,14,11,43,18,18,400278638
37,4,12,34,18,10,400278639
28,9,12,26,7,15,400278640
31,10,14,33,2,15,400278637
27,6,15,29,10,15,400278641
29,17,14,29,21,11,400278642
30,8,10,22,7,12,400278643
26,12,13,32,6,15,400278644
36,7,17,33,14,13,400278645
38,7,12,39,12,16,400278646
34,9,9,31,13,17,400278647
29,11,19,31,8,12,400278648
25,7,12,36,9,16,400278649
31,11,12,29,14,10,400278650
30,10,22,37,6,19,400278651
24,15,19,30,17,16,400278652
36,6,15,35,12,17,400278653
34,10,18,38,3,14,400278654
28,18,13,31,19,13,400278655
35,10,13,38,9,11,400278656
30,8,12,36,5,16,400278657
27,6,16,24,4,12,400278658
24,6,11,29,19,13,400278659
44,15,12,32,8,9,400278660
33,11,9,33,10,10,400278661
19,9,14,29,6,9,400278662
29,11,11,26,9,6,400278663
30,13,17,26,9,12,400278664
24,6,7,36,11,11,400278665
31,14,14,31,12,18,400278666
31,11,13,46,13,14,400278667
23,6,13,32,16,10,400278668
34,7,10,31,13,14,400278669
35,11,14,34,14,11,400278670
20,11,13,23,19,9,400278671
33,10,22,31,14,14,400278672
38,3,9,35,7,9,400278673
31,8,16,38,11,16,400278674
28,9,11,32,14,16,400278675
29,10,13,27,13,12,400278676
33,11,14,35,13,13,400278677
26,10,12,34,15,12,400278678
27,7,17,34,6,14,400278679
33,12,8,43,9,12,400278680
24,5,20,35,11,22,400278681
22,13,18,37,11,24,400278682
27,12,17,33,7,5,400278683
26,7,19,35,18,14,400278684
21,10,12,21,13,12,400278685
24,14,9,31,11,13,400278686
29,6,11,38,11,15,400278687
29,11,12,35,9,14,400278688
21,15,13,36,10,19,400278689
29,11,11,30,9,12,400278690
41,7,15,37,17,16,400278691
35,11,24,33,8,20,400278692
27,9,13,32,12,18,400278693
26,7,10,44,8,17,400278694
33,8,11,29,19,10,400278695
32,7,18,38,8,16,400278696
27,20,14,29,13,16,400278697
32,11,14,27,7,12,400278698
31,17,14,27,15,10,400278699
29,6,12,32,10,13,400278700
29,18,13,32,9,12,400278701
20,9,10,32,11,18,400278702
31,11,11,31,7,5,400278703
26,7,13,33,12,9,400278704
24,2,12,27,24,16,400278705
33,11,12,33,13,14,400278706
32,7,9,39,12,12,400278707
42,8,10,36,12,15,400278708
21,20,18,20,7,18,400278709
34,12,16,26,8,14,400278710
29,9,11,33,17,16,400278711
26,7,5,37,6,13,400278712
34,12,13,35,8,13,400278713
27,14,17,23,8,11,400278714
42,15,14,29,16,11,400278715
29,10,12,26,5,15,400278716
28,13,9,23,10,15,400278717
29,10,14,29,4,20,400278718
33,20,13,30,12,14,400278719
31,14,11,38,11,13,400278720
38,6,16,28,13,13,400278721
31,14,18,41,14,16,400278722
26,8,12,27,19,17,400278723
32,10,10,48,15,15,400278724
27,13,17,28,15,11,400278725
35,17,12,33,12,14,400278726
26,11,17,29,8,15,400278727
30,15,16,29,13,12,400278728
23,11,13,27,15,16,400278729
28,14,16,24,10,11,400278730
30,16,10,38,9,16,400278731
32,14,15,35,19,19,400278732
24,4,13,34,11,18,400278733
31,5,14,35,9,15,400278734
32,13,9,27,7,11,400278735
27,12,16,30,8,12,400278736
35,6,21,27,13,13,400278737
27,10,19,36,8,14,400278738
37,8,14,32,9,8,400278739
27,7,22,23,11,19,400278740
28,17,12,36,4,16,400278741
31,9,13,24,9,12,400278742
39,10,13,33,11,14,400278743
30,22,8,45,11,14,400278744
38,10,9,35,6,11,400278745
29,18,22,29,4,18,400278746
22,11,11,33,16,15,400278747
22,10,14,41,13,22,400278748
28,10,14,35,13,14,400278749
37,11,16,38,8,17,400278750
40,10,14,31,17,16,400278751
33,6,9,39,9,17,400278752
32,8,15,34,7,14,400278753
24,11,18,33,11,11,400278754
34,9,7,34,12,10,400278755
30,7,14,28,16,8,400278756
26,10,14,33,13,15,400278757
23,10,15,29,12,15,400278758
26,12,12,34,8,21,400278759
30,7,13,31,19,15,400278760
31,14,13,44,4,10,400278761
31,7,16,32,12,13,400278762
27,7,17,34,9,10,400278763
32,20,14,26,6,13,400278764
26,12,18,27,7,19,400278765
29,15,16,23,25,10,400278766
31,17,9,28,9,13,400278767
34,9,16,32,10,12,400278768
33,11,12,33,10,12,400278769
28,10,16,34,15,20,400278770
21,11,13,28,17,12,400278771
24,14,13,32,14,15,400278772
36,15,9,39,9,11,400278773
26,15,8,33,7,19,400278774
33,8,13,26,11,15,400278775
