away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
32,10,16,29,9,16,270101022
24,14,12,26,10,19,270101030
33,13,7,42,7,17,270102003
36,9,18,33,11,14,270102005
30,15,13,32,16,23,270102007
19,9,19,20,18,19,270102019
24,17,20,24,6,12,270102023
27,11,10,40,9,21,270102004
22,8,8,37,21,9,270102006
28,11,5,33,8,11,270103016
35,16,11,25,6,11,270103022
29,6,22,27,13,13,270103026
28,12,17,32,16,17,270103027
35,7,21,29,15,15,270103028
27,15,12,34,16,11,270103029
29,11,14,31,8,15,270103002
27,5,9,27,14,9,270103010
31,7,15,22,13,14,270103014
42,8,13,31,14,13,270104003
34,16,18,27,11,13,270104006
35,16,19,25,11,11,270104023
30,12,14,31,12,17,270105016
20,16,13,38,7,20,270105019
31,10,10,25,8,10,270105024
35,16,20,29,7,11,270105027
21,7,13,23,13,15,270105028
22,10,15,26,7,19,270105029
34,9,13,34,14,8,270105010
32,17,15,34,14,13,270105013
29,18,9,30,9,11,270105015
34,7,20,36,15,20,270105017
26,17,14,21,16,10,270105025
32,6,20,27,8,6,270105021
27,14,19,30,12,13,270106001
27,10,16,26,11,16,270106003
32,13,19,31,13,18,270106007
34,10,17,33,9,16,270106023
25,20,13,34,12,16,270106004
33,7,16,29,14,11,270106005
35,11,21,29,15,14,270106009
29,11,11,30,12,11,270107028
31,12,12,38,11,13,270107016
35,4,16,27,9,14,270107029
25,6,17,38,13,23,270107019
36,14,25,35,11,15,270107021
26,9,13,25,16,14,270107022
27,14,9,33,2,13,270107013
30,15,15,25,9,15,270108003
29,18,12,37,15,16,270108007
39,12,13,35,10,12,270108004
26,17,15,34,20,18,270109011
27,7,17,22,17,13,270109020
32,13,12,38,4,14,270109021
24,20,10,29,9,14,270109023
20,14,19,22,12,15,270109024
25,8,21,21,7,22,270109026
28,11,18,36,14,20,270109029
30,5,17,36,9,15,270109017
38,3,21,30,13,10,270110001
35,11,11,34,7,17,270110007
27,7,13,30,15,16,270110015
33,7,15,33,7,11,270110016
29,7,8,29,12,12,270110025
30,10,20,27,13,11,270110027
29,14,16,31,9,22,270110002
25,12,13,32,8,14,270110006
34,10,15,21,12,10,270110008
32,20,14,35,10,19,270110009
36,7,12,40,16,9,270110010
20,15,12,29,9,22,270110018
35,16,13,35,6,14,270111004
31,15,16,37,13,13,270111021
20,11,18,25,12,21,270112003
31,16,11,30,18,14,270112011
29,16,15,26,10,11,270112020
29,6,21,26,12,19,270112022
28,13,14,25,7,9,270112029
24,14,10,28,14,14,270112001
32,5,13,32,12,22,270112002
44,12,19,28,12,13,270112009
28,10,12,32,9,9,270112013
26,3,10,27,17,17,270112018
31,11,17,30,12,13,270112025
37,4,11,38,13,13,270112007
19,11,17,28,8,21,270113016
28,10,12,34,9,17,270113021
31,9,11,35,6,13,270113023
25,19,16,42,11,23,270113024
24,4,15,21,11,20,270113026
36,10,19,30,10,14,270113030
29,8,26,43,16,18,270113004
35,12,16,33,14,11,270113008
28,10,10,31,6,16,270113012
27,14,11,30,4,16,270114028
29,12,22,22,13,18,270114022
28,15,14,34,11,13,270115004
39,16,19,34,20,16,270115009
23,12,16,34,10,18,270115018
29,17,11,25,14,14,270115027
27,17,11,25,21,13,270115030
26,12,20,24,15,17,270115001
31,7,16,27,7,21,270115020
32,16,20,25,12,13,270115008
32,12,15,29,12,10,270115017
28,10,13,27,5,20,270115029
35,11,12,32,13,11,270115013
37,12,17,37,11,17,270116003
27,12,12,32,14,13,270116025
24,8,10,29,15,13,270116006
34,11,22,31,16,26,270117015
30,12,9,24,18,11,270117016
25,13,16,30,14,16,270117022
37,11,18,31,12,12,270117027
28,5,17,31,11,15,270117028
23,8,16,28,10,18,270117029
29,12,11,35,18,14,270117030
29,13,11,30,9,14,270117008
39,8,18,30,9,11,270117010
32,12,14,37,6,14,270117012
32,7,17,32,8,19,270117024
25,12,19,24,4,12,270118014
18,10,16,34,19,19,270118006
30,11,13,41,10,17,270119016
27,23,8,31,7,19,270119019
32,23,19,33,3,17,270119020
24,16,14,22,7,11,270119021
29,10,15,35,12,16,270119024
34,11,16,25,9,12,270119028
32,15,13,24,7,10,270119001
26,9,9,30,11,15,270119002
23,10,10,32,11,17,270119018
23,17,15,38,15,18,270119025
31,10,13,38,7,14,270119007
29,6,21,31,12,12,270120012
23,14,10,29,17,11,270120003
30,9,20,19,14,9,270120011
17,10,17,20,5,15,270120030
33,10,16,34,12,18,270120004
32,8,14,42,10,14,270120008
45,12,28,34,11,19,270120009
35,12,15,32,16,17,270120010
36,8,21,30,12,11,270120017
28,14,21,26,11,12,270120027
34,14,12,30,5,8,270121014
33,12,11,30,16,9,270121020
26,9,12,37,12,8,270121021
26,12,9,33,11,14,270121022
35,8,18,21,10,12,270122005
34,11,20,30,19,14,270122007
26,10,22,31,16,20,270122011
36,9,16,34,15,11,270122023
28,7,16,26,6,8,270122026
23,9,16,29,10,14,270122028
33,7,18,23,12,13,270122002
26,10,20,36,15,24,270122013
25,8,16,30,15,13,270122014
31,4,8,24,7,12,270123019
25,17,15,31,5,16,270123020
27,14,14,28,12,19,270123025
33,6,15,25,12,10,270123027
29,10,16,30,9,18,270123004
28,8,10,34,12,11,270123012
30,8,18,24,22,14,270124005
35,8,17,38,14,20,270124011
32,8,15,34,18,15,270124022
30,9,14,27,7,10,270124023
27,8,12,38,18,14,270124026
38,11,15,32,8,7,270124028
22,9,11,26,16,18,270124030
35,15,13,35,13,14,270124002
32,6,22,26,11,14,270124009
30,9,16,33,10,23,270124018
32,6,21,30,10,11,270124024
26,19,8,39,20,15,270125004
29,6,15,27,10,13,270125012
35,8,12,37,8,14,270126003
23,11,16,19,7,17,270126019
25,14,19,23,8,19,270126020
23,8,16,33,8,17,270126024
25,12,18,28,10,13,270126026
32,9,20,26,10,10,270126028
24,8,19,32,15,14,270126010
37,14,15,32,14,21,270126013
33,13,15,30,15,14,270126015
29,10,15,35,9,16,270126018
31,11,16,26,14,8,270126025
25,11,7,30,17,12,270126008
29,6,16,24,16,14,270127001
29,17,13,32,8,16,270127003
35,10,9,34,4,14,270127007
30,6,13,35,10,13,270127011
33,16,15,37,13,20,270127029
28,14,10,37,14,14,270127004
28,5,13,31,9,15,270127006
26,19,22,32,10,15,270127009
24,12,16,30,13,26,270127012
37,16,11,39,5,10,270128013
25,5,8,28,14,13,270128005
29,14,13,33,13,14,270128015
31,19,16,26,12,19,270128002
33,13,14,23,18,8,270128008
40,11,18,28,13,18,270128025
19,11,16,31,8,23,270129001
25,17,11,33,13,8,270129003
31,12,17,27,9,11,270129007
19,7,14,25,9,10,270129016
16,5,11,28,16,21,270129026
19,6,9,39,8,20,270129029
26,13,14,39,9,18,270129010
25,10,20,32,16,17,270130005
27,13,22,30,10,18,270130011
27,7,16,24,11,14,270130027
27,19,15,24,9,9,270130006
23,11,19,35,8,14,270130014
19,14,11,34,14,21,270130018
22,9,12,33,15,19,270131001
41,17,10,27,13,5,270131003
32,15,8,31,7,10,270131016
31,8,19,37,14,15,270131019
20,11,19,27,13,19,270131022
24,8,13,32,18,13,270131026
27,5,13,32,6,14,270131028
32,12,11,28,4,14,270131029
34,10,15,35,11,12,270131030
36,7,10,28,10,8,270131002
34,7,14,29,5,6,270131010
30,10,18,31,10,14,270131012
33,12,13,19,13,11,270131017
24,8,15,33,11,19,270201014
29,12,18,36,15,16,270201021
33,12,12,34,16,8,270202003
28,12,17,29,8,14,270202007
32,9,21,36,9,22,270202011
29,12,15,31,8,15,270202020
25,11,11,26,9,12,270202001
31,10,9,30,8,15,270202002
30,4,18,34,11,11,270202005
37,6,17,29,7,17,270202025
30,10,18,30,14,10,270202008
20,2,9,39,8,14,270202019
35,8,20,22,16,14,270203019
20,16,14,24,12,16,270203021
35,7,19,27,9,13,270203022
46,15,22,37,8,9,270203023
36,7,12,26,19,13,270203027
36,15,15,27,7,13,270203029
33,16,18,30,12,13,270203030
28,11,12,30,16,12,270203006
39,10,16,28,8,12,270203010
29,14,20,26,14,18,270203015
27,12,16,23,13,12,270204017
26,13,10,31,3,11,270204028
32,8,16,24,9,12,270204005
33,13,17,30,12,16,270205001
31,7,13,33,15,15,270205007
46,11,25,32,10,18,270205011
41,10,14,38,8,11,270205020
28,13,11,35,2,15,270205023
26,12,19,31,9,16,270205026
26,13,19,23,17,15,270205027
30,6,17,31,14,7,270205010
21,11,16,32,8,14,270205014
34,6,17,31,10,11,270206015
29,16,19,27,13,17,270206022
35,8,11,31,11,9,270206029
18,8,12,22,12,13,270206008
28,13,16,30,9,14,270206018
29,12,16,28,18,14,270207001
31,11,12,35,19,11,270207005
36,21,13,32,14,14,270207007
26,9,20,27,26,18,270207011
28,14,12,49,12,20,270207016
32,13,16,42,9,18,270207020
34,12,14,24,23,11,270207027
28,11,18,28,9,9,270207028
40,2,17,30,18,13,270207002
30,17,22,22,15,9,270207006
33,16,15,40,31,22,270208003
35,21,17,40,4,20,270208023
28,17,18,31,13,7,270208008
31,10,20,23,14,14,270209011
23,12,13,21,7,12,270209019
27,14,14,29,14,15,270209020
27,14,12,32,7,14,270209021
32,10,17,32,8,14,270209028
41,7,24,32,12,15,270209029
37,13,18,36,14,15,270209030
38,7,18,30,10,15,270209002
29,11,10,41,14,13,270209006
41,12,16,35,20,13,270209009
26,11,15,31,18,11,270209005
26,7,10,36,11,10,270210003
32,9,14,30,7,18,270210025
37,13,22,23,13,14,270210026
25,9,16,31,11,13,270210008
36,8,27,28,11,12,270210010
29,15,12,27,8,17,270210015
30,7,16,33,11,15,270210017
21,10,13,34,12,16,270211014
29,12,20,22,10,20,270211027
31,16,20,27,13,11,270211011
33,12,12,34,11,8,270211005
29,7,19,25,12,15,270211016
30,12,19,30,14,17,270211009
34,7,9,31,11,15,270211020
33,12,23,28,11,20,270211021
34,10,10,31,12,15,270211023
25,9,18,24,22,14,270212007
22,10,13,37,15,15,270212026
32,14,10,35,10,11,270212008
31,12,13,27,11,12,270213015
34,24,17,36,13,18,270213029
26,5,14,29,12,13,270213004
32,6,14,37,13,17,270213010
28,13,11,23,17,15,270213013
21,17,17,23,9,7,270213014
37,4,13,25,9,12,270213017
24,9,12,36,9,17,270214003
29,15,17,27,16,13,270214011
25,5,17,28,18,13,270214016
26,15,8,35,6,11,270214019
32,16,14,29,17,20,270214020
21,15,13,36,8,16,270214025
28,21,13,25,12,10,270214026
26,11,15,26,5,14,270214028
33,17,13,33,8,13,270214030
26,17,21,22,7,9,270214002
38,7,16,30,5,10,270214008
25,20,20,32,9,18,270214009
31,13,11,32,7,14,270214012
34,9,14,31,6,13,270215010
32,13,15,29,18,15,270215013
--,--,--,,,,270218032
30,18,14,29,9,15,270220015
28,12,14,25,10,13,270220022
34,10,19,28,5,15,270220023
31,11,20,29,12,9,270220024
35,8,18,37,19,11,270220025
25,11,16,33,8,15,270220027
34,13,14,28,8,10,270220030
31,9,13,41,10,10,270220004
36,14,14,26,12,15,270220012
20,20,16,28,14,22,270220018
32,11,14,32,16,12,270221001
27,12,21,32,20,24,270221011
28,18,9,29,6,12,270221016
25,7,16,33,8,17,270221020
29,14,10,34,12,14,270221021
37,10,14,36,6,15,270221028
22,13,22,25,11,15,270221008
41,12,26,34,12,17,270221009
26,4,12,20,11,10,270221013
30,8,12,23,11,15,270221017
30,14,13,31,7,18,270221010
38,14,24,27,13,16,270222005
25,10,24,31,11,23,270222027
27,13,12,35,6,15,270222006
37,5,18,30,26,9,270223003
34,6,17,35,12,5,270223004
31,8,16,31,9,21,270223016
27,12,17,31,6,20,270223019
23,9,10,29,13,15,270223022
25,12,8,42,6,12,270223028
27,10,18,29,11,14,270223030
28,10,10,31,12,7,270223001
26,11,18,29,9,15,270223013
26,10,20,37,9,22,270223017
29,13,17,30,12,23,270223018
26,14,15,29,7,24,270223007
28,7,19,37,11,19,270224012
25,10,15,32,9,11,270224024
24,12,23,27,15,16,270224026
43,7,12,36,12,11,270224030
22,8,21,18,9,15,270224015
32,6,23,34,11,18,270224006
32,13,15,20,21,10,270225008
29,9,18,26,18,12,270225019
27,14,13,33,17,14,270225016
35,10,14,31,13,15,270225009
36,11,13,38,12,14,270225014
25,10,11,29,14,12,270225001
26,9,13,28,9,6,270225017
36,7,14,35,14,19,270225011
32,8,17,41,14,17,270226020
31,10,7,41,4,10,270226024
35,8,17,38,10,15,270226025
32,9,12,25,17,9,270226026
34,11,14,31,8,14,270226029
30,19,27,19,12,20,270226004
24,9,18,25,11,10,270226006
40,13,18,34,14,17,270226010
29,8,16,32,7,14,270226012
30,9,11,30,10,10,270226018
32,12,16,29,6,16,270227005
29,16,12,35,16,21,270227011
30,13,15,36,12,15,270227015
40,14,17,29,10,16,270227016
28,10,10,34,12,13,270227017
29,3,11,32,14,9,270228003
33,11,25,27,10,13,270228007
29,8,18,34,16,20,270228020
19,10,15,23,6,18,270228023
33,16,11,30,13,13,270228027
36,10,18,21,16,13,270228029
29,6,14,31,7,14,270228002
28,12,24,33,12,20,270228004
30,6,10,25,8,9,270228010
27,11,15,24,12,10,270228012
29,9,14,32,12,17,270301006
21,10,15,34,11,11,270301022
27,9,14,28,13,14,270301025
28,11,19,16,9,16,270302016
21,16,17,29,12,21,270302020
23,16,11,33,7,11,270302021
29,6,18,31,12,12,270302024
29,13,17,28,18,16,270302027
31,10,12,34,13,19,270302028
25,12,16,32,7,21,270302004
22,3,12,36,8,19,270302013
27,11,11,39,6,16,270302018
33,15,10,33,8,12,270302014
33,18,13,35,5,18,270302007
35,18,11,45,3,23,270303017
31,13,15,35,10,21,270303001
28,10,10,30,16,18,270303022
31,10,11,31,20,13,270303029
30,15,11,39,15,15,270303005
31,5,13,26,8,19,270303010
30,7,15,36,11,12,270303012
23,10,12,25,7,9,270303006
21,6,14,34,23,18,270304002
35,17,20,33,11,14,270304027
29,14,19,28,9,16,270304021
29,7,19,29,15,19,270304015
31,12,13,41,15,22,270304020
30,9,15,30,9,14,270304025
32,15,11,24,13,8,270304003
39,19,16,39,8,14,270305005
21,12,19,31,10,18,270305019
15,6,15,32,16,18,270305026
37,8,21,26,8,17,270305008
36,7,20,23,11,13,270305012
30,10,17,34,6,13,270305014
29,17,13,36,10,16,270306007
35,11,20,42,16,21,270306016
26,8,9,28,13,9,270306022
26,12,14,25,12,18,270306023
18,9,17,32,17,17,270306027
28,10,12,32,10,13,270306006
26,7,15,25,12,17,270306018
27,12,21,31,11,20,270307001
22,7,15,27,7,15,270307015
27,16,11,34,15,18,270307020
37,16,15,34,6,14,270307021
31,4,23,37,10,17,270307026
27,13,22,30,7,17,270307028
28,15,18,22,17,21,270307002
33,15,10,28,10,13,270307008
35,14,18,37,13,17,270307009
27,16,20,30,6,12,270307014
32,6,9,37,8,19,270308023
34,14,21,20,11,17,270308019
34,9,13,34,10,19,270309007
29,9,16,32,11,9,270309020
35,10,11,31,11,10,270309021
31,14,16,26,13,15,270309001
22,15,18,25,12,16,270309002
28,7,20,31,17,18,270309009
31,7,13,37,10,10,270309010
21,7,13,31,9,19,270309014
27,4,13,28,8,14,270310001
22,6,12,25,6,17,270310011
35,7,13,37,7,14,270310024
26,6,16,29,15,16,270310026
26,18,16,27,8,15,270310027
36,8,19,24,11,9,270310030
32,7,20,27,7,11,270310015
25,11,15,23,9,20,270311012
34,15,20,27,9,17,270311023
35,17,16,30,4,14,270311028
25,11,11,32,6,17,270311010
33,10,16,28,11,19,270311002
32,9,18,30,8,13,270311005
36,10,14,25,8,18,270311013
33,15,14,27,15,5,270311014
28,15,17,37,12,18,270311022
26,13,16,26,8,20,270312015
28,8,9,40,10,11,270312021
31,13,11,30,9,15,270312029
26,14,15,23,4,14,270312030
30,20,23,23,5,15,270312009
22,11,15,30,17,17,270313001
28,8,14,23,19,14,270313003
22,11,15,41,10,20,270313005
33,17,19,31,15,15,270313007
35,12,20,28,10,11,270313016
29,6,13,32,7,12,270313024
26,4,13,28,10,21,270313025
26,6,15,32,14,13,270313004
29,9,11,31,15,11,270313014
37,7,13,33,6,17,270314011
20,13,22,28,10,22,270314019
25,20,15,26,4,16,270314020
29,6,12,26,11,16,270314022
29,7,20,31,5,18,270314028
34,11,9,26,14,14,270314029
27,9,18,26,16,13,270314030
28,6,21,33,11,17,270314002
26,12,18,27,7,13,270314010
27,11,19,28,27,19,270314006
19,7,11,35,11,20,270315015
42,6,9,37,6,10,270315017
23,13,14,31,10,14,270315007
27,11,18,29,14,16,270316020
27,10,9,24,4,22,270316021
40,7,12,31,2,14,270316028
32,10,15,28,11,16,270316030
24,12,13,31,8,13,270316006
31,15,25,31,7,19,270316009
29,17,14,36,9,14,270316013
25,10,19,31,6,20,270316014
25,18,18,22,10,13,270316018
24,18,18,25,9,10,270317011
27,9,9,34,7,18,270317019
36,10,19,30,9,13,270317024
33,11,20,33,13,23,270317025
24,8,14,31,12,9,270317027
29,12,15,37,13,23,270317029
31,10,13,40,21,19,270317005
28,10,15,30,12,10,270317015
29,9,21,36,11,16,270317007
40,8,19,35,9,10,270318018
33,6,19,23,8,10,270318008
29,13,15,35,8,19,270318013
30,14,11,25,9,9,270318014
38,8,18,33,10,11,270318017
42,12,7,28,8,12,270318020
34,9,8,32,11,13,270318022
29,10,18,33,12,11,270319001
28,11,19,29,8,16,270319003
38,10,17,33,7,15,270320017
36,10,15,35,7,12,270320021
36,6,13,37,8,13,270320022
20,10,14,34,10,19,270320026
22,8,17,20,10,16,270320029
27,16,13,32,14,22,270320030
31,6,18,26,13,17,270320004
21,19,19,24,13,15,270320008
36,4,15,22,18,11,270320018
32,9,13,41,12,17,270320010
32,8,16,27,18,17,270321001
21,12,13,26,14,17,270321015
38,9,14,32,10,12,270321023
26,15,15,34,7,15,270321024
26,9,7,35,20,15,270321025
32,6,10,45,10,15,270321028
28,8,15,36,15,21,270321002
36,3,14,29,10,13,270321005
26,7,13,43,15,18,270322021
23,11,12,31,10,19,270322029
28,10,23,24,21,17,270322004
35,9,6,39,4,10,270322010
27,10,7,27,14,12,270322018
35,6,10,36,15,10,270323003
27,11,10,42,4,16,270323011
23,14,10,37,17,17,270323019
20,8,12,36,7,19,270323020
28,12,11,33,13,17,270323024
27,17,15,35,9,14,270323028
32,21,17,33,10,18,270323001
34,7,9,21,13,8,270323002
29,10,22,30,10,16,270323005
27,17,26,27,9,20,270323009
26,8,18,37,8,13,270323012
42,8,15,33,10,5,270323025
31,7,14,32,14,9,270324026
26,9,15,23,5,10,270324030
30,14,7,37,10,15,270324012
29,9,16,28,14,19,270324014
30,9,13,33,5,15,270325023
34,5,17,29,9,15,270325001
30,16,11,19,14,18,270325015
24,16,17,24,8,14,270325016
30,15,14,33,12,17,270325011
29,9,11,25,12,17,270325025
23,10,8,42,21,26,270325013
26,9,7,34,9,9,270325003
35,2,14,28,11,12,270325005
24,11,12,32,5,16,270326021
31,9,14,36,14,14,270326026
28,7,19,34,11,18,270326002
29,6,24,23,14,11,270326004
29,17,14,34,7,18,270326008
43,3,19,23,10,13,270326009
30,9,12,34,10,12,270326010
26,8,16,26,14,13,270326014
26,9,20,24,10,18,270326018
25,11,12,21,16,17,270327003
33,10,12,29,4,9,270327011
26,10,11,27,9,17,270327016
44,9,16,32,15,12,270327013
37,6,23,23,14,10,270328007
38,7,11,31,5,11,270328012
34,4,20,29,6,10,270328024
27,9,11,31,8,13,270328026
26,12,17,32,10,18,270328027
26,9,10,37,16,10,270328028
33,16,22,32,6,13,270328030
33,12,22,34,12,17,270328002
35,9,15,29,12,13,270328006
