away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
36,10,16,31,17,10,300101001
29,9,12,30,17,19,300101016
30,4,14,28,15,12,300101013
36,16,13,30,8,11,300102017
28,4,13,26,11,15,300102014
32,12,12,30,12,9,300102011
34,3,12,30,6,9,300102027
23,5,16,28,8,16,300102002
31,8,19,27,10,7,300102003
32,16,12,38,16,12,300102004
39,10,15,35,19,9,300102015
33,16,9,24,14,12,300102021
24,8,14,32,9,26,300102026
25,11,18,30,13,15,300102022
32,4,18,29,13,18,300102023
23,6,11,25,9,13,300103005
29,6,13,42,13,9,300103018
32,11,11,38,8,13,300103028
26,9,14,33,11,20,300103007
23,17,10,38,6,12,300103013
23,7,9,39,13,11,300104014
35,13,23,27,25,16,300104004
34,14,19,29,14,13,300104026
21,8,14,28,10,20,300104012
36,16,20,35,9,13,300105011
26,6,14,30,12,20,300105020
31,9,19,29,1,14,300105030
33,11,10,31,6,17,300105017
31,10,14,34,13,10,300105006
24,10,16,27,19,18,300105007
23,14,11,27,10,9,300105022
30,11,18,33,16,15,300105023
28,8,17,37,13,20,300105013
21,11,16,34,8,18,300106001
21,7,11,35,9,17,300106005
33,2,16,25,10,14,300106019
37,5,25,27,17,11,300106014
32,11,10,34,16,19,300106016
30,5,9,31,13,12,300106025
20,18,16,26,8,12,300106024
29,18,18,32,7,17,300106021
27,13,20,30,5,13,300106026
32,12,12,39,11,11,300106012
25,10,7,37,6,18,300107018
31,5,15,33,10,16,300108020
29,13,12,40,15,16,300108027
27,9,15,29,10,15,300108001
31,13,16,29,12,11,300108003
29,7,12,44,12,18,300108016
29,13,15,31,9,17,300108029
34,11,9,33,15,12,300108015
27,12,8,27,5,12,300108024
33,13,9,38,13,17,300108021
21,17,8,33,9,8,300108022
35,10,19,25,8,12,300108007
34,13,17,35,4,12,300108009
26,9,16,34,11,12,300109019
32,9,15,34,9,19,300109030
32,8,18,22,12,12,300109008
30,8,14,39,7,18,300109004
31,12,17,39,8,19,300109025
33,8,5,31,14,13,300109006
27,5,15,27,13,11,300109010
25,14,14,27,11,16,300109023
23,6,10,33,7,19,300110027
27,14,14,27,11,15,300110028
25,11,15,34,15,19,300110012
28,7,6,39,9,10,300110024
31,11,7,25,7,9,300110022
35,8,10,52,9,13,300110013
38,12,15,38,10,16,300111011
32,19,12,34,9,12,300111020
21,9,7,32,3,19,300111002
27,12,15,36,10,12,300111004
30,16,20,34,13,14,300111025
28,21,18,35,11,19,300111007
36,14,11,39,6,17,300111021
30,14,18,32,3,9,300111026
35,11,22,29,9,13,300111009
29,13,10,28,10,11,300112027
27,15,16,26,10,12,300112030
22,10,13,27,15,16,300112029
28,9,14,33,7,12,300112024
41,9,12,29,12,12,300112023
32,16,13,34,15,8,300113001
33,11,6,43,11,12,300113011
27,10,9,36,18,13,300113020
33,14,14,27,9,15,300113017
29,17,10,29,9,6,300113003
32,18,14,32,13,17,300113025
38,11,11,31,13,6,300113006
46,19,22,41,17,16,300113010
26,10,19,32,4,14,300113007
23,13,13,26,5,11,300113022
31,11,17,17,12,11,300113009
35,15,12,30,9,18,300114002
32,7,23,28,10,14,300114026
31,10,19,29,10,11,300115020
31,10,14,34,10,11,300115030
27,14,8,30,20,13,300115001
39,15,6,38,13,9,300115004
32,2,13,36,10,15,300115008
38,4,15,31,8,8,300115017
38,3,12,32,10,13,300115018
24,13,12,34,11,9,300115029
34,11,18,28,6,14,300115006
28,9,9,28,8,17,300115010
40,11,14,35,7,14,300115009
31,7,19,33,7,7,300115013
32,6,12,34,8,9,300115022
38,11,10,32,5,11,300116011
29,12,15,29,10,11,300116027
28,10,15,34,13,10,300116030
27,12,19,31,20,16,300116008
21,12,15,36,9,23,300116025
32,12,16,34,17,16,300116029
32,8,18,37,6,20,300116026
18,14,12,23,4,17,300116012
33,8,11,33,12,5,300117028
32,7,20,32,8,17,300117007
