away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
32,12,15,31,15,18,400489341
29,7,22,30,9,17,400489342
24,13,17,27,10,15,400489343
39,14,17,33,15,14,400489344
31,7,16,36,8,13,400489345
41,8,14,42,17,12,400489346
34,6,18,26,5,15,400489347
35,13,19,29,12,13,400489348
25,9,19,27,6,21,400489349
31,9,13,25,9,12,400489350
40,19,15,27,13,12,400489351
28,6,13,34,9,11,400489352
24,6,9,40,12,15,400489353
34,13,12,35,16,22,400489354
23,10,12,26,16,17,400489355
34,13,21,34,7,19,400489356
33,12,15,27,22,9,400489357
27,17,8,34,10,15,400489358
33,13,10,28,11,11,400489359
25,10,13,30,11,16,400489360
29,12,10,36,10,10,400489361
28,5,17,31,14,15,400489362
33,7,15,29,12,15,400489363
31,14,11,27,6,9,400489364
26,17,15,32,20,13,400489365
35,10,22,31,9,15,400489366
26,7,15,31,11,12,400489367
31,5,25,27,9,11,400489368
37,6,14,40,19,18,400489369
32,6,11,35,17,14,400489370
40,19,10,31,12,11,400489371
32,10,13,33,16,18,400489372
27,7,13,28,14,10,400489373
37,8,12,33,9,13,400489374
25,12,15,31,12,9,400489375
38,9,14,27,7,10,400489376
41,17,15,29,9,15,400489377
39,14,13,36,4,22,400489378
29,10,18,28,15,11,400489379
35,15,17,38,13,14,400489380
38,8,7,35,3,13,400489381
30,8,10,44,14,18,400489382
31,5,9,42,11,15,400489383
29,12,16,30,9,12,400489384
38,16,16,29,9,13,400489385
32,9,12,36,14,14,400489386
35,9,17,28,12,11,400489387
40,16,17,26,10,11,400489388
35,11,19,34,6,12,400489389
25,10,14,42,14,21,400489390
25,15,10,37,3,17,400489391
37,14,16,36,12,8,400489392
23,9,7,43,12,16,400489393
36,11,15,43,12,12,400489394
32,14,16,28,6,10,400489395
34,6,18,31,10,15,400489396
33,13,12,29,8,10,400489398
33,14,18,36,16,9,400489399
35,15,10,39,12,11,400489397
32,10,9,36,11,7,400489400
35,10,18,30,7,13,400489401
28,4,15,33,10,10,400489402
38,8,12,41,12,12,400489403
33,8,14,50,11,15,400489404
37,25,18,29,13,16,400489405
34,10,16,27,13,12,400489406
30,14,6,39,14,8,400489407
29,4,10,42,12,14,400489408
28,11,12,23,15,18,400489409
28,11,14,36,13,13,400489410
36,8,11,32,16,12,400489411
37,8,8,26,8,11,400489412
26,11,13,43,11,14,400489413
37,12,17,32,14,11,400489414
36,11,21,43,13,8,400489415
30,9,14,33,16,12,400489416
34,9,19,30,17,11,400489417
29,16,12,39,20,15,400489418
29,10,13,29,9,15,400489419
28,6,9,34,12,10,400489420
27,13,15,37,21,17,400489421
35,13,17,25,5,14,400489422
32,8,11,38,12,10,400489423
26,20,9,29,20,11,400489424
26,6,14,38,12,15,400489425
29,9,15,32,8,11,400489426
24,16,10,39,7,20,400489427
25,15,16,30,16,14,400489428
36,10,11,35,15,13,400489429
32,17,10,41,12,18,400489430
32,8,12,28,14,17,400489431
38,3,13,32,9,9,400489432
