away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
38,9,12,35,11,11,400899374
38,10,12,31,3,10,400899381
32,10,10,38,8,11,400899383
37,4,14,34,13,16,400899385
35,5,16,27,16,7,400899387
32,8,10,32,7,10,400899410
37,8,13,45,11,11,400899411
34,12,9,36,8,15,400899413
26,13,12,30,16,18,400899414
27,7,14,30,15,10,400899416
38,7,17,34,7,13,400899417
29,19,12,39,12,19,400899418
32,16,14,31,12,13,400899419
38,9,17,36,12,16,400899421
27,8,10,28,4,13,400899423
28,6,11,26,16,10,400899425
33,5,9,40,2,12,400899427
29,14,12,37,6,15,400899428
28,5,8,28,4,14,400899450
28,15,12,36,13,18,400899451
34,5,10,34,9,9,400899453
37,14,14,33,10,11,400899950
36,3,12,30,10,17,400899951
35,7,13,31,15,13,400899952
31,12,12,28,16,15,400899953
31,12,9,37,8,13,400899954
33,11,17,31,8,15,400899955
32,7,18,22,4,16,400899956
37,8,13,37,7,6,400899957
34,12,18,24,21,4,400899958
41,8,5,40,16,7,400899959
43,12,14,37,15,15,400899960
38,16,9,34,9,9,400899961
35,18,15,24,7,10,400899962
34,7,7,27,11,13,400899964
30,10,11,39,8,13,400899963
26,12,10,28,5,13,400899965
33,12,15,30,19,15,400899966
37,4,15,30,12,17,400899967
41,5,12,42,10,19,400899968
29,11,14,29,6,14,400899969
30,11,10,44,18,11,400899970
33,14,12,37,7,16,400899971
37,8,8,38,12,6,400899972
26,6,17,41,12,19,400899973
33,9,11,32,15,10,400899974
35,6,10,43,17,14,400899975
38,15,12,43,6,10,400899976
29,10,8,34,14,15,400899977
41,6,10,35,6,14,400899978
40,8,15,34,9,7,400899979
40,6,13,36,4,22,400899981
36,13,19,27,5,16,400899983
39,11,15,42,9,11,400899982
29,10,15,35,4,17,400899984
32,11,17,32,5,13,400899985
25,13,20,23,13,14,400899986
33,13,17,30,1,18,400899987
35,6,9,35,7,16,400933467
36,18,18,41,6,13,400899988
31,8,8,33,12,14,400899989
36,6,12,29,9,11,400899990
20,5,14,33,9,18,400899991
32,12,17,35,7,21,400899992
27,6,14,33,17,17,400899993
38,15,12,34,14,17,400899994
38,5,11,38,6,10,400899995
27,11,12,28,13,14,400899996
29,13,16,35,11,18,400899997
41,9,11,29,9,10,400899998
40,6,11,43,5,11,400899999
27,8,12,33,12,16,400900000
32,8,13,29,18,14,400900001
26,13,10,42,11,16,400900002
25,7,15,40,9,17,400900003
28,16,7,35,10,14,400900004
29,6,13,40,9,21,400900005
35,13,15,38,13,9,400900006
22,12,16,35,12,15,400900010
41,9,16,43,7,16,400900007
29,14,12,31,17,12,400900008
20,9,9,39,7,12,400900009
24,8,9,34,13,19,400900012
31,9,19,31,6,18,400900011
25,16,19,28,10,20,400900014
31,4,11,36,13,8,400900013
23,4,8,33,13,11,400900015
37,8,22,21,10,12,400900016
31,16,18,33,9,15,400900017
34,9,12,31,12,12,400900018
36,9,15,31,12,9,400900019
29,10,12,31,11,21,400900020
32,3,13,40,7,12,400900021
34,6,14,35,7,7,400900022
36,6,11,42,21,10,400900023
27,6,16,30,15,15,400900026
34,15,16,38,12,11,400900024
33,7,14,35,9,13,400900025
34,10,12,35,6,11,400900029
30,11,14,32,10,10,400900027
23,13,16,23,14,19,400900028
39,13,13,29,9,16,400900030
27,17,19,30,14,22,400900031
41,6,12,37,13,10,400900032
36,10,7,41,9,14,400900033
28,8,10,38,15,18,400900034
31,14,15,39,12,12,400900035
38,13,18,28,10,12,400900036
30,8,14,40,5,16,400900037
27,7,14,30,9,14,400900038
32,10,11,36,8,12,400900039
28,7,15,47,11,16,400900040
32,14,8,33,6,9,400900041
27,9,15,37,10,15,400900042
34,10,9,30,11,13,400900043
38,11,17,41,11,15,400900044
30,6,12,32,11,13,400900045
33,6,18,28,6,7,400900046
32,13,17,23,20,12,400900047
31,12,9,41,5,22,400900048
28,17,12,33,12,11,400900049
35,15,15,43,8,12,400900050
39,18,14,24,9,3,400900051
43,4,18,39,6,8,400900052
35,15,18,33,13,10,400900053
24,8,12,42,18,12,400900054
23,13,18,35,11,18,400900055
24,8,14,26,10,21,400900056
31,15,14,32,4,12,400900057
28,5,9,34,6,13,400900058
30,10,15,27,14,10,400900059
32,11,15,37,6,7,400900060
30,13,13,27,14,11,400900061
34,12,13,40,13,19,400900062
25,8,12,40,11,14,400900063
30,10,12,39,14,9,400900064
30,5,10,43,15,15,400900065
43,9,16,29,18,9,400900066
33,8,14,28,13,14,400900067
29,12,24,30,10,19,400900068
38,15,14,34,9,12,400900069
29,8,20,35,16,23,400900070
28,9,14,33,14,21,400900071
34,13,11,36,13,20,400900072
36,4,12,40,6,13,400900073
32,7,22,36,11,13,400900074
30,14,13,31,15,12,400900075
29,12,11,34,5,11,400900076
40,6,12,27,14,12,400900077
36,10,13,36,11,18,400900078
25,10,7,35,10,10,400900079
32,4,16,32,10,14,400900080
31,9,9,34,14,11,400900081
39,13,18,29,12,12,400900082
27,5,17,36,13,10,400900083
38,7,15,28,7,9,400900084
29,12,17,28,8,14,400900085
42,5,14,31,12,8,400900086
37,13,8,33,5,16,400900087
36,10,11,32,8,8,400900088
36,7,14,34,11,13,400900089
33,10,14,32,6,15,400900090
23,5,21,30,7,19,400900091
34,11,11,35,7,8,400900092
37,6,14,30,7,11,400900093
37,8,10,34,8,10,400900094
30,6,12,35,10,13,400900095
35,11,17,32,6,5,400900096
24,8,13,35,8,15,400900097
38,6,13,36,12,19,400900098
32,8,11,36,7,14,400900099
32,10,15,31,13,15,400900100
36,11,11,34,13,18,400900101
24,6,17,36,12,18,400900102
34,6,10,29,4,15,400900103
33,6,13,29,12,6,400900104
34,9,21,22,15,19,400900105
32,13,8,36,9,9,400900106
43,12,16,37,9,12,400900107
36,5,12,31,12,14,400900108
37,18,18,29,7,7,400900109
37,14,13,40,9,11,400900110
28,8,12,36,7,16,400900111
38,6,18,28,6,11,400900112
20,8,11,27,19,12,400900113
38,10,12,34,10,8,400900114
33,10,19,22,7,10,400900117
33,4,10,38,9,14,400900116
31,7,11,40,7,10,400900118
31,12,19,35,12,14,400900119
38,9,13,37,11,10,400900120
35,6,23,26,3,22,400900115
33,7,10,34,9,21,400900121
32,12,12,39,14,14,400900122
39,13,18,33,8,19,400900123
32,10,11,25,8,12,400900124
30,8,9,27,7,11,400900125
29,13,12,29,9,11,400900126
35,9,13,38,9,15,400900127
24,8,14,39,9,11,400900128
24,7,7,27,4,13,400900129
39,9,14,32,11,10,400900130
35,5,14,36,13,11,400900131
48,15,12,47,17,14,400900132
42,13,16,43,8,10,400900133
30,11,15,35,7,10,400900134
35,10,10,32,10,14,400900135
30,6,12,31,9,11,400900136
32,11,12,39,10,10,400900137
35,6,6,40,5,11,400900138
31,8,18,33,9,18,400900139
24,9,20,20,9,14,400928501
38,15,16,29,5,11,400900140
37,11,11,41,9,11,400900141
39,12,7,38,6,9,400900142
36,6,17,31,9,9,400900143
