away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
33,5,17,28,7,14,400899366
26,12,13,36,12,10,400899369
33,8,15,27,12,9,400899391
37,21,13,37,12,20,400899394
34,9,15,37,10,12,400899397
32,3,14,37,5,10,400899400
34,5,13,36,15,11,400899402
35,11,8,34,11,17,400899404
30,9,17,35,11,15,400899407
38,8,10,27,17,12,400899430
38,4,9,26,11,9,400899433
39,6,10,38,9,10,400899435
35,12,20,33,12,10,400899446
48,8,20,30,7,9,400899449
34,12,21,45,14,19,400899470
31,15,11,28,9,15,400899472
31,13,11,35,11,11,400900151
37,12,14,35,9,19,400900152
29,11,13,32,18,10,400900153
39,14,14,40,8,11,400900154
21,8,12,31,16,20,400900155
37,15,12,40,7,16,400900156
32,6,18,30,18,14,400900157
33,6,11,37,6,13,400900158
34,2,4,32,12,9,400900159
33,9,15,39,7,12,400900160
26,7,13,38,10,15,400900161
35,8,21,34,7,6,400900162
27,6,15,39,10,21,400900163
37,12,15,29,13,10,400900164
35,3,9,40,11,13,400900165
35,9,16,26,14,16,400900166
26,16,21,31,7,14,400900167
29,13,9,29,16,12,400900168
33,7,17,38,8,16,400900169
37,8,11,35,7,21,400900170
38,8,13,36,9,11,400900171
33,11,12,39,17,12,400900172
35,20,7,34,6,16,400900173
34,12,20,32,11,12,400900174
41,20,16,24,13,10,400900175
30,9,9,36,11,9,400900176
35,9,12,23,7,12,400900177
30,11,13,41,19,12,400900178
40,9,16,39,9,13,400900179
25,13,17,26,8,10,400900180
26,3,10,39,10,15,400900181
33,11,16,35,15,13,400900182
27,8,8,31,9,15,400900183
41,4,15,39,12,7,400900184
37,10,16,32,10,10,400900185
37,18,15,28,2,7,400900186
42,6,15,28,7,5,400900187
34,5,9,31,7,12,400900188
37,17,12,40,15,16,400900189
28,21,10,36,12,10,400900190
34,7,21,38,14,14,400900191
34,14,15,28,5,12,400900192
28,18,15,30,11,22,400900193
36,12,8,30,7,13,400900194
26,10,13,25,11,8,400900195
33,14,11,29,12,11,400900196
29,15,14,40,5,12,400900197
32,7,17,36,4,14,400900198
33,9,17,37,10,21,400900199
32,13,15,40,7,21,400900200
30,5,16,34,17,13,400900201
32,11,21,31,6,11,400900202
29,14,8,31,10,15,400900203
33,13,14,33,15,22,400900204
28,16,15,23,10,10,400900205
41,11,18,28,7,10,400900206
27,6,17,30,4,20,400900207
29,5,12,29,18,18,400900208
35,8,21,22,12,13,400900209
32,10,11,32,14,11,400900210
34,3,16,31,8,18,400900211
29,12,11,30,13,8,400900212
40,10,13,32,8,8,400900213
29,8,6,28,8,14,400900214
38,11,19,27,11,10,400900215
28,17,12,37,8,15,400900216
30,10,11,31,12,19,400900218
30,12,19,39,16,21,400900217
29,11,14,39,12,14,400900219
34,3,16,26,13,9,400900220
26,9,18,36,10,14,400900221
25,21,11,39,5,19,400900222
30,11,7,32,6,9,400900223
30,6,17,38,8,19,400900224
42,9,18,30,3,15,400900226
37,12,11,31,6,11,400900230
36,5,12,26,6,12,400900227
37,15,14,31,6,14,400900228
27,20,15,34,6,22,400900225
32,12,17,28,5,11,400900229
34,7,12,33,4,12,400900231
23,4,9,38,14,22,400900232
43,6,13,37,12,10,400900233
32,5,16,30,13,18,400900234
45,7,9,44,22,14,400900235
26,8,16,30,7,17,400900236
34,9,10,33,8,9,400900237
31,7,17,30,13,17,400900239
39,11,12,28,5,17,400900240
30,13,11,31,9,8,400900241
35,12,22,33,6,22,400900242
39,5,17,38,8,14,400900243
32,7,10,33,9,17,400900244
34,5,6,46,9,15,400900245
34,4,12,35,13,15,400900246
34,12,11,26,15,8,400900247
36,9,7,35,14,14,400900248
32,9,16,37,9,14,400900249
29,7,12,47,12,15,400900250
33,6,15,36,12,12,400900251
35,10,20,35,5,16,400900252
38,12,18,40,6,8,400900253
31,8,10,30,5,11,400900254
27,4,7,36,15,7,400900255
40,10,19,46,15,17,400935635
36,9,19,27,13,14,400900256
45,5,7,47,10,8,400900257
36,12,16,33,11,20,400900258
34,16,12,36,8,12,400900259
28,10,14,43,10,21,400900260
33,10,16,37,9,14,400900261
31,12,16,40,8,15,400900262
27,12,11,42,8,16,400900263
29,7,11,31,10,9,400900264
35,8,18,35,11,12,400900265
32,9,14,25,10,15,400900266
36,15,13,45,14,17,400900267
27,8,15,35,9,16,400900268
39,15,12,37,8,10,400900269
35,7,19,40,11,13,400900270
36,15,12,28,8,12,400900271
37,13,10,32,9,14,400900272
36,12,17,40,7,13,400900273
34,16,11,34,10,11,400900274
30,13,15,32,11,16,400900275
36,9,19,36,7,17,400900276
37,10,7,36,4,12,400900277
37,21,23,19,13,13,400900278
41,11,16,39,13,11,400900279
33,13,12,31,13,18,400900280
30,12,20,27,6,19,400900281
36,13,15,29,10,12,400900282
41,9,24,22,6,16,400900283
31,8,9,34,5,10,400900284
43,9,14,34,11,17,400900285
28,7,10,37,16,13,400900286
38,5,16,32,15,9,400900287
30,11,12,32,8,17,400900288
29,16,13,30,12,22,400900289
28,5,8,41,4,16,400900290
42,13,14,31,9,18,400900291
32,13,13,31,11,13,400900293
42,13,15,27,12,10,400900292
36,16,10,35,7,18,400900294
28,13,19,29,17,19,400900295
42,8,24,32,16,7,400900296
39,6,16,24,11,12,400900297
24,8,12,27,12,10,400900298
25,8,7,36,6,14,400900299
34,11,12,33,6,14,400900300
