away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
32,8,13,37,8,12,310101004
33,10,15,27,10,17,310101027
29,7,12,33,10,14,310101014
23,13,20,25,10,18,310101016
36,14,19,41,11,14,310101024
28,7,14,45,13,21,310101007
25,6,12,43,8,17,310101015
29,14,19,26,9,10,310101026
36,21,14,36,9,11,310102018
26,7,14,31,11,19,310102012
35,2,16,30,19,13,310102028
26,11,10,25,9,15,310102005
29,11,15,32,15,13,310102022
23,9,7,42,18,15,310102023
32,12,10,31,6,20,310102013
30,13,19,33,9,19,310103019
36,10,16,23,12,15,310103030
32,13,17,23,7,11,310103002
26,18,10,31,10,12,310103003
30,12,11,38,12,12,310103007
30,9,7,27,8,9,310103026
27,7,9,35,12,14,310104014
27,10,16,28,10,6,310104018
25,8,19,31,13,14,310104004
28,3,14,30,12,15,310104029
32,14,9,34,12,14,310104006
37,10,20,26,13,11,310104023
27,10,19,28,13,6,310104013
27,12,12,24,6,16,310105005
26,10,11,27,12,17,310105017
34,14,12,35,9,12,310105019
26,9,13,34,6,13,310105020
22,15,15,31,5,18,310105002
27,10,8,33,16,18,310105003
35,16,12,42,11,16,310105016
27,7,8,37,6,16,310105010
31,9,15,23,11,13,310105026
33,10,14,38,19,12,310105012
33,14,12,26,5,10,310105021
29,16,10,35,12,15,310106006
22,8,23,26,7,16,310106023
33,10,13,33,12,13,310107011
29,9,15,28,6,15,310107020
34,14,18,32,7,9,310107027
20,11,13,29,14,16,310107002
27,18,14,24,12,19,310107016
26,9,10,39,9,16,310107019
25,11,23,21,13,13,310107029
35,13,16,39,14,23,310107015
29,10,17,31,11,17,310107009
27,12,12,25,13,11,310107013
45,14,18,30,4,13,310107021
32,11,15,32,12,15,310108001
32,4,11,24,12,14,310108017
23,11,16,31,12,18,310108030
37,8,13,38,15,12,310108008
23,4,10,37,11,21,310108004
23,17,13,33,14,18,310108025
28,10,14,28,6,17,310108006
40,13,16,31,11,7,310108010
27,14,9,31,8,16,310109028
32,12,19,36,16,17,310109012
31,19,11,35,13,17,310109024
31,18,11,41,11,20,310109021
38,7,15,25,8,9,310109007
34,7,17,28,15,14,310109022
35,7,14,44,17,13,310109013
29,17,16,31,9,18,310110030
26,12,15,22,9,14,310110002
28,15,16,31,9,12,310110004
28,12,13,28,8,13,310111020
28,12,12,41,14,20,310111027
38,8,17,33,14,15,310111016
24,16,14,38,9,14,310111007
31,9,12,29,14,14,310111022
28,14,19,40,13,12,310111013
30,11,12,34,12,8,310112011
30,10,14,29,4,13,310112028
36,4,14,30,8,7,310112030
31,6,23,26,12,15,310112002
29,10,15,23,14,17,310112008
38,12,14,41,9,11,310112003
33,10,5,31,13,11,310112015
35,14,13,22,13,10,310112010
32,7,16,35,10,17,310112021
18,8,14,25,11,14,310112026
29,18,14,20,7,11,310112009
33,13,7,33,9,10,310112012
32,6,18,32,15,17,310113016
21,15,5,31,11,11,310113025
29,12,16,38,12,9,310113007
43,9,7,37,16,8,310114011
22,11,12,26,4,16,310114020
29,15,10,30,15,12,310114028
29,13,10,26,3,11,310114002
47,13,22,35,14,16,310114018
31,8,8,38,14,12,310114024
35,13,19,30,11,15,310114010
27,16,21,26,10,10,310114026
29,12,16,28,7,14,310114009
30,15,13,31,7,9,310114013
28,11,13,32,7,14,310114021
34,11,13,25,7,13,310115001
31,8,11,36,12,14,310115027
30,4,8,32,11,16,310115030
24,21,15,23,7,10,310115008
24,6,13,32,10,11,310115004
29,8,15,34,12,18,310115016
29,9,14,35,7,13,310115029
29,18,14,42,7,18,310115007
22,8,13,23,17,11,310115022
34,11,14,35,15,11,310116012
31,7,10,43,4,20,310116024
34,14,13,28,10,11,310117018
22,11,14,33,11,20,310117027
29,7,11,27,16,14,310117029
41,18,16,45,11,11,310117020
30,12,16,28,19,10,310117003
37,7,11,36,17,5,310117010
21,10,16,24,9,11,310117008
27,7,14,29,7,16,310117012
30,17,8,30,8,10,310117001
27,11,16,24,11,6,310117009
21,13,13,24,6,12,310117002
26,21,16,28,14,13,310117022
29,11,9,30,11,15,310117013
33,15,12,35,11,16,310118014
30,13,9,31,13,14,310118004
39,8,17,31,8,17,310119005
21,10,10,33,11,18,310119017
41,8,15,43,4,17,310119019
29,5,15,33,14,18,310119002
33,10,14,31,11,11,310119003
28,6,15,35,8,15,310119015
36,9,14,40,8,10,310119010
27,11,15,32,17,17,310119024
27,8,10,28,7,8,310119006
32,14,11,27,12,8,310119007
33,9,15,35,10,19,310119023
34,15,20,28,7,12,310119009
21,12,19,26,22,24,310119012
33,12,9,31,9,8,310120030
32,9,15,34,17,14,310120004
27,15,16,29,8,9,310120022
