id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_b2b,away_b2b
280102005,2,home,,,,0,0
280102011,2,away,,,,0,0
280102016,2,away,,,,0,0
280102019,2,away,,,,0,0
280102026,2,home,,,,0,0
280102027,2,away,,,,0,0
280102030,2,away,,,,0,0
280102002,2,home,,,,0,0
280102006,2,home,,,,0,0
280102012,2,away,,,,0,0
280102014,2,away,,,,0,0
280102018,2,away,,,,0,0
280103004,2,away,,,,1,1
280103007,2,home,,,,0,0
280103021,2,home,,,,0,0
280104011,2,home,,,,0,0
280104016,2,away,,,,0,1
280104019,2,away,,,,0,0
280104028,2,away,,,,0,0
280104002,2,home,,,,0,0
280104005,2,home,,,,0,0
280104009,2,away,,,,0,0
280104013,2,home,,,,0,0
280104015,2,away,,,,0,0
280104017,2,home,,,,0,0
280104024,2,home,,,,1,0
280104006,2,home,,,,0,0
280105001,2,away,,,,1,1
280105021,2,away,,,,0,1
280105022,2,home,,,,0,0
280105004,2,home,,,,0,1
280105008,2,away,,,,1,1
280105010,2,home,,,,1,1
280106012,2,away,,,,0,1
280106027,2,home,,,,1,0
280106028,2,away,,,,1,1
280106016,2,away,,,,1,1
280106029,2,home,,,,1,1
280106007,2,home,,,,1,1
280106030,2,away,,,,1,1
280106013,2,home,,,,1,1
280107021,2,home,,,,0,0
280107009,2,home,,,,0,0
280108005,2,home,,,,0,0
280108016,2,home,,,,0,0
280108020,2,away,,,,0,0
280108023,2,home,,,,0,0
280108026,2,home,,,,0,0
280108027,2,away,,,,0,0
280108029,2,away,,,,0,0
280108030,2,home,,,,0,0
280108004,2,away,,,,0,0
280109001,2,home,,,,0,1
280109003,2,away,,,,0,1
280109015,2,home,,,,1,1
280109021,2,home,,,,0,1
280109022,2,home,,,,0,0
280109028,2,home,,,,0,1
280109002,2,away,,,,0,1
280109012,2,away,,,,0,1
280109017,2,home,,,,1,1
280109018,2,away,,,,1,1
280109006,2,home,,,,0,0
280110023,2,home,,,,0,0
280110024,2,away,,,,0,1
280110026,2,home,,,,0,1
280111003,2,home,,,,0,0
280111007,2,home,,,,0,0
280111020,2,away,,,,0,0
280111001,2,away,,,,0,0
280111005,2,home,,,,0,0
280111009,2,home,,,,0,1
280111010,2,home,,,,0,0
280111013,2,home,,,,0,0
280111017,2,away,,,,0,0
280111018,2,away,,,,0,0
280111025,2,away,,,,0,0
280112021,2,home,,,,0,1
280112023,2,away,,,,0,0
280112026,2,home,,,,0,1
280112030,2,away,,,,1,0
280112012,2,away,,,,0,1
280112024,2,home,,,,0,1
280112027,2,home,,,,1,1
