id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,away_total,away_total_lastN,away_away,away_away_lastN,home_total,home_total_lastN,home_home,home_home_lastN
400489341,2,away,away,,-0.0,,2.50265151515,2.07142857143,6.48333333333,11.3333333333,1.8474610357,2.33333333333,-8.65714285715,-6.80000000001
400489342,2,home,home,,5.0,,4.19461644307,4.92857142857,9.00746753248,8.65357142858,6.84385227776,9.68253968254,-2.38293650794,-2.57936507937
400489343,2,home,home,,-6.5,,4.7440947941,2.5119047619,-0.684126984128,-0.611111111111,-1.13777693792,-1.17857142857,3.63214285714,4.38214285714
400489344,2,away,away,,-10.0,,-5.39485294116,-3.82142857143,-8.73333333334,-10.75,-4.17101449276,-5.75,-2.82698412699,-2.79523809524
400489345,2,home,home,,-11.5,,-6.55370082816,-3.45662100457,-1.56720779221,-1.69166666667,-0.321126639064,0.5,1.62271062271,2.92857142857
400489346,2,home,home,,-2.0,,-3.32294679005,-0.761904761905,0.391666666664,-0.620238095238,-4.44465811966,-4.2619047619,-4.26540616247,-4.21778711485
400489347,2,away,away,,-4.0,,6.11520467837,10.0,1.88253968254,1.83333333333,5.47500000002,5.09523809524,4.28571428571,3.96428571429
400489348,2,home,home,,-4.5,,-2.85455394279,-2.33333333333,-8.04761904763,-8.07539682541,0.0128205128211,1.40476190476,-9.49318181819,-7.17857142857
400489349,2,away,away,,-11.5,,-2.06360342556,-3.42857142857,-2.88817848818,-4.3253968254,1.65075757576,2.07142857143,0.309523809522,0.25
400489350,2,away,away,,-11.5,,-3.91985645933,-5.5399543379,-2.875,-3.44540229885,2.48162071846,2.83333333333,0.405303030306,0.928571428571
400489351,2,away,away,,-5.5,,-0.290177314946,-0.904761904762,-0.452525252526,-0.238095238096,3.83659281894,3.58333333333,1.78333333333,2.10833333333
400489352,2,home,home,,-4.0,,-3.19311098258,-2.82142857143,-3.00436507936,-4.08333333333,0.6509644767,-0.666666666667,-2.94841269841,-2.5
400489353,2,home,home,,-11.5,,-3.98227225673,-1.7899543379,-1.77297702298,-1.91666666667,6.37412587412,9.69444444444,0.125,0.249999999999
400489354,2,away,away,,-7.0,,-2.64485294117,-2.57142857143,-5.40000000001,-7.41666666667,4.28403601229,3.82142857143,-8.38333333333,-5.66666666667
400489355,2,away,away,,-2.0,,6.34385227774,3.90476190476,46.696969697,44.6666666667,0.525238813474,0.333333333333,-10.1428571429,-8.00000000001
400489356,2,away,home,,2.0,,8.37710944027,13.3333333333,10.0825396825,12.3333333333,-0.294281045754,0.238095238095,2.95887445887,3.92857142857
400489357,2,away,away,,1.5,,3.9047008547,1.7619047619,-0.811111111112,-0.849206349206,-3.18788727612,-3.16666666667,-3.80833333334,-3.82142857143
400489358,2,home,away,,-11.0,,1.1515721121,0.793378995434,0.624999999994,-1.44540229885,2.96468253967,0.971950424005,-3.16111111111,-1.2380952381
400489359,2,away,away,,-1.0,,-0.471920289856,0.166666666667,-0.126262626265,-0.277777777781,4.16931818182,3.5,1.175,1.42857142857
