id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,away_total,away_total_lastN,away_away,away_away_lastN,home_total,home_total_lastN,home_home,home_home_lastN
270115008,2,away,,,,2.12924294432,3.7619047619,,,-4.69565853039,-10.5119047619,,
270115017,2,home,,,,1.09175697865,0.503424657534,,,2.01212325686,3.2380952381,,
270115029,2,away,,,,5.64626314294,7.59523809524,,,-1.99671006743,-2.92857142857,-2.04329004329,-1.57142857143
270115013,2,home,,,,3.84120900076,2.84523809524,8.57500000001,7.31746031746,2.69343156843,5.84920634921,,
270116003,2,home,,,,1.14757722149,1.80528375734,,,-0.935837365248,1.78531073446,-9.4962121212,-6.7619047619
270116025,2,home,,,,3.18835172396,5.25,5.56111111112,5.98412698413,-1.99532467533,-2.25,,
270116006,2,home,,,,4.20708020051,4.2619047619,,,4.63636363636,4.41666666667,,
270117015,2,away,,,,0.153417634992,-0.166666666667,,,-5.26956203916,-4.5,,
270117016,2,away,,,,0.149572649577,-2.41666666667,,,3.2379385965,3.7619047619,1.36805555555,1.85714285714
270117022,2,home,,,,0.402637438238,-1.08333333333,4.26111111112,5.12698412698,-2.42780830281,-4.2899543379,-6.2,-8.90476190476
270117027,2,home,,,,0.063258145358,1.2619047619,,,-0.293040293034,-3.66666666667,,
270117028,2,home,,,,-5.66941391942,-7.17857142857,,,0.180904280903,1.05528375734,,
270117029,2,home,,,,-4.51567689276,-2.33333333333,-2.29273504273,-1.10714285714,-0.464242534958,-0.718525766471,-2.86147186147,-2.20588235294
270117030,2,away,,,,1.72705538356,2.40476190476,,,0.826344707922,0.428571428571,,
270117008,2,away,,,,-3.06401607651,-5.12328767123,,,-4.80092168828,-10.2738095238,,
270117010,2,away,,,,5.2343857483,7.35714285714,,,4.88651568438,4.80528375734,,
270117012,2,home,,,,-0.825757575759,-0.488095238095,,,-2.3305916306,-7.59523809524,,
270117024,2,away,,,,2.35739917976,6.18253968254,,,2.6315018315,2.85714285714,,
270118014,2,home,,,,0.12175697865,-0.373287671233,,,3.64736842105,2.42857142857,,
270118006,2,home,,,,0.750256322617,-0.428571428571,,,7.05944055944,13.1944444444,,
270119016,2,away,,,,-5.75925502162,-12.4404761905,,,-0.428728070175,-0.904761904762,-3.98194444444,-3.64285714286
270119019,2,away,,,,1.83682983684,-1.66666666667,,,-0.832942259027,-1.19471624266,,
270119020,2,home,,,,4.05847953217,2.7619047619,8.58970588236,7.17857142857,-7.21743127873,-4.0,,
270119021,2,home,,,,0.67658730159,-0.456621004566,,,5.96127650461,9.85714285714,2.82222222222,2.54880952381
270119024,2,home,,,,1.05027374586,3.45197740113,,,1.80380952381,2.0,,
270119028,2,away,,,,-2.80687321937,-5.36138290933,1.22727272727,1.21031746032,2.20471380471,2.48385518591,0.56993006993,1.9012605042
270119001,2,away,,,,0.386716224946,1.2619047619,,,0.566239316247,0.583333333333,,
270119002,2,away,,,,-5.29761904762,-6.67857142857,,,-5.58301435406,-8.16666666667,,
270119018,2,away,,,,2.82705538356,4.07142857143,,,-1.38285714286,-0.404761904762,,
270119025,2,home,,,,-5.41071036451,-4.83333333333,,,1.2739060939,2.75,,
270119007,2,home,,,,-1.97514033954,-6.08333333333,0.511111111116,-0.373015873016,0.153350383629,0.666666666667,-5.47222222223,-6.83333333333
270120012,2,home,,,,0.371161191751,0.7100456621,,,0.952741702736,1.83333333333,,
270120003,2,home,,,,3.87525632263,3.4481409002,1.51190476191,0.725,1.50996873497,3.1186440678,-5.02954545455,-2.33333333333
270120011,2,away,,,,-3.11301587302,-1.2619047619,,,-1.65471360959,-2.12328767123,,
270120030,2,home,,,,-0.628205128201,0.25,,,-0.714733050416,0.428571428571,,
270120004,2,away,,,,-1.60581501831,-3.7380952381,3.33333333333,2.96031746032,1.62246525404,1.16666666667,1.03055555555,-1.05555555556
270120008,2,home,,,,-4.24619047619,-6.0,,,-2.02722887782,-7.77380952381,,
270120009,2,away,,,,-3.74311419575,-9.08333333333,-1.6,-2.53968253968,-2.65196078431,-1.91666666667,,
270120010,2,away,,,,2.12146632566,2.83333333333,,,3.18208218684,3.18199608611,,
270120017,2,home,,,,-2.1602149863,-2.2899543379,,,2.77671213413,4.07142857143,,
270120027,2,home,,,,-6.45444292549,-11.1666666667,-1.2532051282,-2.33333333333,1.79761415056,-1.66666666667,3.11111111111,3.19047619048
270121014,2,away,,,,6.65944055944,14.0277777778,13.1333333333,12.2380952381,0.616812865497,-1.66666666667,,
270121020,2,away,,,,1.81896103896,2.2380952381,0.681730769234,0.0833333333333,-4.91743127873,-2.33333333333,,
270121021,2,home,,,,-0.00313283207959,-2.57142857143,,,6.06272577997,9.85714285714,2.85,2.7869047619
